Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
,ID patient partagé,,,,,"Identifiant partagé du patient concerné par l'observation, a remplir obligatoirement si ce patient existe et est identifié dans le système emetteur, 

Valorisé comme suit lors de sa création : 
{OrgId émetteur}.patient.{n°patient unique dans le système émetteur}

OU, si un n°patient unique n'existe pas dans le système émetteur :
{ID émetteur}.{senderCaseId}.patient.{numéro d’ordre chronologique au dossier}","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,0..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}patient(\.[a-zA-Z0-9_-]+){1,2}$"
,Professionnel de santé qui réalise l'observation,,,,,Objet qui permet de décrire le professionnel de santé qui réalise l'interrogatoire médical. ,,operator,1..1,X,operator,
,,Label,,,,"A valoriser si besoin avec la valeur souhaitée, en fonction des préférences de chaque partenaire : cela peut être le nom et prénom de l'opérateur, ou un identifiant.",,label,0..1,,string,
,,Rôle,,,,A valoriser avec le rôle de l'opérateur au sein de l'entité émettrice du message : ,ARM,role,1..1,,string,NOMENCLATURE: HubSante.role
,ID Observation,,,,,"Identifiant partagé de l'observation, généré une seule fois par le système du partenaire qui créé l'observation
Il est valorisé comme suit lors de sa création : 
{OrgId émetteur}.medicalNote.{ID unique de l’observation dans le système émetteur}

OU - uniquement dans le cas où un ID unique de la note n'est pas disponible dans le système : 
{OrgId émetteur}.medicalNote.{senderCaseId}.{numéro chronologique de l’observation}

Cet identifiant a vocation à devenir obligatoire pour permettre les mises à jour, il est laissé en facultatif temporairement.
","fr.health.samu540.medicalNote.46585A
fr.health.samu540.medicalNote.DRFR15540241600125.20",medicalNoteId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}medicalNote(\.[a-zA-Z0-9_-]+){1,2}$"
,Date Heure de l'observation,,,,,A valoriser avec le groupe date heure de création de l'observation.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,creation,0..1,,datetime,Format datetime décrit dans le DST
,Observations et commentaires,,,,,"Champ libre qui permet de compléter les informations de nature médicales, faites par un ARM, un médecin ou un autre professionnel de santé.",,freetext,1..1,,string,
Décision,,,,,,"Objet qui permet de passer l'ensemble des mesures prises par le Samu-Centre 15 en réponse à la demande exprimée en fonction de l’événement et de la situation du ou des patients.
Si un freetext accompagne la décision, il doit être passé comme une observation médicale (medicalNote)",,decision,0..n,X,decision,
,ID patient partagé,,,,,"A valoriser avec l'ID partagé du patient concerné par la décision, à chaque fois que la décision est liée à un patient dans le système émetteur","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,0..1,,string,
,Date Heure de la décision,,,,,A valoriser avec le groupe date heure de création de la décision.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,creation,1..1,,datetime,Format datetime décrit dans le DST
,Opérateur décideur,# Voir type operator,,,,Objet qui permet de décrire le professionnel de santé qui prend la décision,,operator,1..1,X,operator,
,Type de décision,,,,,A valoriser avec le type de décision prise (cf.nomenclature associée),conseil médical  / décision d’intervention / décision d’orientation et de transport / Pas de décision supplémentaire,decisionType,1..1,,string,NOMENCLATURE: HubSante.typeDecision
,Type de ressource,,,,,"A valoriser avec le type de ressource souhaitée ou engagée (cf.nomenclature associée) - en fonction du type de décision.
A fournir obligatoirement pour une décision d'intervention ou de transport/orientation.","SMUR, Pompiers",resourceType,0..1,,string,NOMENCLATURE: HubSante.typeRessource
,Transport médicalisé,,,,,"A valoriser obligatoirement en cas de décision de transport, pour indiquer si ce dernier est médicalisé.
True = transport médicalisé
False = transport non médicalisé",True,medicalTransport,0..1,,boolean,
,Type d'orientation,,,,,Indique le type de destination en cas de décision d'orientation (cf. nomenclature associée),EPHAD,orientationType,0..1,,string,NOMENCLATURE: HubSante.typeOrientation
,Localisation de la destination d'orientation,,,,,Objet qui permet de décrire la localisation de la destination en cas de décision d'orientation.,,destination,0..1,X,destination,
,,Identifiant(s) du lieu,# Voir type externalLocationId,,,Objet qui permet de transmettre le lien avec l'identifiant du lieu dans une base de données externes possiblement connue des autres acteurs,,externalLocationId,0..n,X,externalLocationId,
,,,Source  /  type d'identifiant,,,A valoriser avec le type de l'identifiant fourni. Cf nomenclature associée.,"FINESS géographique, FINESS administratif, SIREN, SIRET, APE, NAF",source,1..1,,string,NOMENCLATURE: HubSante.idLieu
,,,Identifiant,,,A valoriser avec l'identifiant en lui-même,920000650 ,value,1..1,,string,REGEX: ^([0-9A-Z]{2}0\d{5}\d|\d{9}|\d{14}|\d{4}[A-Za-z])$
,,Informations complémentaires sur la localisation,,,,"Champ libre qui permet de compléter les informations liées à la localisation.

Spécificités 15-15 :
En envoi, il est souhaitable de mapper ici toute valeur en lien avec la localisation de l'intervention qui ne pourrait pas être transmise de manière structurée dans l'objet location. 
En réception, il est très important d'intégrer et d'afficher la valeur de cet attribut, qui est suceptible de contenir des informations d'accès importantes.",Hopital Henri Mignot,freetext,0..1,,string,
Informations supplémentaires modifiées,,,,,,"Champ libre qui permet de concaténer en une seule note toutes les autres valeurs modifiées dans le dossier, ne figurant pas de manière structurée dans le RS-EDA-MAJ.",adresse : 7bis rue du château - Neuilly sur Seine,freetext,0..1,,string,
Informations complémentaires,,,,,,"Objet qui permet d'ajouter jusqu'à 3 données supplémentaires, dans l'éventualité où ces dernières ne sont pas déjà prévues dans le modèle",,additionalInformation,0..1,X,additionalInformation,
,Clé valeur adaptable,,,,,Objet qui permet de rajouter des clés-valeurs de façon libre afin d'adapter le modèle à des besoins locaux ou urgents,,customMap,0..3,X,customMap,
,,Clé,,,,A valoriser avec le nom de la balise,neighborhood,key,1..1,,string,
,,Libellé,,,,A valoriser avec le libellé correspondant,Quartier,label,0..1,,string,
,,Valeur,,,,A valoriser avec la valeur associée à la clé,LYON 2e arrondissement,value,1..1,,string,
,,Détails,,,,Informations complémentaires sur le contexte / utilisation de cette correspondance additionnelle,Précision sur le quartier d'intervention,freetext,0..1,,string,
