,code,label_n1,label_n2,description,commentaire
71,GEN/DEMO,Activités génériques ,Démolition ,"La destruction de structures, d'installations ou de matériels par utilisation du feu, de l'eau, d'explosifs, de moyens mécaniques ou d'autres moyens.",
72,GEN/DEPLOY,Activités génériques ,Déploiement ,Le déploiement de ressources sur un incident. Aussi connu sous le nom de mobilisation.,
73,GEN/DSTRBT,Activités génériques ,Distribution ,Diviser ou distribuer en portions.,
74,GEN/FINANC,Activités génériques ,Finance ,"La capacité de fournir des conseils financiers et une orientation, un soutien pour le processus d'approvisionnement, la fourniture de salaires et de soutien aux dépenses.",
75,GEN/MARKNG,Activités génériques ,Marquage ,Rendre visible (par l'utilisation de la lumière/IR/laser/artillerie) un objet afin de permettre son identification par un autre objet.,
76,GEN/MOVE,Activités génériques ,Déplacement ,Changement de position d'un endroit à un autre.,
77,GEN/RECVRN,Activités génériques ,Récupération ,"Récupération de tout objet perdu, incapacité ou capturé.",
78,GEN/REDPLN,Activités génériques ,Redéploiement ,"Transfert d'une unité, d'un individu ou de fournitures déployées dans une zone vers une autre zone ou vers un autre emplacement à l'intérieur de la zone, en vue d'une utilisation ultérieure.",
79,GEN/REORGN,Activités génériques ,Réorganisation.,Changement de l'organisation des tâches pour une opération particulière (a lieu généralement avant une opération). Cela inclut le transfert de l'autorité.,
80,GEN/REPAIR,Activités génériques ,Réparation ,Restauration d'un élément en état de marche en corrigeant une défaillance spécifique ou une condition hors service.,
81,GEN/RESPLN,Activités génériques ,Réapprovisionnement ,Reconstitution des stocks afin de maintenir les niveaux d'approvisionnement requis.,
82,GEN/RESTNG,Activités génériques ,Repos ,Observation d'une période d'inactivité spécifiée par une organisation qui est hors de contact avec l'ennemi.,
83,GEN/RETIRE,Activités génériques ,Retraite ,Déplacement d'une force hors de contact avec l'attente de ne plus avoir de contact significatif.,
84,GEN/RLFPLC,Activités génériques ,Relève sur place ,"Une opération dans laquelle, sur ordre d'une autorité supérieure, tout ou partie d'une unité est remplacé dans une zone par l'unité entrante. Les responsabilités des éléments remplacés pour la mission et la zone d'opérations assignée sont transférées à l'unité entrante. L'unité entrante poursuit l'opération conformément aux ordres.",
85,GEN/RNDZVS,Activités génériques ,Rendez-vous ,Atteindre une réunion préalablement organisée à un moment et à un endroit donnés.,
86,GEN/SCNMNG,Activités génériques ,Gestion de scène ,Le contrôle du lieu de l'incident d'urgence.,
87,GEN/SECRNG,Activités génériques ,Sécurisation ,"Prendre possession d'une position ou d'une caractéristique de terrain, avec ou sans recours à la force, et prendre des dispositions pour empêcher, dans la mesure du possible, sa destruction ou sa perte.",
88,GEN/STNGUP,Activités génériques ,Mise en place ,"Établir une installation, une organisation ou une caractéristique.",
89,INT/BIOSMP,Renseignement ,Échantillonnage biologique ,L'action de détecter un contaminant biologique.,
90,INT/CHMSMP,Renseignement ,Échantillonnage chimique ,L'action de détecter un contaminant chimique.,
91,INT/IDENT,Renseignement ,Identification ,"Déterminer l'identification d'une classe d'objet particulière, reconnaître le caractère amical ou ennemi d'un objet ou détecter la présence d'un objet.",
92,INT/ILLUMN,Renseignement ,Éclairage ,Fournir un éclairage en utilisant des projecteurs de recherche ou des illuminants pyrotechniques par diffusion ou réflexion.,
93,INT/LOCTNG,Renseignement ,Localisation ,Établir la position d'un objet.,
94,INT/NUCSMP,Renseignement ,Échantillonnage nucléaire ,L'action de détecter un contaminant radiologique.,
95,INT/OBSRNG,Renseignement ,Observation ,Fournir une vue continue et la possibilité de rapports sur l'activité d'un objet.,
96,INT/PLUMOD,Renseignement ,Modélisation de panache ,"Projection informatique de la zone affectée après un incident de pollution ou de contamination, utilisée pour prédire quelles zones peuvent nécessiter une évacuation.",
97,INT/PTRLNG,Renseignement ,Patrouille ,"Rassembler des informations ou mener une mission destructrice, harassante, de ratissage ou de sécurité.",
98,INT/SRVMET,Renseignement ,Surveillance météorologique ,La capacité à effectuer une observation systématique des conditions météorologiques.,
99,INT/SRVSEN,Renseignement ,Surveillance par capteur ,"La capacité à gérer, exploiter et entretenir des actifs de surveillance par capteur.",
100,INT/WITNSN,Renseignement ,Témoin ,Observer une activité qui pourrait nécessiter la fourniture de preuves.,
101,MAC/AII,Coopération multi-agences ,Assistance à l'enquête sur l'incident ,Personnel spécialement formé fournissant une assistance dans le cadre des enquêtes sur les incidents.,
102,MAC/COL,Coopération multi-agences ,Coordination avec d'autres agences ,Liaison et coopération entre différentes agences.,
103,MIL/BCESC,Activités militaires ,"Traversée de la frontière, escortée ",Une traversée de frontière qui est effectuée sous escorte.,
104,MIL/BLOCKN,Activités militaires ,Blocage ,Empêcher l'accès de l'ennemi à une zone ou empêcher sa progression dans une direction ou le long d'une voie d'approche.,
105,MIL/BOMBNG,Activités militaires ,Bombardement ,"Attaquer, endommager ou détruire à l'aide de bombes.",
106,MIL/CAPTUR,Activités militaires ,Capture ,"Prendre possession d'un objet, généralement par la force, impliquant fréquemment un mouvement en tant que phase préliminaire.",
107,MIL/CTRATK,Activités militaires ,Contre-attaque ,"Lancer une opération offensive dans laquelle une attaque par tout ou partie d'une force défensive est dirigée contre une force ennemie attaquante, dans le but spécifique de regagner le terrain perdu, de couper ou de détruire les unités ennemies de tête, et avec l'objectif général de reprendre l'initiative et de priver l'ennemi de l'atteinte de son but ou de son objectif d'attaque.",
108,MIL/DEFEND,Activités militaires ,Défense ,Protéger un objet défini contre une attaque ennemie.,
109,MIL/DISENG,Activités militaires ,Désengagement ,Mettre fin à une action.,
110,MIL/DIVRSN,Activités militaires ,Diversion ,Rendre inefficace ou inutilisable dans le cadre d'opérations militaires.,
111,MIL/DLBATK,Activités militaires ,Attaque ,"Mettre des bombes, des mines, des missiles et des pièges hors service.",
112,MIL/DSRPTN,Activités militaires ,Perturbation ,Le contrôle du lieu de l'incident d'urgence.,
113,MIL/ENVLPN,Activités militaires ,Enveloppement ,Protection d'une scène pour préserver les preuves.,
114,MIL/FIX,Activités militaires ,Fixation ,"Terme indiquant que les personnes dans une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et écouter la station de radio locale pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) utilisé au Portugal pour indiquer la zone affectée où les gens doivent entrer, rester à l'intérieur et écouter.",
115,MIL/HARASS,Activités militaires ,Harcèlement ,La cessation des activités de guerre.,
116,MIL/HIDE,Activités militaires ,Cachette ,Désengager une force en contact avec une force ennemie.,
117,MIL/HLDDEF,Activités militaires ,Maintien en position défensive ,Éliminer ou neutraliser un obstacle.,
118,MIL/HLDOFF,Activités militaires ,Maintien en position offensive ,La réactivation de la transmission de l'information.,
119,MIL/INFLTN,Activités militaires ,Infiltration ,La rétablissement de la capacité de communication.,
120,MIL/INTCPN,Activités militaires ,Interception ,"Construction, érection ou création d'un objet.",
121,MIL/INTDCT,Activités militaires ,Interdiction ,La capacité de construire diverses installations en soutien direct des opérations militaires.,
122,MIL/MASFOR,Activités militaires ,Concentration de forces ,La capacité de construire diverses installations en soutien direct des opérations navales.,
123,MIL/MIL,Activités militaires ,Missions spécifiques militaires ,Achat de tout ce qui est nécessaire pour accomplir une action particulière.,
124,MIL/WPNFIR,Activités militaires ,Tir d'armes ,Le tir d'armes.,
125,NET/COMDEA,Activités de réseau et de télécommunication ,Désactivation des communications ,La désactivation de la transmission d'informations.,
126,NET/DATTRF,Activités de réseau et de télécommunication ,Transfert de données ,Un service pour le transfert électronique de données.,
127,NET/NETJAM,Activités de réseau et de télécommunication ,Brouillage de réseau ,,
128,NET/NETSEI,Activités de réseau et de télécommunication ,Saisie de réseau ,,
129,NET/SGNC,Activités de réseau et de télécommunication ,Centre de nœud de signal ,"La capacité des services de transmission à gérer, exploiter et contrôler un centre de nœuds de communication.",
130,NET/SGNLE,Activités de réseau et de télécommunication ,Extension importante du nœud de signal ,"La capacité des services de transmission à gérer, exploiter et contrôler un grand nœud de communication.",
131,POL/NTRCOM,Activités de police ,"Neutralisation, combat ",Rendre inefficace ou inutilisable dans les opérations militaires ,
132,POL/NTREXP,Activités de police ,"Neutralisation, explosive ","Mettre hors service les bombes, les mines, les missiles et les pièges explosifs en toute sécurité ",
133,POL/SCNMNG,Activités de police ,Gestion de scène ,Le contrôle du site de l'incident d'urgence ,
134,POL/SCNPRS,Activités de police ,Préservation de la scène ,Protection d'une scène pour préserver les preuves ,
135,POL/SHELTR,Activités de police ,Hébergement ,"Terme indiquant que les personnes dans une zone ou une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et régler leur poste de radio local pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) Utilisé au Portugal pour indiquer la zone affectée où les personnes doivent entrer, rester à l'intérieur et régler leur poste de radio ",
136,POL/SUSHOS,Activités de police ,Suspension des hostilités ,La cessation des activités de guerre ,
137,POL/WITDRL,Activités de police ,Retrait ,Désengager une force en contact avec une force ennemie ,
138,REC/CLROBS,Activités de reconstruction/réhabilitation ,Déblaiement (obstacle) ,Éliminer ou neutraliser un obstacle ,
139,REC/COMACT,Activités de reconstruction/réhabilitation ,Activation des communications ,La réactivation de la transmission de l'information ,
140,REC/COMRES,Activités de reconstruction/réhabilitation ,Restauration des communications ,La rétablissement de la capacité de communiquer ,
141,REC/CONSTN,Activités de reconstruction/réhabilitation ,Construction ,"Construction, érection ou création d'un objet ",
142,REC/ENGCN,Activités de reconstruction/réhabilitation ,"Génie, construction ",La capacité de construire diverses installations en soutien direct des opérations militaires ,
143,REC/ENGCNN,Activités de reconstruction/réhabilitation ,"Génie, construction navale ",La capacité de construire diverses installations en soutien direct des opérations navales ,
144,REC/PROCUR,Activités de reconstruction/réhabilitation ,Approvisionnement ,Acheter tout ce qui est nécessaire pour accomplir une action particulière ,
145,REC/PRVACC,Activités de reconstruction/réhabilitation ,Fourniture d'hébergement ,"Fournir un espace pour recevoir des personnes, en particulier un lieu de vie ou de logement ",
146,REC/PRVAGR,Activités de reconstruction/réhabilitation ,Fourniture de soutien agricole ,Fournir des conseils ou des fournitures pour cultiver le sol et élever des animaux.,
147,REC/PRVBDD,Activités de reconstruction/réhabilitation ,Fourniture de literie ,"Fournir de l'espace pour accueillir des personnes, notamment un lieu de vie ou de logement.",
148,REC/PRVCMP,Activités de reconstruction/réhabilitation ,Fourniture de camps ,"Fournir un logement temporaire de divers types, généralement constitué de huttes ou de tentes, pour les détenus, les personnes sans-abri et d'autres utilisations d'urgence.",
149,REC/PRVCNS,Activités de reconstruction/réhabilitation ,Fourniture de services de construction ,Fournir de la main-d'œuvre et du matériel pour la construction d'installations.,
150,REC/PRVDCN,Activités de reconstruction/réhabilitation ,Fourniture de services de décontamination ,Fournir la purification de différents articles contaminés.,
151,REC/PRVEDU,Activités de reconstruction/réhabilitation ,Fourniture de services éducatifs ,Fournir de la main-d'œuvre et du matériel pour le processus éducatif.,
152,REC/PRVHLT,Activités de reconstruction/réhabilitation ,Fourniture de services de santé ,Fournir de la main-d'œuvre et du matériel pour le maintien de la santé et du bien-être général.,
153,REC/PRVHSN,Activités de reconstruction/réhabilitation ,Fourniture de soutien de la nation hôte ,"Fournir une assistance civile et/ou militaire fournie par une nation aux forces étrangères sur son territoire en temps de paix, en temps de crise ou d'urgence, ou en temps de guerre, sur la base d'accords mutuellement conclus entre les nations.",
154,REC/PRVINF,Activités de reconstruction/réhabilitation ,Fourniture d'infrastructures ,"Fournir des installations de base telles que des routes, des ponts et des égouts.",
155,REC/PRVLND,Activités de reconstruction/réhabilitation ,Fourniture de services de blanchisserie.,Fournir de la main-d'œuvre et du matériel pour le lavage de vêtements ou de linge.,
156,REC/PRVRPR,Activités de reconstruction/réhabilitation ,Fourniture de services de réparation ,Fournir de la main-d'œuvre et du matériel pour remettre des objets en bon état.,
157,REC/PRVSCY,Activités de reconstruction/réhabilitation ,Fourniture de services de sécurité ,Fournir de la main-d'œuvre et du matériel pour assurer la sécurité du personnel et des installations.,
158,REC/PRVSHL,Activités de reconstruction/réhabilitation ,Fourniture d'abris ,Fournir un logement.,
159,REC/PRVSTG,Activités de reconstruction/réhabilitation ,Fourniture de services de stockage ,Fournir des services de stockage.,
160,REC/PRVTRS,Activités de reconstruction/réhabilitation ,Fourniture de services de transbordement ,Fournir le mouvement de marchandises d'un navire ou d'un train à un autre pour un autre envoi.,
161,REC/PSO,Activités de reconstruction/réhabilitation ,Soutien à la paix ,La capacité à mener des opérations multifonctionnelles impliquant des forces militaires et des agences diplomatiques et humanitaires. Les opérations sont conçues pour atteindre des objectifs humanitaires ou un règlement pacifique à long terme.,
162,REC/SPLLDB,Activités de reconstruction/réhabilitation ,Approvisionnement en blanchisserie/bain ,La capacité à fournir des services de blanchisserie et/ou de bain.,
163,REC/SPLWAT,Activités de reconstruction/réhabilitation ,Approvisionnement en eau ,La capacité à fournir de l'eau potable.,
164,REC/UTILTY,Activités de reconstruction/réhabilitation ,Utilité ,"La capacité à fournir des services publics (eau, gaz, électricité, etc.).",
165,REC/WATER,Activités de reconstruction/réhabilitation ,Purification de l'eau ,La capacité à fournir de l'eau potable propre pour la boisson et la baignade.,
166,RSC/COVERN,Activités de reconstruction/réhabilitation ,Couverture ,Opérer en tant que force distincte de la force principale pour protéger la force principale en gagnant du temps tout en observant et en rapportant des informations et en empêchant l'observation ennemie du feu direct contre la force principale.,
167,RSC/FRFGTN,Activités de reconstruction/réhabilitation ,Lutte contre l'incendie ,L'activité d'extinction des incendies.,
168,RSC/SAR,Activités de reconstruction/réhabilitation ,Recherche et sauvetage ,"La capacité à utiliser des aéronefs, des navires, des sous-marins, des équipes de sauvetage spécialisées et de l'équipement pour rechercher et secourir des personnes en détresse sur terre ou en mer.",
169,SAV/AR,Activités de sauvetage ,Sauvetage en ambulance ,Sauvetage effectué par le personnel du service d'ambulance.,
170,SAV/SARHHA,Activités de sauvetage ,Recherche et sauvetage en atmosphères chaudes et dangereuses ,Procédures de recherche et de sauvetage d'urgence.,
171,SAV/SRW,Activités de sauvetage ,Recherche et sauvetage en eau ,Opérations de recherche et de sauvetage d'urgence impliquant de l'eau.,
172,SAV/USAR,Activités de sauvetage ,Recherche et sauvetage urbain (USAR) ,,
173,SAV/UW,Activités de sauvetage ,Sauvetage sous-marin ,Sauvetages impliquant l'utilisation d'équipes spécialisées et d'équipement tels que des plongeurs.,
174,SCS/EDU,Soutenir la sécurité communautaire ,Prévention des incendies et éducation du public à la sécurité incendie ,Système de structure de prévention des incendies et d'éducation du public en matière de sécurité incendie.,
175,SOC/CNDCNF,Activités sociales et de communication médiatique ,Organisation de conférences ,"Mener une réunion de discussion, en particulier une réunion régulière organisée par une association ou une organisation.",
176,SOC/CNDMED,Activités sociales et de communication médiatique ,Interviews avec les médias ,"Mener une conversation entre un journaliste, etc., et une personne d'intérêt public, utilisée comme base d'une diffusion ou d'une publication.",
177,SOC/CNDRCR,Activités sociales et de communication médiatique ,Organisation d'activités récréatives ,Mener une activité rafraîchissante ou divertissante.,
178,SOC/CNDSCL,Activités sociales et de communication médiatique ,Organisation d'événements sociaux ,"Mener une réunion sociale, en particulier celle organisée par un club ou une congrégation.",
179,SOC/CNDSPT,Activités sociales et de communication médiatique ,Organisation d'événements sportifs ,"Mener un jeu ou une activité compétitive, en particulier une activité en plein air impliquant un effort physique, comme le cricket, le football, la course, la chasse, etc.",
180,SOC/ISSMDA,Activités sociales et de communication médiatique ,Publication d'articles dans les médias ,"Diffuser, publier ou mettre en circulation un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine ou un journal.",
181,SOC/ISSMDD,Activités sociales et de communication médiatique ,Réalisation de documentaires médiatiques ,"Diffuser, publier ou mettre en circulation un document sur un support médiatique qui fournit un enregistrement ou un rapport factuel.",
182,SOC/ISSPRS,Activités sociales et de communication médiatique ,Publication de communiqués de presse ,"Diffuser, publier ou mettre en circulation une déclaration officielle émise à l'attention des médias pour information.",
183,SOC/MN,Activités sociales et de communication médiatique ,Cérémonie ou défilé ,La réunion formelle d'un groupe de personnes dans le but d'accomplir un acte ou une série d'actes prescrits par un protocole rituel ou une convention.,
184,SOC/PUBMDA,Activités sociales et de communication médiatique ,Publication d'articles dans les médias ,"Rendre généralement connu un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine, un journal, etc.",
185,SOC/PUBMDD,Activités sociales et de communication médiatique ,Réalisation de documentaires médiatiques ,Rendre généralement connu un document publié sur un support médiatique qui fournit un enregistrement ou un rapport factuel.,
186,SOC/PUBPRS,Activités sociales et de communication médiatique ,Publication de communiqués de presse.,Rendre généralement connue une déclaration officielle émise à l'attention des médias pour information.,
