,code,label_n1,label_n2,label_n3,description,commentaire
58,C02.09.07,,,Autre accident de sport ou de loisirs,,
59,C02.10.00,,Noyade,,,
60,C02.11.00,,Chute,,,
61,C02.11.01,,,Chute de grande hauteur,Chute de plus de 3 mètre (ou 1 étage),
62,C02.11.02,,,Chute de faible hauteur,Chute de moins de 3 mètres (y compris de sa hauteur),Départ réflexe si personne reste à terre.
63,C02.12.00,,Ensevelissement,,,
64,C02.13.00,,Tentative de suicide avec risque imminent,,,
65,C02.13.01,,,Médicamenteuse,,
66,C02.13.02,,,(par) Pendaison/ strangulation volontaire,,
67,C02.13.03,,,(par) Immolation,,
68,C02.13.04,,,(par) Arme à feu,,
69,C02.13.05,,,(par) Phlébotomie ou objet tranchant ou perforant,,
70,C02.13.06,,,(par) Défenestration,,
71,C02.13.07,,,(par) Suicide sur rails,,
72,C02.13.08,,,Autre type de tentative de suicide,,
73,C02.14.00,,Atteinte sexuelle,,,
74,C02.14.01,,,Suspicion de viol,,
75,C02.14.02,,,Agression sexuelle,"Toute atteinte sexuelle sans pénétration commise sur une victime avec violence, contrainte ou menace. Par exemple, des attouchements.",
76,C02.14.03,,,Exhibition sexuelle,,
77,C02.14.04,,,Harcèlement sexuel,"Fait d'imposer à une personne, de façon répétée, des propos ou comportements à connotation sexuelle qui :
> portent atteinte à sa dignité en raison de leur caractère dégradant ou humiliant,
> ou créent à son encontre une situation intimidante, hostile ou offensante.
Est assimilée au harcèlement sexuel toute forme de pression grave (même non répétée) dans le but réel ou apparent d'obtenir un acte sexuel, au profit de l'auteur des faits ou d'un tiers.",
78,C02.15.00,,Agression ou violence,,,
79,C02.15.01,,,Rixe ou bagarre,"> Rixe : Querelle violente, généralement publique, accompagnée de menaces et de coups
> Bagarre : Échange de coups ; rixe provoquant une mêlée et un tumulte",
80,C02.15.02,,,Agression ou violence physique,Dont agression sur autorité / agent public et dont violences sport,
81,C02.15.03,,,Agression verbale,Dont agression sur autorité / agent public et incivilités,
82,C02.15.04,,,Violences intra familiales,,
83,C02.15.05,,,Voie de fait,"En droit pénal, violence envers une personne, lorsque cette violence n'est pas qualifiée de blessure",
84,C02.15.06,,,Autre agression ou menace,"Dont menace, outrage rébellion, incident frontière",
85,C02.16.00,,Autre atteinte aux personnes,,,
86,C02.16.01,,,Jeux dangereux,,
87,C02.16.02,,,Autre type d’atteinte aux personnes,,
88,C02.16.03,,,Altercation – Incivilité,,
89,C07.03.00,,Différends et litiges inter-personnels,,,
90,C07.03.01,,,Différend familial,,
91,C07.03.02,,,Non représentation d’enfant,Refus de représenter un enfant mineur à la personne en droit de le réclamer,
92,C07.03.03,,,Différend de voisinage,,
93,C07.03.04,,,Autres différends,,"Dont locatifs, usagers et personnes chargées d'une mission de service public"
94,C07.03.05,,,Litiges,,"Dont litiges commerciaux, droit du travail"
95,C03.00.00,Atteinte aux biens / animal,,,,
96,C03.01.00,,"Dégradation volontaire de lieux, biens ou véhicules",,,
97,C03.01.01,,,Dégradation de bâtiment ou de local,Dont sabotage (sans atteinte de personne) et TAGS,
98,C03.01.02,,,Dégradation de véhicule,,
99,C03.01.03,,,Dégradations d’autres biens,,
100,C03.01.04,,,Jets de projectiles – Caillassages,,
101,C03.01.05,,,Profanation de cimetière ou lieu de culte,,
102,C03.02.00,,Vol,,,
103,C03.02.01,,,Vol à l’arraché,Vol avec violence commis en arrachant de force à la victime un objet convoité,
104,C03.02.02,,,Vol à la portière,Vol commis en ouvrant ou en brisant une portière de véhicule,
105,C03.02.03,,,Vol à l’étalage,,
106,C03.02.04,,,Vol à la roulotte,Vol commis dans un véhicule ou dans une roulotte,
107,C03.02.05,,,Vol de véhicule,,
108,C03.02.06,,,Vol de carburant,,
109,C03.02.07,,,Vol de DAB ou dans DAB,DAB : Distributeur automatique de billets,
110,C03.02.08,,,Vol de fret,,
111,C03.02.09,,,Vol de métaux,,
112,C03.02.10,,,Vol par ruse,,
113,C03.02.11,,,Vol d’armes,,
114,C03.02.12,,,Vol à main armée,,Dont autorité / commerce / édifice public / résidence / société
115,C03.02.13,,,"Vol avec violences, extorsion, racket",,Regroupement possible avec VAMA / Car jacking ?
116,C03.02.14,,,Car jacking,La piraterie routière ou carjacking est un vol de voiture ou autres véhicules motorisés avec menaces ou violence sur le conducteur du véhicule,
117,C03.02.15,,,Autre type de vol,,
118,C03.03.00,,Cambriolage,,,
119,C03.03.01,,,Home jacking,Le home-jacking consiste à s'introduire dans le domicile d'un particulier afin d'y récupérer les clés de sa voiture et repartir avec le véhicule,
120,C03.03.02,,,Autre type de cambriolage,,
121,C03.04.00,,Intrusion,,,
122,C03.04.01,,,Violation de domicile,,
123,C03.04.02,,,Déclenchement d’alarme intrusion,,
124,C03.05.00,,Escroquerie – filouterie – grivèlerie,,"> Filouterie : Escroquerie, vol
> Grivèlerie : Délit qui consiste à consommer sans payer, dans un café, un restaurant, un hôtel.*",
125,C03.06.00,,Autre atteinte aux biens,,,
126,C03.07.00,,Disparition d'animal,,,
127,C03.08.00,,Découverte / divagation d'animal,,,
128,C03.09.00,,Découverte d’animal mort / carcasse d’animal,,,
129,C03.10.00,,Hyménoptères,,Ex : abeilles,
130,C03.11.00,,Animal en difficulté / blessé,,,
131,C03.12.00,,Animal dangereux ou sauvage,,,
132,C03.13.00,,Epizootie,,Ex : grippe aviaire,
133,C03.14.00,,Braconnage,,,
134,C03.15.00,,Autre fait d’animal,,,
135,C04.00.00,Incendie,,,"En cas d’incendie et d’explosion, c’est le type d’explosion qui doit être saisi",
136,C04.01.00,,Incendie d'un moyen de transport / véhicule,,,
137,C04.01.01,,,"Véhicule léger, fourgon","Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes)",
138,C04.01.02,,,Camion de marchandises,"Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers",
139,C04.01.03,,,Bus car autocar,Véhicule de grande dimension affecté au transport de passagers,
140,C04.01.04,,,2-roues,"Tout véhicule à deux roues, avec ou sans moteur (bicyclette, cyclomoteur, motocyclette, …)",Motorisé ou non motorisé
141,C04.01.05,,,Train de voyageurs,Tout moyen de transport de personnes par voie ferroviaire,
142,C04.01.06,,,Train de marchandises,Tout moyen de transport de marchandises par voie ferroviaire,
143,C04.01.07,,,Bateau de voyageurs,"Tout moyen de transport de personnes par voie maritime, avec ou sans moteur (voilier, navire de plaisance, paquebot de croisière, …)",
144,C04.01.08,,,Bateau de marchandises,"Tout moyen de transport de marchandises par voie maritime, avec ou sans moteur (barque, navire de pêche, cargo, …)",
145,C04.01.09,,,Aéronef de marchandises,Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord,
146,C04.01.10,,,Aéronef de voyageurs,Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord,
147,C04.01.11,,,Aéronef militaire,Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord,
148,C04.02.00,,Incendie d'un bâtiment / local,,,
149,C04.02.01,,,Bâtiment d’habitation,,
150,C04.02.02,,,Bâtiment de bureaux,,
151,C04.02.03,,,Bâtiment industriel,,
152,C04.02.04,,,Bâtiment de production transport d'énergie,,
153,C04.03.00,,Incendie en milieu agricole,,,
154,C04.04.00,,Incendie en milieu industriel,,,
155,C04.05.00,,Incendie de forêt / végétation,,,
156,C04.06.00,,Feux de poubelles,,,
157,C04.07.00,,Feux de matériaux à l’air libre,,,
158,C04.07.01,,,Feu de produits de classe A,"Feu de matériaux solides dont la combustion forme des braises (cellulose, bois, papier, carton, tissu, fourrage, coton, etc.)",
159,C04.07.02,,,Feu de produits de classe B,"Feu de liquides et solides liquéfiables (hydrocarbures, goudron, brai, bougies, graisses, huiles, peintures, vernis, alcools, cétones, solvants et produits chimiques divers)",
160,C04.07.03,,,Feu de produits de classe C,"Feux de gaz (gaz naturels, gaz de pétrole liquéfiés comme le butane ou le propane, ou d'autres produits à l'état gazeux comme des produits chimiques, etc.)",
161,C04.07.04,,,Feu de produits de classe D,Feux de métaux,
162,C04.08.00,,Autre type d’incendie,,,
163,C04.09.00,,Alarme incendie,,,
164,C05.00.00,Explosion,,,"En cas d’incendie et d’explosion, c’est le type d’explosion qui doit être saisi",
165,C05.00.01,,Explosion d'un moyen de transport / véhicule,,,
166,C05.00.02,,Explosion d'un bâtiment / local,,,
167,C05.00.03,,Explosion d’un silo / lieu de stockage,,,
168,C05.00.04,,Explosion d’un(e) substance / engin explosif,,,
169,C05.00.05,,Autre type d’explosion,,,
170,C06.00.00,Suspicion d'infractions,,,,
171,C06.01.00,,Prostitution / Racolage,,,  (sans atteinte de personne)
172,C06.02.00,,Détention d’arme,,,
173,C06.03.00,,Infractions au code de la route,,,
174,C06.03.01,,,Stationnement dangereux,,
175,C06.03.02,,,Conduite délictueuse ou dangereuse,,
176,C06.03.03,,,Conduite en état alcoolique,,
177,C06.03.04,,,Stationnement irrégulier sensible,,
178,C06.03.05,,,Délit de fuite,,
179,C06.03.06,,,Conduite à contre-sens,,
180,C06.04.00,,Infractions à la législation sur le travail,,,
181,C06.04.01,,,Infractions à la législation sur les professions réglementées,,
182,C06.04.02,,,Vente à la sauvette,Les ventes à la sauvette sont des ventes qui sont faites sans autorisation sur le domaine public,
183,C06.05.00,,Trafic de stupéfiants,,,
184,C06.06.00,,Affaire liée a la législation sur les séjours en France,,,
185,C06.06.01,,,Remise  - découverte ESI,ESI : étranger en situation irrégulière,
186,C06.07.00,,Occupation illégale d’un lieu,,,
187,C06.07.01,,,Squat,,
188,C06.07.02,,,Lieu de culte clandestin,,
189,C06.08.00,,Autres Infractions,,,
190,C06.08.01,,,Infraction aérienne,,
191,C06.08.02,,,infraction comportement voyageur,,
192,C06.08.03,,,Fausse monnaie,"Contrefaçon frauduleuse de la monnaie (pièces, billets)",
193,C06.08.04,,,Orpaillage,Prospection et extraction artisanale de l’or dans les rivières.,
194,C06.08.05,,,Jeux illégaux,Ex : jeux d’argent et paris clandestins,
195,C06.08.06,,,Non respect décision de justice,,
196,C07.00.00,Ordre public,,,,
197,C07.01.00,,Alerte à la bombe,,Violences collectives en milieu urbain,
198,C07.02.00,,Violence urbaine,,,
199,C07.03.00,,Différends et litiges inter-personnels,,,
200,C07.03.01,,,Différend familial,,
201,C07.03.02,,,Non représentation d’enfant,Refus de représenter un enfant mineur à la personne en droit de le réclamer,
202,C07.03.03,,,Différend de voisinage,,
203,C07.03.04,,,Autres différends,,"Dont locatifs, usagers et personnes chargées d'une mission de service public"
204,C07.03.05,,,Litiges,,"Dont litiges commerciaux, droit du travail"
205,C07.04.00,,Rassemblement,,,
206,C07.04.01,,,Grève,,
207,C07.04.02,,,Manifestation,,
208,C07.04.03,,,Free party / rave party / teknival,,
209,C07.04.04,,,Autre rassemblement,,
210,C07.05.00,,Ivresse publique et manifeste,,,
211,C07.06.00,,OVNI- PAN,,"> OVNI = Objet volant non identifié
> PAN = Phénomène aérospatial non identifié",
212,C07.07.00,,Nuisances particulières,,,
213,C07.07.01,,,Obstacle,,
214,C07.07.02,,,Nuisance aéronautique,,
215,C07.07.03,,,Tapage,,
216,C07.07.04,,,Ouverture intempestives de bouches incendies,,
217,C07.07.05,,,Perturbateurs - indésirables,,
218,C07.08.00,,Détournement,,,
219,C07.08.01,,,Détournement d’aéronef,,
220,C07.08.02,,,Détournement de navire,,
221,C07.08.03,,,Détournement de véhicule,,
222,C07.09.00,,Comportement suspect ou dangereux,,,
223,C07.09.01,,,Forcené,Personne intensément violente,
224,C07.09.02,,,Personne dangereuse,,
225,C07.09.03,,,Personne suspecte rôdeur,,
226,C07.09.05,,,Piéton sur autoroute voie rapide,,
227,C07.10.00,,Véhicule suspect,,,
228,C07.11.00,,"Colis, bagages ou enveloppes suspects",,,
229,C07.12.00,,Coups de feu,,,
230,C07.13.00,,Autres troubles à l’ordre public,,,
231,C07.13.01,,,Mutinerie / incident en centre de détention,,
232,C07.13.02,,,Rodéo automobile,"Course bruyante et agitée d'autos, de motos",
233,C07.13.03,,,Attroupement,,
234,C07.13.04,,,Blocage de site,,
235,C07.13.05,,,Survol illicite,,
236,C07.13.06,,,Incident,,
237,C07.13.07,,,Autre trouble à l’ordre public,,dont personne excitée
238,C08.00.00,Aléas naturel / environnemental / météorologique,,,,
239,C08.01.00,,Inondation,,,
240,C08.02.00,,Avalanche,,,
241,C08.03.00,,Tremblement de terre,,,
242,C08.04.00,,Foudre,,,
243,C08.05.00,,Tempête,,,
244,C08.06.00,,Éboulement / effondrement,,,
245,C08.07.00,,Affaissement de la chaussée,,,A préciser ?
246,C08.08.00,,Pollution,,,
247,C08.08.01,,,Pollution terrestre,,
248,C08.08.02,,,Pollution aquatique,,
249,C08.09.00,,Intempérie importante,,,
250,C08.10.00,,Autre aléas naturel / environnemental / météorologique,,,
251,C08.10.01,,,Catastrophe naturelle,,
252,C09.00.00,Aléas technologique ou technique,,,,
253,C09.01.00,,Électricité,,,
254,C09.01.01,,,Court-circuit,,
255,C09.01.02,,,Panne électrique,,
256,C09.01.03,,,Fil électrique tombé,,
257,C09.01.04,,,Rupture / Arrachement de câble (ou support),,
258,C09.02.00,,Fuite d’eau,,,
259,C09.03.00,,Fuite de gaz,,,
260,C09.03.01,,,Fuite de gaz importante,,
261,C09.04.00,,Fuite d’autres fluides,,,
262,C09.04.01,,,Fuite de fluides liquides,,
263,C09.04.02,,,Fuite de fluides gazeux,,
264,C09.05.00,,Immeuble en péril,,,
265,C09.06.00,,Panne d’ascenseur,,,
266,C09.07.00,,Chaudière surchauffée,,,
267,C09.08.00,,Autre aléas technologique,,,
268,C10.00.00,Disparitions et découvertes,,,,
269,C10.01.00,,Disparition ou découverte d’individu,,,
270,C10.01.01,,,Fuite de malfaiteur / évasion,Personnes recherchées pour raison judiciaire,
271,C10.01.02,,,Fuite de personnes avec troubles psychiatriques/neurologiques ,,
272,C10.01.03,,,Disparition de personne vulnérable,Dont mineurs et personnes âgées et/ou handicapées,
273,C10.01.04,,,Absence de réponse aux appels,,
274,C10.01.05,,,Autre disparition inquiétante,Dont retard inquiétant,
275,C10.01.06,,,Fugue,,
276,C10.01.07,,,Recherche secours investigation,,
277,C10.01.08,,,Découverte de personne égarée,"Dont mineurs, majeurs et personnes sur autoroute",
278,C10.02.00,,Découverte de cadavre,,,
279,C10.02.01,,,Mort a priori suspecte,Ex : recueil de témoignage direct ou indirect relatant un probable homicide,
280,C10.02.02,,,Mort a priori naturelle,Ex : recueil de témoignage direct ou indirect relatant un probable accident,
281,C10.03.00,,Disparition ou découverte d’objet,,,
282,C10.03.01,,,Disparition d'objet,Dont perte,
283,C10.03.02,,,Découverte d’objet,Dont coffre-fort,
284,C10.04.00,,Disparition ou découverte d’engin explosif,,,
285,C10.04.01,,,Disparition d’engin explosif,,
286,C10.04.02,,,Découverte d’engin explosif,,
287,C10.05.00,,Découverte de stupéfiants,,,
288,C10.06.00,,Découverte d’armes,,,
289,C10.07.00,,Découverte de véhicule volé,,,
290,C10.08.00,,Autre découverte,,,
291,C11.00.00,Autre nature de fait,,,,
292,C11.01.00,,Alarme,,,Dont télésurveillance et RAMSES
293,C11.02.00,,Demande de sécurisation,,,
294,C11.02.01,,,Protection de Drop Zone,,
295,C11.02.02,,,Visite sensible autorité / convoi escorte,,
296,C11.03.00,,Demande d’information et d’orientation,,,
297,C11.03.01,,,Demande de renseignement,,
298,C11.03.02,,,Conseil et orientation,,
299,C11.04.00,,"Appels malveillants, appels anonymes intempestifs",,,
300,C11.05.00,,Dépannage / panne,,,
301,C11.05.01,,,"Echouement, naufrage",,
302,C11.05.02,,,Dépannage véhicule,,
303,C11.05.03,,,Porte verrouillée,,
304,C11.06.00,,Autre nature de fait,,,
