code;label_n1;label_n2;label_n3;description;commentaire
C02.01.00;;Attentat;;Un ou plusieurs actes de violence de nature à mettre en péril les institutions de la République ou à porter atteinte à l'intégrité du territoire national (Article 412-1 du Code Pénal) - Dont attentat sur autorité / tuerie planifiée;
C02.02.00;;Prise d’otage;;Détention de personnes contre leur volonté, le plus souvent dans un but revendicatif;
C02.03.00;;Homicide ou infanticide;;;
C02.03.01;;;Homicide;Meurtre volontaire ou involontaire d’un autre être humain;
C02.03.02;;;Infanticide;Meurtre volontaire ou involontaire d’un autre être humain âgé de moins de 15 ans;
C02.04.00;;Enlèvement / séquestration;;;
C02.04.01;;;Alerte enlèvement;"> Enlèvement d’un enfant sujet au déclenchement du dispositif Alerte Enlèvement par le procureur de la République territorialement compétent
> 4 critères de déclenchement :
* Enlèvement avéré (il ne s’agit pas d’une disparition, même inquiétante)
* La victime est mineure
* La vie ou l’intégrité physique de l’enfant est en danger";
C02.04.02;;;Enlèvement;Enlèvement d’une personne (il ne s’agit pas d’une disparition, même inquiétante);
C02.04.03;;;Séquestration;Action de retenir une personne enfermée contre son gré en dehors de toute autorité légale en usant de violence, de ruse ou de la menace;
C02.05.00;;Pathologie / maladie;;;
C02.05.01;;;Médicale;Tout problème médical autre qu’obstétrique ou psychiatrique (liste détaillée disponible dans les motifs de recours médico-secouriste);
C02.05.02;;;Obstétrique;Tout problème médical relatif à la grossesse et à l'accouchement;
C02.05.03;;;Psychiatrique;Tout problème médical relatif à un problème psychiatrique (dont HDT / HO / Hospitalisation sans consentement);
C02.06.00;;Épidémie / TIAC;;;
C02.06.01;;;Intoxication alimentaire collective (TIAC);Apparition d’au moins deux cas similaires d’une symptomatologie, en général gastro-intestinale, dont on peut rapporter la cause à une même origine alimentaire;
C02.07.00;;Personne exposée (à);;;
C02.07.01;;;à la chaleur, canicule;;
C02.07.02;;;au froid;;
C02.07.03;;;aux flammes, à la fumée;;
C02.07.04;;;à produits chimiques ou toxiques / Accident technologique / Intervention à caractère NRBC;NRBC : nucléaire, radiologique, biologique et/ou chimique;
C02.07.05;;;Electrisation, foudroiement;;
C02.08.00;;Traumatisme / Accident;;;
C02.08.01;;;Accident avec machine professionnelle / Accident du travail;A l’occasion et par le fait du travail dans un milieu professionnel;
C02.08.02;;;Accident domestique;"> Tout accident (traumatisme, intoxication, brûlure, …) survenu à l’intérieur d’un domicile ou de ses dépendances, impliquant une ou plusieurs victimes qui se livraient à une occupation non rémunérée
> Dont électroménager, appareil domestique, jouet";
C02.08.03;;;Autre accident (hors sport et loisirs);;
C02.08.04;;;Par arme à feu;;
C02.08.05;;;Par objet tranchant ou perforant;;
C02.08.06;;;Blessures, piqûre, morsure d'animaux;;
C02.08.07;;;Pendaison / strangulation accidentelle;;
C02.08.08;;;Etouffement / fausse route;;
C02.09.00;;Accident de sport ou de loisirs;;;
C02.09.01;;;Accident de chasse;;
C02.09.02;;;Accident de plongée;;
C02.09.03;;;Accident de spéléologie;;
C02.09.04;;;Accident en montagne;;
C02.09.05;;;Accident de parachutisme ou deltaplane;;
C02.09.06;;;Accident de pêche;;
C02.09.07;;;Autre accident de sport ou de loisirs;;
C02.10.00;;Noyade;;;
C02.11.00;;Chute;;;
C02.11.01;;;Chute de grande hauteur;Chute de plus de 3 mètre (ou 1 étage);
C02.11.02;;;Chute de faible hauteur;Chute de moins de 3 mètres (y compris de sa hauteur);Départ réflexe si personne reste à terre.
C02.12.00;;Ensevelissement;;;
C02.13.00;;Tentative de suicide avec risque imminent;;;
C02.13.01;;;Médicamenteuse;;
C02.13.02;;;(par) Pendaison/ strangulation volontaire;;
C02.13.03;;;(par) Immolation;;
C02.13.04;;;(par) Arme à feu;;
C02.13.05;;;(par) Phlébotomie ou objet tranchant ou perforant;;
C02.13.06;;;(par) Défenestration;;
C02.13.07;;;(par) Suicide sur rails;;
C02.13.08;;;Autre type de tentative de suicide;;
C02.14.00;;Atteinte sexuelle;;;
C02.14.01;;;Suspicion de viol;;
C02.14.02;;;Agression sexuelle;Toute atteinte sexuelle sans pénétration commise sur une victime avec violence, contrainte ou menace. Par exemple, des attouchements.;
C02.14.03;;;Exhibition sexuelle;;
C02.14.04;;;Harcèlement sexuel;"Fait d'imposer à une personne, de façon répétée, des propos ou comportements à connotation sexuelle qui :
> portent atteinte à sa dignité en raison de leur caractère dégradant ou humiliant,
> ou créent à son encontre une situation intimidante, hostile ou offensante.
Est assimilée au harcèlement sexuel toute forme de pression grave (même non répétée) dans le but réel ou apparent d'obtenir un acte sexuel, au profit de l'auteur des faits ou d'un tiers.";
C02.14.00;;Agression ou violence;;;
C02.14.01;;;Rixe ou bagarre;"> Rixe : Querelle violente, généralement publique, accompagnée de menaces et de coups
> Bagarre : Échange de coups ; rixe provoquant une mêlée et un tumulte";
C02.14.02;;;Agression ou violence physique;Dont agression sur autorité / agent public et dont violences sport;
C02.14.03;;;Agression verbale;Dont agression sur autorité / agent public et incivilités;
C02.14.04;;;Violences intra familiales;;
C02.14.05;;;Voie de fait;En droit pénal, violence envers une personne, lorsque cette violence n'est pas qualifiée de blessure;
C02.14.06;;;Autre agression ou menace;Dont menace, outrage rébellion, incident frontière;
C02.15.00;;Autre atteinte aux personnes;;;
C02.15.01;;;Jeux dangereux;;
C02.15.02;;;Autre type d’atteinte aux personnes;;
C02.15.03;;;Altercation – Incivilité;;
C03.00.00;Atteinte aux biens / animal;;;;
C03.01.00;;Dégradation volontaire de lieux, biens ou véhicules;;;
C03.01.01;;;Dégradation de bâtiment ou de local;Dont sabotage (sans atteinte de personne) et TAGS;
C03.01.02;;;Dégradation de véhicule;;
C03.01.03;;;Dégradations d’autres biens;;
C03.01.04;;;Jets de projectiles – Caillassages;;
C03.01.05;;;Profanation de cimetière ou lieu de culte;;
C03.02.00;;Vol;;;
C03.02.01;;;Vol à l’arraché;Vol avec violence commis en arrachant de force à la victime un objet convoité;
C03.02.02;;;Vol à la portière;Vol commis en ouvrant ou en brisant une portière de véhicule;
C03.02.03;;;Vol à l’étalage;;
C03.02.04;;;Vol à la roulotte;Vol commis dans un véhicule ou dans une roulotte;
C03.02.05;;;Vol de véhicule;;
C03.02.06;;;Vol de carburant;;
C03.02.07;;;Vol de DAB ou dans DAB;DAB : Distributeur automatique de billets;
C03.02.08;;;Vol de fret;;
C03.02.09;;;Vol de métaux;;
C03.02.10;;;Vol par ruse;;
C03.02.11;;;Vol d’armes;;
C03.02.12;;;Vol à main armée;;Dont autorité / commerce / édifice public / résidence / société
C03.02.13;;;Vol avec violences, extorsion, racket;;Regroupement possible avec VAMA / Car jacking ?
C03.02.14;;;Car jacking;La piraterie routière ou carjacking est un vol de voiture ou autres véhicules motorisés avec menaces ou violence sur le conducteur du véhicule;
C03.02.15;;;Autre type de vol;;
C03.03.00;;Cambriolage;;;
C03.03.01;;;Home jacking;Le home-jacking consiste à s'introduire dans le domicile d'un particulier afin d'y récupérer les clés de sa voiture et repartir avec le véhicule;
C03.03.02;;;Autre type de cambriolage;;
C03.04.00;;Intrusion;;;
C03.04.01;;;Violation de domicile;;
C03.04.02;;;Déclenchement d’alarme intrusion;;
C03.05.00;;Escroquerie – filouterie – grivèlerie;;"> Filouterie : Escroquerie, vol
> Grivèlerie : Délit qui consiste à consommer sans payer, dans un café, un restaurant, un hôtel.*";
C03.06.00;;Autre atteinte aux biens;;;
C03.07.00;;Disparition d'animal;;;
C03.08.00;;Découverte / divagation d'animal;;;
C03.09.00;;Découverte d’animal mort / carcasse d’animal;;;
C03.10.00;;Hyménoptères;;Ex : abeilles;
C03.11.00;;Animal en difficulté / blessé;;;
C03.12.00;;Animal dangereux ou sauvage;;;
C03.13.00;;Epizootie;;Ex : grippe aviaire;
C03.14.00;;Braconnage;;;
C03.15.00;;Autre fait d’animal;;;
C04.00.00;Incendie;;;En cas d’incendie et d’explosion, c’est le type d’explosion qui doit être saisi;
C04.01.00;;Incendie d'un moyen de transport / véhicule;;;
C04.01.01;;;Véhicule léger, fourgon;Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes);
C04.01.02;;;Camion de marchandises;Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers;
C04.01.03;;;Bus car autocar;Véhicule de grande dimension affecté au transport de passagers;
C04.01.04;;;2-roues;Tout véhicule à deux roues, avec ou sans moteur (bicyclette, cyclomoteur, motocyclette, …);Motorisé ou non motorisé
C04.01.05;;;Train de voyageurs;Tout moyen de transport de personnes par voie ferroviaire;
C04.01.06;;;Train de marchandises;Tout moyen de transport de marchandises par voie ferroviaire;
C04.01.07;;;Bateau de voyageurs;Tout moyen de transport de personnes par voie maritime, avec ou sans moteur (voilier, navire de plaisance, paquebot de croisière, …);
C04.01.08;;;Bateau de marchandises;Tout moyen de transport de marchandises par voie maritime, avec ou sans moteur (barque, navire de pêche, cargo, …);
C04.01.09;;;Aéronef de marchandises;Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord;
C04.01.10;;;Aéronef de voyageurs;Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord;
C04.01.11;;;Aéronef militaire;Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord;
C04.02.00;;Incendie d'un bâtiment / local;;;
C04.02.01;;;Bâtiment d’habitation;;
C04.02.02;;;Bâtiment de bureaux;;
C04.02.03;;;Bâtiment industriel;;
C04.02.04;;;Bâtiment de production transport d'énergie;;
C04.03.00;;Incendie en milieu agricole;;;
C04.04.00;;Incendie en milieu industriel;;;
C04.05.00;;Incendie de forêt / végétation;;;
C04.06.00;;Feux de poubelles;;;
C04.07.00;;Feux de matériaux à l’air libre;;;
C04.07.01;;;Feu de produits de classe A;Feu de matériaux solides dont la combustion forme des braises (cellulose, bois, papier, carton, tissu, fourrage, coton, etc.);
C04.07.02;;;Feu de produits de classe B;Feu de liquides et solides liquéfiables (hydrocarbures, goudron, brai, bougies, graisses, huiles, peintures, vernis, alcools, cétones, solvants et produits chimiques divers);
C04.07.03;;;Feu de produits de classe C;Feux de gaz (gaz naturels, gaz de pétrole liquéfiés comme le butane ou le propane, ou d'autres produits à l'état gazeux comme des produits chimiques, etc.);
C04.07.04;;;Feu de produits de classe D;Feux de métaux;
C04.08.00;;Autre type d’incendie;;;
C04.09.00;;Alarme incendie;;;
C05.00.00;Explosion;;;En cas d’incendie et d’explosion, c’est le type d’explosion qui doit être saisi;
C05.00.01;;Explosion d'un moyen de transport / véhicule;;;
C05.00.02;;Explosion d'un bâtiment / local;;;
C05.00.03;;Explosion d’un silo / lieu de stockage;;;
C05.00.04;;Explosion d’un(e) substance / engin explosif;;;
C05.00.05;;Autre type d’explosion;;;
C06.00.00;Suspicion d'infractions;;;;
C06.01.00;;Prostitution / Racolage;;;  (sans atteinte de personne)
C06.02.00;;Détention d’arme;;;
C06.03.00;;Infractions au code de la route;;;
C06.03.01;;;Stationnement dangereux;;
C06.03.02;;;Conduite délictueuse ou dangereuse;;
C06.03.03;;;Conduite en état alcoolique;;
C06.03.04;;;Stationnement irrégulier sensible;;
C06.03.05;;;Délit de fuite;;
C06.03.06;;;Conduite à contre-sens;;
C06.04.00;;Infractions à la législation sur le travail;;;
C06.04.01;;;Infractions à la législation sur les professions réglementées;;
C06.04.02;;;Vente à la sauvette;Les ventes à la sauvette sont des ventes qui sont faites sans autorisation sur le domaine public;
C06.05.00;;Trafic de stupéfiants;;;
C06.06.00;;Affaire liée a la législation sur les séjours en France;;;
C06.06.01;;;Remise  - découverte ESI;ESI : étranger en situation irrégulière;
C06.07.00;;Occupation illégale d’un lieu;;;
C06.07.01;;;Squat;;
C06.07.02;;;Lieu de culte clandestin;;
C06.08.00;;Autres Infractions;;;
C06.08.01;;;Infraction aérienne;;
C06.08.02;;;infraction comportement voyageur;;
C06.08.03;;;Fausse monnaie;Contrefaçon frauduleuse de la monnaie (pièces, billets);
C06.08.04;;;Orpaillage;Prospection et extraction artisanale de l’or dans les rivières.;
C06.08.05;;;Jeux illégaux;Ex : jeux d’argent et paris clandestins;
C06.08.06;;;Non respect décision de justice;;
C07.00.00;Ordre public;;;;
C07.01.00;;Alerte à la bombe;;Violences collectives en milieu urbain;
C07.02.00;;Violence urbaine;;;
C07.03.00;;Différends et litiges inter-personnels;;;
C07.03.01;;;Différend familial;;
C07.03.02;;;Non représentation d’enfant;Refus de représenter un enfant mineur à la personne en droit de le réclamer;
C07.03.03;;;Différend de voisinage;;
C07.03.04;;;Autres différends;;Dont locatifs, usagers et personnes chargées d'une mission de service public
C07.03.05;;;Litiges;;Dont litiges commerciaux, droit du travail
C07.04.00;;Rassemblement;;;
C07.04.01;;;Grève;;
C07.04.02;;;Manifestation;;
C07.04.03;;;Free party / rave party / teknival;;
C07.04.04;;;Autre rassemblement;;
C07.05.00;;Ivresse publique et manifeste;;;
C07.06.00;;OVNI- PAN;;"> OVNI = Objet volant non identifié
> PAN = Phénomène aérospatial non identifié";
C07.07.00;;Nuisances particulières;;;
C07.07.01;;;Obstacle;;
C07.07.02;;;Nuisance aéronautique;;
C07.07.03;;;Tapage;;
C07.07.04;;;Ouverture intempestives de bouches incendies;;
C07.07.05;;;Perturbateurs - indésirables;;
C07.08.00;;Détournement;;;
C07.08.01;;;Détournement d’aéronef;;
C07.08.02;;;Détournement de navire;;
C07.08.03;;;Détournement de véhicule;;
C07.09.00;;Comportement suspect ou dangereux;;;
C07.09.01;;;Forcené;Personne intensément violente;
C07.09.02;;;Personne dangereuse;;
C07.09.03;;;Personne suspecte rôdeur;;
C07.09.05;;;Piéton sur autoroute voie rapide;;
C07.10.00;;Véhicule suspect;;;
C07.11.00;;Colis, bagages ou enveloppes suspects;;;
C07.12.00;;Coups de feu;;;
C07.13.00;;Autres troubles à l’ordre public;;;
C07.13.01;;;Mutinerie / incident en centre de détention;;
C07.13.02;;;Rodéo automobile;Course bruyante et agitée d'autos, de motos;
C07.13.03;;;Attroupement;;
C07.13.04;;;Blocage de site;;
C07.13.05;;;Survol illicite;;
C07.13.06;;;Incident;;
C07.13.07;;;Autre trouble à l’ordre public;;dont personne excitée
C08.00.00;Aléas naturel / environnemental / météorologique;;;;
C08.01.00;;Inondation;;;
C08.02.00;;Avalanche;;;
C08.03.00;;Tremblement de terre;;;
C08.04.00;;Foudre;;;
C08.05.00;;Tempête;;;
C08.06.00;;Éboulement / effondrement;;;
C08.07.00;;Affaissement de la chaussée;;;A préciser ?
C08.08.00;;Pollution;;;
C08.08.01;;;Pollution terrestre;;
C08.08.02;;;Pollution aquatique;;
C08.09.00;;Intempérie importante;;;
C08.10.00;;Autre aléas naturel / environnemental / météorologique;;;
C08.10.01;;;Catastrophe naturelle;;
C09.00.00;Aléas technologique ou technique;;;;
C09.01.00;;Électricité;;;
C09.01.01;;;Court-circuit;;
C09.01.02;;;Panne électrique;;
C09.01.03;;;Fil électrique tombé;;
C09.01.04;;;Rupture / Arrachement de câble (ou support);;
C09.02.00;;Fuite d’eau;;;
C09.03.00;;Fuite de gaz;;;
C09.03.01;;;Fuite de gaz importante;;
C09.04.00;;Fuite d’autres fluides;;;
C09.04.01;;;Fuite de fluides liquides;;
C09.04.02;;;Fuite de fluides gazeux;;
C09.05.00;;Immeuble en péril;;;
C09.06.00;;Panne d’ascenseur;;;
C09.07.00;;Chaudière surchauffée;;;
C09.08.00;;Autre aléas technologique;;;
C10.00.00;Disparitions et découvertes;;;;
C10.01.00;;Disparition ou découverte d’individu;;;
C10.01.01;;;Fuite de malfaiteur / évasion;Personnes recherchées pour raison judiciaire;
C10.01.02;;;Fuite de personnes avec troubles psychiatriques/neurologiques ;;
C10.01.03;;;Disparition de personne vulnérable;Dont mineurs et personnes âgées et/ou handicapées;
C10.01.04;;;Absence de réponse aux appels;;
C10.01.05;;;Autre disparition inquiétante;Dont retard inquiétant;
C10.01.06;;;Fugue;;
C10.01.07;;;Recherche secours investigation;;
C10.01.08;;;Découverte de personne égarée;Dont mineurs, majeurs et personnes sur autoroute;
C10.02.00;;Découverte de cadavre;;;
C10.02.01;;;Mort a priori suspecte;Ex : recueil de témoignage direct ou indirect relatant un probable homicide;
C10.02.02;;;Mort a priori naturelle;Ex : recueil de témoignage direct ou indirect relatant un probable accident;
C10.03.00;;Disparition ou découverte d’objet;;;
C10.03.01;;;Disparition d'objet;Dont perte;
C10.03.02;;;Découverte d’objet;Dont coffre-fort;
C10.04.00;;Disparition ou découverte d’engin explosif;;;
C10.04.01;;;Disparition d’engin explosif;;
C10.04.02;;;Découverte d’engin explosif;;
C10.05.00;;Découverte de stupéfiants;;;
C10.06.00;;Découverte d’armes;;;
C10.07.00;;Découverte de véhicule volé;;;
C10.08.00;;Autre découverte;;;
C11.00.00;Autre nature de fait;;;;
C11.01.00;;Alarme;;;Dont télésurveillance et RAMSES
C11.02.00;;Demande de sécurisation;;;
C11.02.01;;;Protection de Drop Zone;;
C11.02.02;;;Visite sensible autorité / convoi escorte;;
C11.03.00;;Demande d’information et d’orientation;;;
C11.03.01;;;Demande de renseignement;;
C11.03.02;;;Conseil et orientation;;
C11.04.00;;Appels malveillants, appels anonymes intempestifs;;;
C11.05.00;;Dépannage / panne;;;
C11.05.01;;;Echouement, naufrage;;
C11.05.02;;;Dépannage véhicule;;
C11.05.03;;;Porte verrouillée;;
C11.06.00;;Autre nature de fait;;;
