code;label_n1;label_n2;label_n3;description;commentaire
L02.05.04;;;Véhicule militaire;;
L02.05.05;;;Convoi exceptionnel;;
L02.05.06;;;Métro;;
L02.05.07;;;Tramway;;
L02.05.08;;;Aéronef de marchandises;Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord;
L02.05.09;;;Aéronef de voyageurs;Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord;
L02.05.10;;;Aeronef militaire;Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord;
L02.05.11;;;Bateau de marchandises;Tout moyen de transport de marchandises par voie ferroviaire;
L02.05.12;;;Bateau de voyageurs;Tout moyen de transport de personnes par voie ferroviaire;
L02.05.13;;;Sous-marin;;
L02.05.14;;;Train de voyageurs;;
L02.05.15;;;Train de marchandises;;
L02.05.16;;;Téléphérique, télésiege;;
L02.06.00;;Aéroport / aérodrome;;;
L02.06.01;;;Aéroport - zone non accessible au public ou zone coté piste;;
L02.06.02;;;Aéroport - zone publique (salle d'enregistrement);;
L02.06.03;;;Aéroport - zone sous contrôle de la Douane;;En attente de retours DGGN
L02.06.04;;;Piste de décollage;;En attente de retours DGGN
L02.06.05;;;Voie d'accès aux pistes;;En attente de retours DGGN
L02.06.06;;;Aérodrome – toutes zones;;
L02.06.07;;;CRNA;Centre régional de la navigation aérienne;
L02.06.08;;;PCZAR;Zone critique à accès réglementé;
L02.07.00;;Gare ferroviaire et routière;;Dont billetterie;
L02.07.01;;;Hall de gare;;
L02.07.02;;;Quai de gare;;
L02.08.00;;Autre type de lieu lié à la circulation ou au transport;;;
L03.00.00;Local d’activité professionnelle;;;;
L03.01.00;;Local administratif;;Ex : Bureau, back-office administratif d’un local commercial;
L03.02.00;;Local agricole;;;
L03.03.00;;Local artisanal;;Lieu d’activité professionnelle impliquant un nombre réduit de travailleurs manuels (ex : caractère familial);
L03.04.00;;Local industriel;;Lieu d’activité professionnelle collective, équipement lourds;
L03.05.00;;Autre local d’activité professionnelle;;;
L04.00.00;Lieu accueillant du public;;;;
L04.01.00;;Espace public non couvert;;Ex : square, parc;
L04.02.00;;Centre commercial / magasin;;;
L04.02.01;;;Boutique;;
L04.02.02;;;Grande surface;;
L04.02.03;;;Centre commercial;;
L04.03.00;;Parc de stationnement ouvert au public;;;
L04.03.01;;;Parking souterrain;;
L04.03.02;;;Parking couvert;;
L04.03.03;;;Parking aérien;;
L04.04.00;;Lieu de culte;;;
L04.05.00;;Cimetière;;;
L04.06.00;;Espace évènementiel et/ou culturel;;;
L04.06.01;;;Cinéma / théâtre / salle de concert;;
L04.06.02;;;Musée / monument touristique;;
L04.06.03;;;Parc des expositions;;
L04.06.04;;;Parc d’attractions / fête foraine;;
L04.06.05;;;Zoo;;
L04.07.00;;Établissement de santé;;;
L04.07.01;;;A l’intérieur;Ex : enceinte d’un hôpital, clinique ou cure thermale;
L04.07.02;;;A l’extérieur;Ex : jardin, abords d’un hôpital, clinique ou cure thermale;
L04.07.03;;;Lieu privatif de liberté dans l’établissement de santé;Dont psychiatrie, unité hospitalière sécurisée interrégionale (UHSI);
L04.08.00;;Local de profession de santé;;Dont centres et cabinets « individuels »;
L04.08.01;;;Cabinet médical ou paramédical;;
L04.08.02;;;Pharmacie, laboratoire de biologie médicale (LBM);;
L04.09.00;;Établissement médico-social;;;
L04.09.01;;;Établissement d’hébergement de personnes âgées et/ou dépendantes (EHPAD), résidence autonomie;;
L04.09.02;;;Etablissement pour personnes handicapées;;
L04.10.00;;Lieu de soins provisoires, tente, PMA;;;
L04.11.00;;Enceinte sportive;;;
L04.11.01;;;Stade;;
L04.11.02;;;Piscine, bassin;Privée, enterrée ou non, fixe ou non;
L04.11.03;;;Gymnase;;
L04.11.04;;;Circuit ou installation pour sport motorisé;;
L04.12.00;;Hébergement touristique;;;
L04.12.01;;;Hôtel;;
L04.12.02;;;Camping et hôtel de plein air;;
L04.12.03;;;Résidence / club de vacances;;
L04.12.04;;;Refuge de montagne ;;
L04.13.00;;Lieu d’enseignement;;;
L04.13.01;;;Ecole maternelle et élémentaire;;
L04.13.02;;;Collège;;
L04.13.03;;;Lycée;;
L04.13.04;;;Université;;
L04.14.00;;Lieu de restauration / bar;;;
L04.14.01;;;Etablissement de nuit;Ex : discothèque, club privé;
L04.14.02;;;Bar / restaurant;Dont bar dansant;
L04.15.00;;Crèche, garderie, centres de loisirs pour enfants;;;
L04.16.00;;Autre lieu accueillant du public;;;
L05.00.00;Milieu naturel;;;;
L05.01.00;;Plaine et campagne;;;
L05.01.01;;;Champ;Etendue cultivée pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité (ex : champ de maïs ou autres plants de grande hauteur);
L05.01.02;;;Prairie;Etendue non cultivée et découverte facile d’accès et offrant une bonne visibilité;
L05.01.03;;;Milieu forestier, broussailles;Etendue couverte d’arbres ou de broussailles et pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité;
L05.01.04;;;Haute forêt;Etendue couverte d’arbres située en milieu montagneux et pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité;
L05.02.00;;Espace montagneux ou vallonné;;;
L05.02.01;;;Zone vallonnée;Zone potentiellement difficile d’accès par voie carrossable;
L05.02.02;;;Moyenne montagne – hors voies de circulation;Zone potentiellement difficile d’accès par voie carrossable;
L05.02.03;;;Haute montagne;Zone potentiellement difficile d’accès par voie carrossable;
L05.02.04;;;Domaine skiable;Zone potentiellement difficile d’accès par voie carrossable;
L05.03.00;;Milieu aquatique en eau douce;;;
L05.03.01;;;Cours d’eau : canal, rivière, fleuve;;
L05.03.02;;;Plan d’eau : étang, marais, lac;;
L05.04.00;;Milieu maritime;;;
L05.04.01;;;Littoral, plage, berge;;
L05.04.02;;;Zone de baignade;;
L05.04.03;;;Port, quai, embarcadère;;
L05.04.04;;;Eaux côtières;;
L05.04.05;;;Haute mer;;
L05.04.06;;;Falaise;;
L05.05.00;;Milieu naturel souterrain;;;
L05.06.00;;Milieu naturel sous-marin;;;
L05.07.00;;Autre type de milieu naturel;;;
L06.00.00;Zone ou site particulier;;;;
L06.01.00;;Site industriel;;;
L06.01.01;;;Site de stockage ou de production pétro-chimique;;
L06.01.02;;;Site de stockage ou de production d’explosifs;;
L06.01.03;;;Entrepôts de stockage;;
L06.01.04;;;Silo;;
L06.01.05;;;Site de stockage ou de production agro-alimentaire;;
L06.01.06;;;Déchets et traitement de déchets;;
L06.01.07;;;Laboratoire P3/P4;"> Agents pathogènes de classe 3 (P3) : pouvant générer une grave maladie humaine ou animale, non transmissible d’un individu à l’autre, et pour laquelle il existe un traitement et des mesures préventives efficaces. Risque élevé pour la personne, faible pour la collectivité.  
> Agents pathogènes de classe 4 (P4) : pouvant générer une grave maladie humaine ou animale, transmissible par aérosols et sans vaccin protecteur ou traitement médical efficace. Risque élevé pour la personne et pour la collectivité.  ";
L06.01.08;;;Autre type de site industriel;;
L06.02.00;;Site de production transport d'énergie;;Dont parc éolien, barrage, etc.;
L06.03.00;;Site nucléaire;;;
L06.03.01;;;Centrale nucléaire de production d’électricité;;
L06.03.02;;;Site de production de radio-éléments;;
L06.03.03;;;Site militaire;;
L06.03.04;;;Site stockant ou utilisant des sources nucléaires ou radiologiques;Ex : équipements de santé nucléaire;
L06.03.05;;;Site stockant des déchets nucléaires;;
L06.04.00;;Établissement pénitentiaire, prison, maison d'arrêt, lieu de rétention;;;
L06.05.00;;Chantier;;;
L06.05.01;;;Chantier de surface;Chantier situé au niveau du sol ou en hauteur;
L06.05.02;;;Chantier souterrain;;
L06.06.00;;Administration publique;;;
L06.06.01;;;Local de police, gendarmerie, pompiers;;
L06.06.02;;;Enceinte militaire;Hors gendarmerie;
L06.06.03;;;Justice;Ex : tribunaux;
L06.06.04;;;Autre bâtiment officiel d’État;Préfecture, Ministère, ambassades, …;
L06.07.00;;Zone de rassemblement;;;
L06.07.01;;;Zone de rassemblement festif;Ex : teknival;
L06.07.02;;;Autre zone de rassemblement;;
L07.00.00;Divers;;;;
L07.01.00;;Autre lieu d'intervention;;;
L07.01.01;;;Site sensible;;
L07.02.00;;Lieu indéterminé;;;
