,code,label_n1,label_n2,label_n3,description,commentaire
69,L03.02.00,,Local agricole,,,
70,L03.03.00,,Local artisanal,,Lieu d’activité professionnelle impliquant un nombre réduit de travailleurs manuels (ex : caractère familial),
71,L03.04.00,,Local industriel,,"Lieu d’activité professionnelle collective, équipement lourds",
72,L03.05.00,,Autre local d’activité professionnelle,,,
73,L04.00.00,Lieu accueillant du public,,,,
74,L04.01.00,,Espace public non couvert,,"Ex : square, parc",
75,L04.02.00,,Centre commercial / magasin,,,
76,L04.02.01,,,Boutique,,
77,L04.02.02,,,Grande surface,,
78,L04.02.03,,,Centre commercial,,
79,L04.03.00,,Parc de stationnement ouvert au public,,,
80,L04.03.01,,,Parking souterrain,,
81,L04.03.02,,,Parking couvert,,
82,L04.03.03,,,Parking aérien,,
83,L04.04.00,,Lieu de culte,,,
84,L04.05.00,,Cimetière,,,
85,L04.06.00,,Espace évènementiel et/ou culturel,,,
86,L04.06.01,,,Cinéma / théâtre / salle de concert,,
87,L04.06.02,,,Musée / monument touristique,,
88,L04.06.03,,,Parc des expositions,,
89,L04.06.04,,,Parc d’attractions / fête foraine,,
90,L04.06.05,,,Zoo,,
91,L04.07.00,,Établissement de santé,,,
92,L04.07.01,,,A l’intérieur,"Ex : enceinte d’un hôpital, clinique ou cure thermale",
93,L04.07.02,,,A l’extérieur,"Ex : jardin, abords d’un hôpital, clinique ou cure thermale",
94,L04.07.03,,,Lieu privatif de liberté dans l’établissement de santé,"Dont psychiatrie, unité hospitalière sécurisée interrégionale (UHSI)",
95,L04.08.00,,Local de profession de santé,,Dont centres et cabinets « individuels »,
96,L04.08.01,,,Cabinet médical ou paramédical,,
97,L04.08.02,,,"Pharmacie, laboratoire de biologie médicale (LBM)",,
98,L04.09.00,,Établissement médico-social,,,
99,L04.09.01,,,"Établissement d’hébergement de personnes âgées et/ou dépendantes (EHPAD), résidence autonomie",,
100,L04.09.02,,,Etablissement pour personnes handicapées,,
101,L04.10.00,,"Lieu de soins provisoires, tente, PMA",,,
102,L04.11.00,,Enceinte sportive,,,
103,L04.11.01,,,Stade,,
104,L04.11.02,,,"Piscine, bassin","Privée, enterrée ou non, fixe ou non",
105,L04.11.03,,,Gymnase,,
106,L04.11.04,,,Circuit ou installation pour sport motorisé,,
107,L04.12.00,,Hébergement touristique,,,
108,L04.12.01,,,Hôtel,,
109,L04.12.02,,,Camping et hôtel de plein air,,
110,L04.12.03,,,Résidence / club de vacances,,
111,L04.12.04,,,Refuge de montagne ,,
112,L04.13.00,,Lieu d’enseignement,,,
113,L04.13.01,,,Ecole maternelle et élémentaire,,
114,L04.13.02,,,Collège,,
115,L04.13.03,,,Lycée,,
116,L04.13.04,,,Université,,
117,L04.14.00,,Lieu de restauration / bar,,,
118,L04.14.01,,,Etablissement de nuit,"Ex : discothèque, club privé",
119,L04.14.02,,,Bar / restaurant,Dont bar dansant,
120,L04.15.00,,"Crèche, garderie, centres de loisirs pour enfants",,,
121,L04.16.00,,Autre lieu accueillant du public,,,
122,L05.00.00,Milieu naturel,,,,
123,L05.01.00,,Plaine et campagne,,,
124,L05.01.01,,,Champ,Etendue cultivée pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité (ex : champ de maïs ou autres plants de grande hauteur),
125,L05.01.02,,,Prairie,Etendue non cultivée et découverte facile d’accès et offrant une bonne visibilité,
126,L05.01.03,,,"Milieu forestier, broussailles",Etendue couverte d’arbres ou de broussailles et pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité,
127,L05.01.04,,,Haute forêt,Etendue couverte d’arbres située en milieu montagneux et pouvant présenter un risque d’incendie ou une difficulté d’accessibilité / visibilité,
128,L05.02.00,,Espace montagneux ou vallonné,,,
129,L05.02.01,,,Zone vallonnée,Zone potentiellement difficile d’accès par voie carrossable,
130,L05.02.02,,,Moyenne montagne – hors voies de circulation,Zone potentiellement difficile d’accès par voie carrossable,
131,L05.02.03,,,Haute montagne,Zone potentiellement difficile d’accès par voie carrossable,
132,L05.02.04,,,Domaine skiable,Zone potentiellement difficile d’accès par voie carrossable,
133,L05.03.00,,Milieu aquatique en eau douce,,,
134,L05.03.01,,,"Cours d’eau : canal, rivière, fleuve",,
135,L05.03.02,,,"Plan d’eau : étang, marais, lac",,
136,L05.04.00,,Milieu maritime,,,
137,L05.04.01,,,"Littoral, plage, berge",,
138,L05.04.02,,,Zone de baignade,,
139,L05.04.03,,,"Port, quai, embarcadère",,
140,L05.04.04,,,Eaux côtières,,
141,L05.04.05,,,Haute mer,,
142,L05.04.06,,,Falaise,,
143,L05.05.00,,Milieu naturel souterrain,,,
144,L05.06.00,,Milieu naturel sous-marin,,,
145,L05.07.00,,Autre type de milieu naturel,,,
146,L06.00.00,Zone ou site particulier,,,,
147,L06.01.00,,Site industriel,,,
148,L06.01.01,,,Site de stockage ou de production pétro-chimique,,
149,L06.01.02,,,Site de stockage ou de production d’explosifs,,
150,L06.01.03,,,Entrepôts de stockage,,
151,L06.01.04,,,Silo,,
152,L06.01.05,,,Site de stockage ou de production agro-alimentaire,,
153,L06.01.06,,,Déchets et traitement de déchets,,
154,L06.01.07,,,Laboratoire P3/P4,"> Agents pathogènes de classe 3 (P3) : pouvant générer une grave maladie humaine ou animale, non transmissible d’un individu à l’autre, et pour laquelle il existe un traitement et des mesures préventives efficaces. Risque élevé pour la personne, faible pour la collectivité.  
> Agents pathogènes de classe 4 (P4) : pouvant générer une grave maladie humaine ou animale, transmissible par aérosols et sans vaccin protecteur ou traitement médical efficace. Risque élevé pour la personne et pour la collectivité.  ",
155,L06.01.08,,,Autre type de site industriel,,
156,L06.02.00,,Site de production transport d'énergie,,"Dont parc éolien, barrage, etc.",
157,L06.03.00,,Site nucléaire,,,
158,L06.03.01,,,Centrale nucléaire de production d’électricité,,
159,L06.03.02,,,Site de production de radio-éléments,,
160,L06.03.03,,,Site militaire,,
161,L06.03.04,,,Site stockant ou utilisant des sources nucléaires ou radiologiques,Ex : équipements de santé nucléaire,
162,L06.03.05,,,Site stockant des déchets nucléaires,,
163,L06.04.00,,"Établissement pénitentiaire, prison, maison d'arrêt, lieu de rétention",,,
164,L06.05.00,,Chantier,,,
165,L06.05.01,,,Chantier de surface,Chantier situé au niveau du sol ou en hauteur,
166,L06.05.02,,,Chantier souterrain,,
167,L06.06.00,,Administration publique,,,
168,L06.06.01,,,"Local de police, gendarmerie, pompiers",,
169,L06.06.02,,,Enceinte militaire,Hors gendarmerie,
170,L06.06.03,,,Justice,Ex : tribunaux,
171,L06.06.04,,,Autre bâtiment officiel d’État,"Préfecture, Ministère, ambassades, …",
172,L06.07.00,,Zone de rassemblement,,,
173,L06.07.01,,,Zone de rassemblement festif,Ex : teknival,
174,L06.07.02,,,Autre zone de rassemblement,,
175,L07.00.00,Divers,,,,
176,L07.01.00,,Autre lieu d'intervention,,,
177,L07.01.01,,,Site sensible,,
178,L07.02.00,,Lieu indéterminé,,,
