Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
,,,,Longitude,,A valoriser avec la longitude du point clé de la localisation - dans le système de coordonnées EPSG-4326 (indiquant l'utilisation de WGS-84) ,2.333333,lon,1..1,,number,
,,,,Altitude ,,"A valoriser avec l'altitude du point clé de la localisation, en mètres.

Spécificité 15-18 :  ignoré côté NexSIS. ",120,height,0..1,,number,
,,,,Précision,,"Indique via une nomenclature le niveau de précision des coordonnées fournies par le système emetteur.
VILLE : Précision à l'échelle de la ville, 
RUE : Précision à l'échelle de la rue, 
ADRESSE : Adresse précise, 
EXACTE : Point coordonnée GPS exact, 
INCONNUE : Précision de la localisation non évaluable par l'émetteur",ADRESSE,precision,1..1,,string,NOMENCLATURE: HubSante.precision
,,,Dispositif AML,,,Attribut qui permet de préciser si les coordonnées fournies proviennent du dispositif AML (Advanced Mobile Location) - TRUE - ou non - FALSE. ,TRUE,isAml,0..1,,boolean,
,Liens aux systèmes externes,,,,,"Lien avec l'identifiant de l'adresse dans une base de données externes possiblement connue des autres acteurs.
L'identifiant BAN de l'adresse (clé d'interopérabilité) doit être partagé au maximum.",,externalInfo,0..n,X,externalInfo,
,,Nom de la source,,,,A valoriser avec le système fournissant le localisant,"BAN, IGN, NEXSIS, …",freetext,1..1,,string,NOMENCLATURE: HubSante.systeme
,,Type ,,,,"A valoriser avec la définition du type d'objet dans le système

Exemple : SIG NexSIS / OSM ont plusieurs types de données (EGA, POI, tronçon de route, …)","MANUEL, CARTE, AUTRE, PHOTO, SITE INTERNET",type,0..1,,string,NOMENCLATURE: HubSante.objetSource
,,Identifiant,,,,Identifiant dans le système concerné,"80021_6590_00008, id987",uri,1..1,,string,
,Informations complémentaires sur la localisation,,,,,"Champ libre qui permet de compléter les informations liées à la localisation.

Spécificités 15-15 :
En envoi, il est souhaitable de mapper ici toute valeur en lien avec la localisation de l'intervention qui ne pourrait pas être transmise de manière structurée dans l'objet location. 
En réception, il est très important d'intégrer et d'afficher la valeur de cet attribut, qui est suceptible de contenir des informations d'accès importantes.",Clé derrière le pot de fleur,freetext,0..1,,string,
Alerte initiale,,,,,,"Objet qui permet de décrire une communication d'urgence, par exemple un appel téléphonique.

Spécificités 15-18 : Une alerte est une photo d'une situation donnée décrite par un requérant et n'est pas amenée à évoluer dans le temps. En cas de modification (adresse, qualification, ...), cela passera par une mise à jour opération ou une nouvelle alerte, L'alerte initiale est la premiere alerte concernant la situation d'urgence et conduisant à la création d'une affaire.",,initialAlert,0..1,X,alert,
,Date et heure de réception de l'alerte,,,,,A valoriser avec le groupe date heure de réception de l'alerte/appel,2022-09-27T08:21:06+02:00,reception,1..1,,datetime,Format datetime décrit dans le DST
,Informations complémentaires sur l'alerte,,,,,"Objet qui permet de fournir des informations supplémentaires concernant l'alerte.

Spécificités 15-15 : 
Mapper ici  les informations générales liées au dossier qui ne sont pas liées à un patient, et pour lesquelles il n’est pas possible d’identifier le rôle de utilisateur (cf. objet medicalNote).
A réception, les informations de cet attribut sont à mapper et afficher dans un champ le plus approprié possible : en commentaire général du dossier, non lié à un rôle utilisateur ou à un patient.",,notes,0..n,X,notes,
,,Date et heure de l'information complémentaire,,,,A valoriser avec le groupe date heure de création de l'information complémentaire,,creation,0..1,,datetime,Format datetime décrit dans le DST
,,Commentaire/Observations,,,,"A valoriser avec un texte libre contenant les indications complémentaires renseignées sur l'alerte/appel.

Spécificités 15-15 : cet attribut ne doit pas être valorisé avec des notes à caractère médical, qui serait liée à un interrogatoire ARM ou médecin, ou à un patient en particulier","Accident de bricolage, accident domestique, déclenchement téléalarme, voisine sur les lieux",freetext,0..1,,string,
,Requérant,,,,,Objet qui permet d'identifer la personne qui a alerté les secours et de la recontacter,,caller,1..1,X,caller,
,,Contact,,,,"Objet qui permet de décrire le type et la valeur de l'URI utilisée par un contact, ici spécifiquement le requérant/appelant à l'origine de l'alerte.

Spécificités 15-15 : en envoi, cet objet est à valoriser avec le numéro de l'appelant, c'est à dire le numéro utilisé pour joindre les secours.",,callerContact,1..1,X,contact,
,,,Canal,,,"A valoriser avec  l'origine du canal établi : PERSONNE, APPLICATION, DAU, BAU, DEFIBRILLATEUR, ECALL",PERSONNE,channel,1..1,,string,NOMENCLATURE: HubSante.canal
,,,Type de contact,,,A valoriser avec le type de l'URI utilisée.  Cf nomenclature associée.,TEL,type,1..1,,string,NOMENCLATURE: HubSante.typeCom
,,,URI du contact,,,"A valoriser avec la valeur de l'URI utilisée.
Le format attendu pour un numéro de téléphone est le suivant : +{indicatif pays}{numéro de téléphone}",+33671830530,detail,1..1,,string,
,,Contact de contre-appel,# Voir type contact,,,"Objet qui permet de décrire le type et la valeur de l'URI à utiliser pour recontacter un requérant/appelant. 

Spécificités 15-15 : en envoi, cet objet est à valoriser avec le numéro de contre-appel uniquement lorsque celui-ci est différent du numéro de l'appelant (objet obligatoire callerContact).
En réception, il est crucial de récupérer la valeur de cet objet lorsqu'il est renseigné, puisqu'il s'agit du numéro sur lequel l'appelant peut être joint.",,callbackContact,0..1,X,contact,
,,Langue parlée,,,,"A valoriser avec la langue parlée par le requérant. 
cf.nomenclature associée.",FR,language,0..1,,string,NOMENCLATURE: HubSante.langue
,,Type de requérant,,,,"A valoriser avec la relation du requérant avec l'incident / le patient / la victime.
cf. nomenclature associée.","FAMILLE, TIERS",type,0..1,,string,NOMENCLATURE: HubSante.typeAppelant
,,Difficulté de communication,,,,"A valoriser avec la nature des éventuelles difficultés de communication rencontrées par le requérant. 
cf.nomenclature associée.","Malentendant, aucune difficulté de communication",communication,0..1,,string,NOMENCLATURE: HubSante.communication
,,Informations complémentaires sur le requérant,,,,Champ libre qui permet de compléter les informations spécifiquement liées au requérant.,témoin de l'accident,freetext,0..1,,string,
,,Prénom & nom usuel,,,,Objet qui permet de décrire le nom et le prénom usuel du requérant,,detailedName,0..1,X,detailedName,
,,,Prénom et nom,,,"A valoriser avec le prénom et le nom usuel du requérant/appelant.
Si les champs callerLastName et callerFirstName sont également renseignés, le champ callerName doit être valorisé ainsi : ""{callerFirstName} {callerLastName}"".

Spécificités 15-18  : NexSIS ne dispose que de ces informations (concaténées) et pas de deux champs séparés.",Jean Dupont,complete,1..1,,string,TEMPLATE: {callerLastName} {callerFirstName}
,,,Nom,,,A valoriser avec le nom usuel du requérant,Dupont,lastName,0..1,,string,
,,,Prénom,,,"A valoriser avec le prénom usuel du réquérant.
Par convention les prénoms composés doivent préférablement être séparés par le caractère ""-""",Jean,firstName,0..1,,string,
CRRA traitant,,,,,,"Attribut qui permet de transférer la prise en charge d'un dossier à un autre CRAA
A valoriser avec l'identifiant de l'organisation concerné (orgId = {pays}.{domaine}.{organisation})",fr.health.samu440,owner,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.?){4,9}$"
Patient,,,,,,Objet qui permet l'identification des patients / victimes,,patient,0..n,X,patient,
,ID patient partagé,,,,,"Identifiant partagé du patient, généré une seule fois par le système du partenaire qui créé le patient.
Il est valorisé comme suit lors de sa création : 
{OrgId émetteur}.patient.{n°patient unique dans le système émetteur}

OU, si un n°patient unique n'existe pas dans le système émetteur :
{ID émetteur}.{senderCaseId}.patient.{numéro d’ordre chronologique au dossier}


","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}patient(\.[a-zA-Z0-9_-]+){1,2}$"
,Dossier administratif,,,,,Objet qui permet de décrire les données administratives liées au patient,,administrativeFile,0..1,X,administrativeFile,
,,Identifiant(s) patient(s),,,,"Objet qui permet de décrire l'ensemble des identifiants qui permettent d'identifier le patient (autre que le matricule INS, qui ne doit jamais être partagé via cet objet)",,externalId,0..n,X,externalId,
,,,Source  /  type d'identifiant,,,Type de l'identifiant fourni,"NIR, SINUS, SI-VIC, …",source,1..1,,string,NOMENCLATURE: HubSante.typeIdPatient
,,,Identifiant,,,L'identifiant en lui-même,id1234,value,1..1,,string,
,,Médecin traitant ,,,,,,generalPractitioner,0..1,X,generalPractitioner,
,,,Prénom & nom usuel,,,Nom du médecin traitant du patient si connu,,detailedName,1..1,X,detailedName,
,,,Identifiant RPPS,,,Numéro RPPS du médecin traitant,10000668540,rppsId,0..1,,string,
,,,Contact médecin,,,Type et valeur des URI utilisées par le patient concerné. Permet de passer une adresse postale concaténée.,,contact,0..n,X,personalContact,
,,,,Type de contact,,A valoriser avec le type de l'URI utilisée.  Cf nomenclature associée.,TEL,type,1..1,,string,NOMENCLATURE: HubSante.typeCom
,,,,URI du contact,,"A valoriser avec la valeur de l'URI utilisée.
Le format attendu pour un numéro de téléphone est le suivant : +{indicatif pays}{numéro de téléphone}.",+33671830530,detail,1..1,,string,
,Identité,,,,,Objet qui permet de décrire l'identité du patient,,identity,0..1,X,Identity,
,,Traits stricts de l'identité,,,,Objet qui permet de décrire les traits stricts de l'identité du patient,,strictFeatures,0..1,X,insStrictFeatures,
,,,Nom de naissance,,,A valoriser avec le nom de naissance du patient. Egalement appelé nom de famille.,Dupont,birthName,0..1,,string,
,,,Date de naissance,,,A valoriser avec la date de naissance du patient,,birthDate,0..1,,date,
,,,Sexe ,,,A valoriser avec le sexe du patient,F,sex,0..1,,string,NOMENCLATURE: HubSante.sexe
,,Traits non stricts de l'identité,# Voir type detailedName,,,"Objet qui permet de décrire les traits stricts de l'identité du patient, c’est-à-dire le nom et le prénom usuels du patient.",,nonStrictFeatures,0..1,X,detailedName,
,Informations patient,,,,,Objet qui permet de décrire les caractéristiques du patient,,detail,0..1,X,patientDetail,
,,Poids,,,,A valoriser avec le poids en kilogrammes,31,weight,0..1,,number,
,,Taille,,,,A valoriser avec la taille en centimètres du patient,109,height,0..1,,number,
,,Age,,,,"A valoriser avec l'age du patient.
Au format ""Durée"" de la norme ISO 8601 (https://fr.wikipedia.org/wiki/ISO_8601#Dur%C3%A9e) et en n'utilisant qu'une seule unité de durée (années, mois, semaines ou jours)",P6Y,age,0..1,,string,"REGEX: ^P[0-9]{1,3}[YMWD]$"
,,Niveau de soin du patient,,,,A valoriser avec le niveau de soins spécifique au patient,R1,careLevel,0..1,,string,NOMENCLATURE: HubSante.niveauSoin
,,Antécédents,,,,"Texte libre  pour décrire les antécédents du patient. 
Si ce n'est pas géré de manière structurés : à afficher dans une note liée au patient en réception. ","Arthrite, asthme",medicalHistory,0..1,,string,
,,Traitements,,,,"Texte libre  pour décrire les traitements du patient.
Si ce n'est pas géré de manière structurés : à afficher dans une note liée au patient en réception. ",Amoxicilline 1 g  et paracétamol 1 g depuis 5 jours.,treatment,0..1,,string,
,Hypothèses de régulation médicale,,,,,Objet qui permet de décrire les hypothèses de régulation médicale,,hypothesis,0..1,X,hypothesis,
,,Hypothèse de régulation médicale principale,# Voir type codeAndLabel,,,Hypothèse diagnostique principale émise par le médecin régulateur du CRAA. Norme CIM10.,,mainDiagnosis,0..1,X,codeAndLabel,"REGEX: ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$"
,,Hypothèses de régulation médicale secondaires,# Voir type codeAndLabel,,,Hypothèses diagnostiques secondaires émises par le médecin régulateur du CRAA. Norme CIM10.,,otherDiagnosis,0..n,X,codeAndLabel,"REGEX: ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$"
Observation médicale,,,,,,Observations de nature médicale. ,,medicalNote,0..n,X,medicalNote,
,ID patient partagé,,,,,"Identifiant partagé du patient concerné par l'observation, a remplir obligatoirement si ce patient existe et est identifié dans le système emetteur, 

Valorisé comme suit lors de sa création : 
{OrgId émetteur}.patient.{n°patient unique dans le système émetteur}

OU, si un n°patient unique n'existe pas dans le système émetteur :
{ID émetteur}.{senderCaseId}.patient.{numéro d’ordre chronologique au dossier}","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,0..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}patient(\.[a-zA-Z0-9_-]+){1,2}$"
,Professionnel de santé qui réalise l'observation,,,,,Objet qui permet de décrire le professionnel de santé qui réalise l'interrogatoire médical. ,,operator,1..1,X,operator,
,,Label,,,,"A valoriser si besoin avec la valeur souhaitée, en fonction des préférences de chaque partenaire : cela peut être le nom et prénom de l'opérateur, ou un identifiant.",,label,0..1,,string,
,,Rôle,,,,A valoriser avec le rôle de l'opérateur au sein de l'entité émettrice du message : ,ARM,role,1..1,,string,NOMENCLATURE: HubSante.role
,ID Observation,,,,,"Identifiant partagé de l'observation, généré une seule fois par le système du partenaire qui créé l'observation
Il est valorisé comme suit lors de sa création : 
{OrgId émetteur}.medicalNote.{ID unique de l’observation dans le système émetteur}

OU - uniquement dans le cas où un ID unique de la note n'est pas disponible dans le système : 
{OrgId émetteur}.medicalNote.{senderCaseId}.{numéro chronologique de l’observation}

Cet identifiant a vocation à devenir obligatoire pour permettre les mises à jour, il est laissé en facultatif temporairement.
","fr.health.samu540.medicalNote.46585A
fr.health.samu540.medicalNote.DRFR15540241600125.20",medicalNoteId,1..1,,string,"REGEX: ^([a-zA-Z0-9_-]+\.){3,8}medicalNote(\.[a-zA-Z0-9_-]+){1,2}$"
,Date Heure de l'observation,,,,,A valoriser avec le groupe date heure de création de l'observation.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,creation,0..1,,datetime,Format datetime décrit dans le DST
,Observations et commentaires,,,,,"Champ libre qui permet de compléter les informations de nature médicales, faites par un ARM, un médecin ou un autre professionnel de santé.",,freetext,1..1,,string,
Décision,,,,,,"Objet qui permet de passer l'ensemble des mesures prises par le Samu-Centre 15 en réponse à la demande exprimée en fonction de l’événement et de la situation du ou des patients.
Si un freetext accompagne la décision, il doit être passé comme une observation médicale (medicalNote)",,decision,0..n,X,decision,
,ID patient partagé,,,,,"A valoriser avec l'ID partagé du patient concerné par la décision, à chaque fois que la décision est liée à un patient dans le système émetteur","fr.health.samu690.patient.P23AZ59
fr.health.samu690.patient.DRFR15690242370035.1",patientId,0..1,,string,
,Date Heure de la décision,,,,,A valoriser avec le groupe date heure de création de la décision.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,creation,1..1,,datetime,Format datetime décrit dans le DST
,Opérateur décideur,# Voir type operator,,,,Objet qui permet de décrire le professionnel de santé qui prend la décision,,operator,1..1,X,operator,
,Type de décision,,,,,A valoriser avec le type de décision prise (cf.nomenclature associée),conseil médical  / décision d’intervention / décision d’orientation et de transport / Pas de décision supplémentaire,decisionType,1..1,,string,NOMENCLATURE: HubSante.typeDecision
,Type de ressource,,,,,"A valoriser avec le type de ressource souhaitée ou engagée (cf.nomenclature associée) - en fonction du type de décision.
A fournir obligatoirement pour une décision d'intervention ou de transport/orientation.","SMUR, Pompiers",resourceType,0..1,,string,NOMENCLATURE: HubSante.typeRessource
,Transport médicalisé,,,,,"A valoriser obligatoirement en cas de décision de transport, pour indiquer si ce dernier est médicalisé.
True = transport médicalisé
False = transport non médicalisé",True,medicalTransport,0..1,,boolean,
,Type d'orientation,,,,,Indique le type de destination en cas de décision d'orientation (cf. nomenclature associée),EPHAD,orientationType,0..1,,string,NOMENCLATURE: HubSante.typeOrientation
,Localisation de la destination d'orientation,,,,,Objet qui permet de décrire la localisation de la destination en cas de décision d'orientation.,,destination,0..1,X,destination,
,,Identifiant(s) du lieu,# Voir type externalLocationId,,,Objet qui permet de transmettre le lien avec l'identifiant du lieu dans une base de données externes possiblement connue des autres acteurs,,externalLocationId,0..n,X,externalLocationId,
,,Informations complémentaires sur la localisation,,,,"Champ libre qui permet de compléter les informations liées à la localisation.

Spécificités 15-15 :
En envoi, il est souhaitable de mapper ici toute valeur en lien avec la localisation de l'intervention qui ne pourrait pas être transmise de manière structurée dans l'objet location. 
En réception, il est très important d'intégrer et d'afficher la valeur de cet attribut, qui est suceptible de contenir des informations d'accès importantes.",Hopital Henri Mignot,freetext,0..1,,string,
Informations complémentaires,,,,,,"Objet qui permet d'ajouter jusqu'à 3 données supplémentaires, dans l'éventualité où ces dernières ne sont pas déjà prévues dans le modèle",,additionalInformation,0..1,X,additionalInformation,
,Clé valeur adaptable,,,,,Objet qui permet de rajouter des clés-valeurs de façon libre afin d'adapter le modèle à des besoins locaux ou urgents,,customMap,0..3,X,customMap,
,,Clé,,,,A valoriser avec le nom de la balise,neighborhood,key,1..1,,string,
,,Libellé,,,,A valoriser avec le libellé correspondant,Quartier,label,0..1,,string,
,,Valeur,,,,A valoriser avec la valeur associée à la clé,LYON 2e arrondissement,value,1..1,,string,
,,Détails,,,,Informations complémentaires sur le contexte / utilisation de cette correspondance additionnelle,Précision sur le quartier d'intervention,freetext,0..1,,string,
