code;label_n1;label_n2;label_n3;description;commentaire
PPL/VLN/DEF;Personnes;Vulnérabilité distinctive;Personne sourde;Personne sourde ou malentendante.;
PPL/VLN/DSB;Personnes;Vulnérabilité distinctive;Personnes handicapées;Personnes atteintes d'une forme de handicap physique.;
PPL/VLN/ELD;Personnes;Vulnérabilité distinctive;Personnes âgées;Terme utilisé pour décrire une personne de plus de 65 ans.;
PPL/VLN/INJ;Personnes;Vulnérabilité distinctive;Personne blessée;Personne blessée;
PPL/VLN/LDF;Personnes;Vulnérabilité distinctive;Personne ayant des difficultés d'apprentissage;Terme utilisé pour décrire les personnes ayant des difficultés d'apprentissage.;
PPL/VLN/OBS;Personnes;Vulnérabilité distinctive;Personne obèse;Obèse;
PPL/VLN/PAT;Personnes;Vulnérabilité distinctive;Patient;Y compris sous médication;
PPL/VLN/PGN;Personnes;Vulnérabilité distinctive;Femme enceinte;Terme utilisé pour décrire une femme enceinte.;
PPL/VLN/SLFPRS;Personnes;Vulnérabilité distinctive;Personnes se présentant d'elles-mêmes;Présentateurs autonomes : Membres du public contaminés se présentant eux-mêmes dans les services d'accident et d'urgence (A&E) des hôpitaux et d'autres établissements de santé.;
PPL/VLN/UNC;Personnes;Vulnérabilité distinctive;Personne inconsciente;Personne inconsciente et ne répondant pas aux stimuli.;
VEH/AIR;Véhicules;Véhicule aérien;;Véhicule aérien;
VEH/ANI;Véhicules;Animaux;;Véhicules tirés ou poussés par un animal;
VEH/BIC;Véhicules;Bicyclette;;Forme de transport normalement propulsée par des pédales.;
VEH/CAR;Véhicules;Véhicule - voiture;;Tout véhicule routier pour 7 passagers ou moins;
VEH/EMG;Véhicules;Véhicule - urgence;;Tout véhicule de service d'urgence identifié comme tel;
VEH/MBK;Véhicules;Véhicule - motocyclette;;Véhicule routier à deux roues motorisées ou à trois roues sans cabine.;
VEH/MIL;Véhicules;Véhicule - militaire;;Un véhicule routier militaire ou des véhicules, y compris un véhicule adapté à partir de l'usage civil;
VEH/OTH;Véhicules;Autres types de véhicules;;Autres types de véhicules.;
VEH/TRK;Véhicules;Camion;;Grand véhicule utilisé pour le transport en vrac de marchandises.;
VEH/TRN;Véhicules;Train;;Un véhicule autopropulsé;
VEH/VES;Véhicules;Vaisseau;;Terme utilisé pour décrire une embarcation voyageant sur l'eau.;
VEH/AIR/ARM;Véhicules;Véhicule aérien;Aéronef militaire (armé);Aéronef militaire portant des armes en service.;
VEH/AIR/FLBA;Véhicules;Véhicule aérien;Ballon flottant;Ballon propulsé par les éléments.;
VEH/AIR/FRG;Véhicules;Véhicule aérien;Aéronef avec une charge de fret;Ballon propulsé par les éléments;
VEH/AIR/FXBA;Véhicules;Véhicule aérien;Ballon fixe;Un ballon qui est maintenu en position et ne peut pas bouger.;
VEH/AIR/GLD;Véhicules;Véhicule aérien;Planeur;Aéronef sans moteur.;
VEH/AIR/HEL;Véhicules;Véhicule aérien;Hélicoptères;Y compris les sous-catégories : ultra-léger;
VEH/AIR/HVY;Véhicules;Véhicule aérien;Aéronef lourd;Terme utilisé pour décrire un aéronef capable de transporter des charges lourdes.;
VEH/AIR/JET;Véhicules;Véhicule aérien;Moteur à réaction;Terme utilisé pour décrire un véhicule propulsé par un moteur à réaction.;
VEH/AIR/LGT;Véhicules;Véhicule aérien;Petit aéronef;Petit aéronef ne transportant normalement pas de gros passagers.;
VEH/AIR/MIL;Véhicules;Véhicule aérien;Aéronef militaire;Aéronef militaire;
VEH/AIR/ORD;Véhicules;Véhicule aérien;Munitions;Y compris les fusées;
VEH/AIR/OTH;Véhicules;Véhicule aérien;Autre;Y compris les engins spatiaux;
VEH/AIR/PAS;Véhicules;Véhicule aérien;Aéronef transportant des passagers;Aéronef transportant des passagers, souvent mais pas exclusivement à usage commercial.;
VEH/AIR/PRBA;Véhicules;Véhicule aérien;Ballon propulsé;Ballon avec un moteur intégré.;
VEH/AIR/PST;Véhicules;Véhicule aérien;Moteur à piston;Terme utilisé pour décrire une source d'énergie mécanique générée par un piston.;
VEH/AIR/RKT;Véhicules;Véhicule aérien;Moteur-fusée;Terme utilisé pour décrire une source d'énergie mécanique générée par une fusée.;
VEH/AIR/SEA;Véhicules;Véhicule aérien;Atterrissage spécifique à la mer;Aéronef capable d'atterrir sur l'eau.;
VEH/AIR/SNO;Véhicules;Véhicule aérien;Atterrissage spécifique à la neige;Aéronef capable d'atterrir sur la neige.;
VEH/AIR/TNK;Véhicules;Véhicule aérien;Avion-citerne;Aéronef spécialisé utilisé pour le transport de carburant.;
VEH/AIR/UAV;Véhicules;Véhicule aérien;UAV;Véhicule aérien sans pilote;
VEH/AIR/ULG;Véhicules;Véhicule aérien;Avion ultra-léger;Aéronef ultra-léger;
VEH/OTH/HIL;Véhicules;Autres types de véhicules;Véhicules de montagne;Remontée mécanique;
VEH/OTH/SNO;Véhicules;Autres types de véhicules;Véhicules de neige;Motoneiges;
VEH/TRK/ART;Véhicules;Camion;Camion articulé;Grand véhicule avec remorque;
VEH/TRK/EXC;Véhicules;Camion;Charge exceptionnelle;Charge extrêmement lourde nécessitant une escorte spécialisée.;
VEH/TRK/HZD;Véhicules;Camion;Camion-citerne avec chargement dangereux;Véhicule;
VEH/TRK/NHZ;Véhicules;Camion;Camion-citerne avec chargement non dangereux;;
VEH/TRK/NUK;Véhicules;Camion;Charge nucléaire;;
VEH/TRK/REF;Véhicules;Camion;Camion réfrigéré;;
VEH/TRK/UND;Véhicules;Camion;Camion-citerne avec chargement non défini;;
VEH/TRN/3RL;Véhicules;Train;Moteur à électricité sur 3e rail;;
VEH/TRN/DSL;Véhicules;Train;Moteur diesel;;
VEH/TRN/HZD;Véhicules;Train;Train avec chargement dangereux;;
VEH/TRN/LOC;Véhicules;Train;Catégorie de train : locomotive seule;;
VEH/TRN/NHZ;Véhicules;Train;Train avec chargement non dangereux;;
VEH/TRN/NUK;Véhicules;Train;Train avec chargement nucléaire;;
VEH/TRN/OVH;Véhicules;Train;Moteur électrique;;
VEH/TRN/PAS;Véhicules;Train;Train avec passagers;;
VEH/TRN/REF;Véhicules;Train;Train avec chargement réfrigéré;;
VEH/TRN/STM;Véhicules;Train;Moteur à vapeur;;
VEH/TRN/TRM;Véhicules;Train;Tramways et chemins de fer légers;;
VEH/TRN/UDG;Véhicules;Train;Train souterrain;;
VEH/TRN/UND;Véhicules;Train;Train avec chargement non défini;;
VEH/TRN/VIP;Véhicules;Train;Train avec VIP;;
VEH/TRN/VLT;Véhicules;Train;Catégorie de train : train très long;;
VEH/VES/AMB;Véhicules;Vaisseau;Ambulance;;
VEH/VES/BOT;Véhicules;Vaisseau;Catégorie de vaisseau : bateau;;
VEH/VES/CNO;Véhicules;Vaisseau;Catégorie de vaisseau : canoë ou kayak;;
VEH/VES/CRG;Véhicules;Vaisseau;Catégorie de chargement : cargaison;;
VEH/VES/DSL;Véhicules;Vaisseau;Moteur diesel;;
VEH/VES/FLO;Véhicules;Vaisseau;Statut flottant;;
VEH/VES/FRY;Véhicules;Vaisseau;Catégorie de vaisseau : ferry;;
VEH/VES/HOV;Véhicules;Vaisseau;Catégorie de vaisseau : aéroglisseur;;
VEH/VES/HZD;Véhicules;Vaisseau;Catégorie de chargement : camion-citerne avec chargement dangereux;;
VEH/VES/JSK;Véhicules;Vaisseau;Catégorie de vaisseau : jet-ski;;
VEH/VES/LEI;Véhicules;Vaisseau;Usage : loisirs;;
VEH/VES/LIS;Véhicules;Vaisseau;Statut d'inclinaison;;
VEH/VES/MIL;Véhicules;Vaisseau;Catégorie de chargement : militaire;;
VEH/VES/MPW;Véhicules;Vaisseau;Moteur à propulsion humaine;;
VEH/VES/NHZ;Véhicules;Vaisseau;Catégorie de camion-citerne : camion-citerne avec chargement non dangereux;;
VEH/VES/NUK;Véhicules;Vaisseau;Moteur nucléaire;;
VEH/VES/PAS;Véhicules;Vaisseau;Catégorie de chargement : passager;;
VEH/VES/POL;Véhicules;Vaisseau;Usage : police;;
VEH/VES/PTL;Véhicules;Vaisseau;Moteur à essence;;
VEH/VES/RSC;Véhicules;Vaisseau;Usage : secours;;
VEH/VES/SAI;Véhicules;Vaisseau;Moteur à voile;;
VEH/VES/SBM;Véhicules;Vaisseau;Catégorie de vaisseau : sous-marin;;
VEH/VES/SINK;Véhicules;Vaisseau;Statut de naufrage;;
VEH/VES/SPC;Véhicules;Vaisseau;Catégorie de vaisseau : spécial (par exemple, bateau de prison);;
VEH/VES/STE;Véhicules;Vaisseau;Moteur à vapeur;;
VEH/VES/SUNK;Véhicules;Vaisseau;Statut de naufrage;;
VEH/VES/UNM;Véhicules;Vaisseau;Catégorie de vaisseau : sans équipage;;
