Champ;Balise;Version code reçu;Code reçu;Libellé reçu;Version code transmis;Code à transmettre;Libellé à transmettre;VALIDATION ANSC;VALIDATION ANS;Observation;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C10.01.07;Disparitions et découvertesRecherche secours investigation;2.3;C10.01.00;Disparition ou découverte d’individu;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C10.02.00;Decouverte de cadavre;2.3;C02.17.00;Découverte de cadavre/mort suspecte;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C10.02.01;Disparitions et découvertesMort a priori suspecte;2.3;C02.17.01;Découverte de cadavre;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;1.9;C10.02.02;Disparitions et découvertesMort a priori naturelle;2.3;C02.17.01;Découverte de cadavre;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.17.00;Découverte de cadavre/mort suspecte;1.9;C10.02.01;Mort suspecte;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.17.01;Découverte de cadavre;1.9;C10.02.01;Mort suspecte;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.17.02;Mort suspecte;1.9;C10.02.01;Mort suspecte;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.18.00;Problème psychiatrique, menace de suicide;1.9;C02.05.03;Psychiatrique;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.00;Différends et litiges inter-personnels;1.9;C07.03.00;Différends et litiges inter-personnels;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.01;Différend familial;1.9;C07.03.01;Ordre publicDifférend familial;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.02;Non représentation d’enfant;1.9;C07.03.02;Ordre publicNon représentation d’enfant;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.03;Différend de voisinage;1.9;C07.03.03;Ordre publicDifférend de voisinage;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.04;Autres différends;1.9;C07.03.04;Ordre publicAutres différends;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C02.19.05;Litiges;1.9;C07.03.05;Ordre publicLitiges;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.12;Incendie engin de chantier ou agricole;1.9;C04.01.00;Incendie d'un moyen de transport / véhicule;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.13;Incendie plusieurs véhicules légers;1.9;C04.01.01;Véhicule léger, fourgon;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.14;Incendie Tram / tramway;1.9;C04.01.05;Train de voyageurs;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.15;Incendie bateau de plaisance;1.9;C04.01.07;Bateau de voyageurs;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.16;Incendie bateau de pêche;1.9;C04.01.08;Bateau de marchandises;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.17;Incendie bateau de guerre;1.9;C04.01.08;Bateau de marchandises;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.18;Incendie ULM / planeur / mongolfière;1.9;C04.01.10;Aéronef de voyageurs;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.01.19;Incendie aéronef de tourisme;1.9;C04.01.10;Aéronef de voyageurs;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.02.05;Incendie d'ERP avec locaux à sommeil;1.9;C04.02.00;Incendie d'un bâtiment;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.02.06;Incendie d'ERP sans locaux à sommeil;1.9;C04.02.00;Incendie d'un bâtiment;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.05.01;Incendie de haie / herbes sèches;1.9;C04.05.00;Incendie de forêt / végétation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.05.02;Feu de chaumes / récoltes;1.9;C04.05.00;Incendie de forêt / végétation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.05.03;Feu de broussailles;1.9;C04.05.00;Incendie de forêt / végétation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.05.04;Feu de forêt;1.9;C04.05.00;Incendie de forêt / végétation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.10.00;Incendie d'un élément / structure;1.9;C04.02.00;Incendie d'un bâtiment;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.10.01;Feu de cheminée;1.9;C04.02.00;Incendie d'un bâtiment;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.10.02;Incendie d'origine électrique;1.9;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.10.03;Autre feu d'un élément / structure;1.9;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C04.11.00;Fumée suspecte / levée de doute;1.9;C04.00.00;Incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C06.03.07;Refus d'obtempérer;1.9;C06.03.00;Suspicion d'infractions;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C07.02.01;Affrontement bande;1.9;C07.02.00;Violence urbaine;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C07.02.02;Dégradation mobilier urbain;1.9;C07.13.00;Autres troubles à l’ordre public;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C07.02.03;Incendie;1.9;C04.08.00;Autre type d’incendie;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C07.02.04;Autres violences urbaines;1.9;C07.02.00;Violence urbaine;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.01.01;Inondation - montée des eaux inquiétante;1.9;C08.01.00;Inondation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.01.02;Inondation d'un batiment, local;1.9;C08.01.00;Inondation;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.05.01;Vent / Tempête avec chute d'arbres;1.9;C08.05.00;Vent / Tempête;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.05.02;Vent / Tempête avec dommages sur toitures;1.9;C08.05.00;Vent / Tempête;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.06.01;Éboulement / Effondrement de bâtiment;1.9;C08.06.00;Éboulement / effondrement;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.06.02;Éboulement / Effondrement de carrière;1.9;C08.06.00;Éboulement / effondrement;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.06.03;Autre éboulement, effondrement;1.9;C08.06.00;Éboulement / effondrement;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.08.03;Pollution aérienne;1.9;C08.08.00;Aléas naturel / environnemental / météorologique;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C08.08.04;Pollution fut / bidon suspect;1.9;C08.08.00;Aléas naturel / environnemental / météorologique;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.03.02;Fuite de gaz enflammée (réseau);1.9;C09.03.01;Fuite de gaz importante;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.03.03;Fuite de gaz non enflammée (réseau);1.9;C09.03.01;Fuite de gaz importante;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.03.04;Fuite de gaz sur bouteille;1.9;C09.03.00;Fuite de gaz;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.04.03;Vapeur sous pression / chauffage urbain;1.9;C09.04.02;Fuite de fluides gazeux;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.05.01;Immeuble en péril;1.9;C09.00.00;Aléas technologique ou technique;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.05.02;Menace ou chute de matériaux;1.9;C09.00.00;Aléas technologique ou technique;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.06.01;Panne d’ascenseur avec présence de personne vulnérable;1.9;C09.06.00;Panne d’ascenseur;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C09.06.02;Panne d’ascenseur vide d'occupant;1.9;C09.06.00;Panne d’ascenseur;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.01.01;Alarme incendie;1.9;C11.01.00;Alarme;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.01.02;Alarme vol / intrusion;1.9;C11.01.00;Alarme;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.01.03;Téléalarme secours à personne (applications);1.9;C11.01.00;Alarme;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.01.04;Alarme dispositif travailleur isolé;1.9;C11.01.00;Alarme;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.01.05;Simple alarme sans précision;1.9;C11.01.00;Alarme;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.05.04;Problème technique sur un véhicule;1.9;C11.05.00;Autre nature de fait;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.05.05;Obstruction de chaussée;1.9;C11.05.00;Autre nature de fait;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.05.06;Obstruction de voie ferrée;1.9;C11.05.00;Autre nature de fait;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.05.07;Obstruction de voie naviguable;1.9;C11.05.00;Autre nature de fait;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.07.00;Requisition judiciaire;1.9;C11.00.00;Autre nature de fait;OK;OK;;;;;;
Circonstances Natures de Faits;$.qualification.whatsHappen;2.3;C11.08.00;Odeur suspecte;1.9;C11.00.00;Autre nature de fait;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M20.00;Urgences vitales;2.3;M08.00.00;Personne inconsciente ;OK;OK;le moins mauvais;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M22.00;Personne inconsciente;2.3;M08.00.00;Personne inconsciente ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M22.01;Pas de mouvement ventilatoire;2.3;M08.01.00;Personne en arrêt ventilatoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M22.11;Arrêt cardio-respiratoire;2.3;M08.02.00;Personne en arrêt cardio-respiratoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M22.21;Inconscient qui respire;2.3;M08.03.00;Personne inconsciente qui respire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.00;Hémorragies / Saignements;2.3;M09.00.00;Hémorragies / Saignements ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.01;Hémorragie ne pouvant être stoppée;2.3;M09.01.00;Hémorragie ne pouvant être stoppée;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.02;Hémorragie ne pouvant être stoppée - Epistaxis non stoppée par la compression;2.3;M09.01.01;Epitaxis non stoppée par compression;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.11;Hémorragie;2.3;M09.00.00;Hémorragies / Saignements ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.21;Hémorragie extériorisée;2.3;M09.02.00;Hémorragie extériorisée;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.25;Hémorragie extériorisée - Hémorragie digestive (haute ou basse);2.3;M09.02.01;Hémorragie digestive (haute ou basse) extériorirée;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.26;Hémorragie extériorisée - Malaise;2.3;M09.02.02;Hémorragie extériorisée avec malaise ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.27;Hémorragie extériorisée - Crache du sang en toussant;2.3;M09.02.03;Crache du sang hémoptysie;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.28;Hémorragie extériorisée - Saignement peut être stoppé par compression;2.3;M09.02.04;Saignement stoppé par compression;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.29;Hémorragie extériorisée - Epistaxis stoppée par compression;2.3;M09.02.05;Epistaxis stoppée par compression;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.91;Saignements bénins;2.3;M09.03.00;Saignements bénins;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M24.92;Saignements bénins - Saignement sans signe de gravité identifié;2.3;M09.03.01;Saignement bénin sans signe de gravité identifié;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.00;Circulatoire;2.3;M10.00.00;Problème circulatoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.61;Palpitations;2.3;M10.01.00;Palpitations;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.91;Autres troubles;2.3;M10.02.00;Autres troubles circulatoires;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.92;Autres troubles - Victime déjà choquée par un DAI;2.3;M10.02.01;Patient/victime choquée par défibrillateur implanté;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.93;Autres troubles - Fréquence cardiaque < 50 ou > 150;2.3;M10.02.02;Bradycardie < 50 ou tachycardie > 150;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.95;Autres troubles - Tension artérielle < 90 mm Hg;2.3;M10.02.03;Pression Artérielle < 90 mmHg;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.96;Autres troubles - Tension artérielle > 160 mm Hg;2.3;M10.02.04;Pression Artérielle > 160 mmHg;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M30.97;Autres troubles - Autre trouble sans signe de gravité identifié;2.3;M10.02.05;Autre trouble sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.00;Respiration;2.3;M11.00.00;Problème respiratoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.01;Détresse respiratoire;2.3;M11.01.00;Détresse respiratoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.02;Détresse respiratoire - Etat asphyxique (moins de 4 syllabes ou mots courts, cyanose), ou obstruction complète;2.3;M11.01.01;Détresse respiratoire avec asphyxie;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.03;Détresse respiratoire - Epuisement respiratoire chez un nourrisson ou signes de lutte;2.3;M11.01.02;Epuisement respiratoire chez un nourrisson ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.11;Difficultés respiratoires;2.3;M11.02.00;Difficultés respiratoires;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.12;Difficultés respiratoires - Respiration bruyante;2.3;M11.02.01;Respiration bruyante;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.13;Difficultés respiratoires - Sueurs et/ou troubles de conscience;2.3;M11.02.02;Difficultés respiratoires avec sueurs ou altération de conscience;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.19;Difficultés respiratoires - Difficultés respiratoires sans signe de gravité identifié;2.3;M11.02.03;Difficultés respiratoires sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.91;Autres problème respiratoire;2.3;M11.03.00;Autre problème respiratoire ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.92;Autres problème respiratoire - Problème isolé d appareillage respiratoire ou canule;2.3;M11.03.01;Problème isolé d'appareillage respiratoire ou canule ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.93;Autres problème respiratoire - Corps étranger expulsé;2.3;M11.03.02;Corps étranger expulsé des poumons;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.94;Autres problème respiratoire - Obstruction partielle;2.3;M11.03.03;Problème respiratoire avec obstruction partielle;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M31.99;Autres problème respiratoire - Autres problème respiratoire sans signe de gravité identifié;2.3;M11.03.04;Autre problème respiratoire sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.00;Neurologie;2.3;M12.00.00;Problème neurologique;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.01;Suspicion AVC / AIT;2.3;M12.01.00;Suspicion AVC / AIT;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.02;Suspicion AVC / AIT - Avec troubles de la conscience;2.3;M12.01.01;Suspicion AVC / AIT avec trouble de conscience ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.03;Suspicion AVC / AIT - Avec céphalées ou vomissements;2.3;M12.01.00;Suspicion AVC / AIT;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.04;Suspicion AVC / AIT - Sans céphalée ou vomissement ni trouble de la conscience;2.3;M12.01.02;Suspicion AVC / AIT sans céphalée ou vomissement ni trouble de la conscience;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.05;Suspicion AVC / AIT - Avec disparition des signes associés à l‘AVC au moment de l‘appel;2.3;M12.01.03;Suspicion AVC / AIT avec disparition des signes d'AVC à l'appel;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.11;Convulsions persistantes;2.3;M12.02.00;Convulsions persistantes;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.21;Convulsions;2.3;M12.03.00;Convulsions ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.22;Convulsions - Chez la femme enceinte;2.3;M12.03.01;Convulsions  - Chez la femme enceinte ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.24;Convulsions - Réveil après convulsions;2.3;M12.03.03;En cours de réveil après convulsions;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.25;Convulsions - Hyperthermiques de l‘enfant;2.3;M12.03.02;Convulsions avec fièvre chez l'enfant;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.31;Trouble de la conscience;2.3;M12.04.00;Trouble de la conscience ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.32;Trouble de la conscience - Chez le diabétique;2.3;M12.04.01;Trouble de la conscience chez un diabétique;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.34;Trouble de la conscience - Avec perte de connaissance initiale;2.3;M12.04.02;Trouble de la conscience avec perte de connaissance initiale;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.35;Trouble de la conscience - Somnolent et capable de parler ou de répondre à des ordres simples;2.3;M12.04.03;Somnolent et capable de parler ou de répondre à des ordres simples;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.36;Trouble de la conscience - Confusion, désorientation;2.3;M12.04.04;Confusion, désorientation;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.39;Trouble de la conscience - Trouble de la conscience sans signe de gravité identifié;2.3;M12.04.05;Autre trouble de la conscience sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.51;Malaise;2.3;M12.05.00;Malaise;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.52;Malaise - Malaise d effort;2.3;M12.05.02;Malaise au cours d'un effort;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.54;Malaise - Avec perte de connaissance initiale;2.3;M12.05.03;Malaise avec perte de connaissance initiale;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.55;Malaise - Avec trouble de la conscience;2.3;M12.05.04;Malaise avec trouble de la conscience;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.57;Malaise - Malaise sans signe de gravité identifié;2.3;M12.05.01;Malaise sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.91;Autre motif neurologique;2.3;M12.06.00;Autre motif neurologique ;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.92;Autre motif neurologique - Céphalées;2.3;M12.06.01;Céphalées isolées;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.95;Autre motif neurologique - Céphalées avec vomissement;2.3;M12.06.02;Céphalées avec vomissement;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M32.99;Autre motif neurologique - Autre motif neurologique sans signe de gravité identifié;2.3;M12.06.03;Autre motif neurologique sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.00;Traumatisme;2.3;M13.00.00;Traumatisme;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.01;Personne restant à terre suite à une chute;2.3;M13.01.00;Personne restant à terre suite à une chute;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.11;Suspicion de victime polytraumatisé;2.3;M13.02.00;Polytraumatisme / traumatisme sévère;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.21;Traumatisme tête - cou;2.3;M13.03.00;Traumatisme tête / cou;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.22;Traumatisme tête - cou - Avec perte de connaissance ou troubles de la la conscience;2.3;M13.03.01;Traumatisme tête / cou avec perte de connaissance initiale ou troubles de la conscience;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.29;Traumatisme tête - cou - Trauma tête / cou sans signe de gravité;2.3;M13.03.02;Traumatisme tête / cou sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.31;Traumatisme thorax;2.3;M13.04.00;Traumatisme thorax;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.32;Traumatisme thorax - Avec gêne respiratoire;2.3;M13.04.01;Traumatisme thorax avec gêne respiratoire;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.39;Traumatisme thorax - Traumatisme au thorax sans signe de gravité;2.3;M13.04.02;Traumatisme thorax sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.41;Traumatisme abdomen - bassin;2.3;M13.05.00;Traumatisme abdomen / bassin;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.42;Traumatisme abdomen - bassin - Choc violent;2.3;M13.05.01;Traumatisme abdomen / bassin violent;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.49;Traumatisme abdomen - bassin - Traumatisme abdomen - bassin sans signe de gravité;2.3;M13.05.02;Traumatisme abdomen / bassin sans signe de gravité;OK;OK;;;;;;
Motif de recours médico secouriste;$.qualification.healthMotive;1.9;M41.51;Traumatisme membres;2.3;M13.06.00;Traumatisme membres;OK;OK;;;;;;
