code;label_n1;label_n2;description;commentaire
/DGR/NUKCNL;Zone Polluée/Dangereuse;Ligne de dose nucléaire;Le contour dans lequel une dose de radiation nucléaire spécifiée est prévue ou confirmée.;
/DGR/OBSGEN;Zone Polluée/Dangereuse;Obstacle général;Une mesure de contrôle utilisée pour indiquer la présence d'un obstacle potentiel.;
/DGR/PRHBAR;Zone Polluée/Dangereuse;Zone interdite;Une zone avec des dimensions définies, souvent dans les eaux territoriales d'un État, où la présence est interdite.;
/DGR/RAD;Zone Polluée/Dangereuse;Zone radioactive;Une zone où des matériaux radioactifs ou des dispositifs produisant des radiations sont utilisés pour causer des dommages ou restreindre l'utilisation du terrain.;
/DGR/RADCLD;Zone Polluée/Dangereuse;Contour de détection radiologique;Le contour représentant un nuage radioactif.;
/DGR/RSTR;Zone Polluée/Dangereuse;Zone restreinte;Une zone avec des dimensions définies, généralement au-dessus de la terre ou des eaux territoriales d'un État, où la présence est limitée conformément à certaines conditions spécifiées.;
/DGR/SGA;Zone Polluée/Dangereuse;Zone à circulation ralentie;Une zone où la circulation est difficile.;
/DGR/SITKIL;Zone Polluée/Dangereuse;Site de prétendues tueries;Un endroit où des allégations de tueries ont eu lieu.;
/DGR/UNXOD;Zone Polluée/Dangereuse;Zone d'engin explosif non explosé;Un endroit où un engin explosif qui n'a pas explosé se trouve, posant ainsi un risque pour les opérations, les installations ou le personnel.;
/GEN/AOR;Zone à Usage Général;Zone de responsabilité;Un territoire ou une zone spécifiquement assignée à un commandant pour le développement, la maintenance, le contrôle des mouvements et la conduite des opérations.;
/GEN/ASYGEN;Zone à Usage Général;Zone d'assemblage général;Une zone où les troupes sont rassemblées avant une action.;
/GEN/ASYSPL;Zone à Usage Général;Zone d'assemblage, fournitures;Dans une installation de fournitures, la grande zone utilisée pour rassembler et combiner des composants en kits complets, unités ou assemblages.;
/GEN/BDYOR;Zone à Usage Général;Frontière, organisation;Une ligne délimitant des zones de surface (ou espace aérien) pour faciliter la coordination entre unités adjacentes.;
/GEN/BDYPOA;Zone à Usage Général;Frontière, politique/administrative;Une localisation qui délimite des zones où des responsabilités politiques ou administratives sont définies.;
/GEN/BDYPT;Zone à Usage Général;Point de frontière;Un point sur une frontière.;
/GEN/CKPGEN;Zone à Usage Général;Point de contrôle;Un emplacement sur la surface de la Terre utilisé pour contrôler le mouvement.;
/GEN/CNTPTL;Zone à Usage Général;Point de contact, terrain;Un point de localisation identifiable où deux ou plusieurs unités sont censées établir un contact.;
/GEN/COLDZ;Zone à Usage Général;Zone de commandement;La zone où le poste de commandement et les fonctions de support associées sont localisées.;
/GEN/COMCKP;Zone à Usage Général;Point de communication;Un point de commandement qui ordonne de faire rapport à la centrale de contrôle en cas d'incident.;
/GEN/COMLOW;Zone à Usage Général;Site Seveso seuil supérieur;COMAH (Directive Seveso) : indique un site où la totalité de la production et/ou du stockage de produits chimiques dangereux dépasse le seuil supérieur indiqué dans la directive.;
/GEN/COMMZ;Zone à Usage Général;Zone de communication;Une zone définissant la partie arrière du théâtre d'opérations (contiguë à la zone de combat) contenant les lignes de communication, les établissements pour les approvisionnements et les évacuations, et d'autres ressources nécessaires pour la prise en charge immédiate.;
/GEN/COMUP;Zone à Usage Général;Site Seveso au-dessus du seuil supérieur;COMAH (Directive Seveso) : indique un site où la quantité de production et/ou de stockage de produits chimiques dangereux excède le seuil supérieur indiqué par la directive.;
/GEN/CONTAR;Zone à Usage Général;Zone contrôlée;Une zone réglementée.;
/GEN/CORDON;Zone à Usage Général;Cordon;"Peut être physique ou improvisé, par exemple, la zone de sauvetage ou une section. D'après le Manuel des Grands Incidents 7ème édition, publié en 2007 par le London Emergency Services Liaison Panel (LESLP), le terme ""cordon"" est utilisé pour décrire une zone restreinte autour d'un lieu d'incident sur le terrain. Les cordons peuvent être décrits comme Cordon interne, Cordon externe ou Cordon de circulation.";
/GEN/CRDPNT;Zone à Usage Général;Point de coordination;Point désigné à partir duquel des unités/formations adjacentes coordonnent leurs actions et leur contrôle.;
/GEN/DIVRT;Zone à Usage Général;Diversion;Itinéraire de diversion. Une alternative à un itinéraire posant problème. Également appelé détour.;
/GEN/DROPPT;Zone à Usage Général;Point de départ;Aucune définition donnée.;
/GEN/ENTPT;Zone à Usage Général;Point d'entrée;Un point désigné pour l'utilisation par des véhicules ou du personnel entrant dans une zone, lieu ou volume.;
/GEN/EVENT;Zone à Usage Général;Zone d'événement;La zone où se produit l'événement d'intérêt.;
/GEN/EXITPT;Zone à Usage Général;Point de sortie;Un point désigné pour l'utilisation par des véhicules ou du personnel quittant une zone, lieu ou volume.;
/GEN/FWCTPT;Zone à Usage Général;Point de commande avant;Terme utilisé pour décrire le point de commande le plus avancé lors d'un incident. Également appelé Commande Avancée.;
/GEN/HOTZ;Zone à Usage Général;Zone chaude;Zone immédiatement entourant une libération de matières dangereuses qui écarte suffisamment pour éviter des effets néfastes.;
/GEN/INCGRD;Zone à Usage Général;Lieu d'incident au sol;Emplacement de l'incident d'urgence. Également connu sous le nom de Théâtre ou Scène d'Opérations.;
/GEN/LA;Zone à Usage Général;Zone d'atterrissage;Partie de l'objectif où se déroule l'opération d'atterrissage, qu'il s'agisse d'une opération amphibie ou aérienne.;
/GEN/LIMARE;Zone à Usage Général;Accès limité;Une indication pour montrer où le personnel ou l'équipement ne peuvent pas accéder.;
/GEN/LOCAT;Zone à Usage Général;Lieu d'incident;Lieu d'un incident d'urgence. Ce lieu peut être identifié par une adresse complète et, si possible, une référence spatiale. Exemple : Rue et numéro, ville, district, code postal.;
/GEN/MSR;Zone à Usage Général;Itinéraire d'approvisionnement;L'itinéraire ou les itinéraires désignés couvrant une zone d'opérations où la majorité du trafic se déplace pour soutenir les opérations.;
/GEN/PSSGPT;Zone à Usage Général;Point de passage;Un lieu spécifiquement désigné par lequel les unités passeront les unes après les autres, que ce soit en avance ou en retrait.;
/GEN/PTINT;Zone à Usage Général;Point d'intérêt;Aucune définition donnée.;
/GEN/RCNSAR;Zone à Usage Général;Point de reconnaissance;Aucune définition donnée.;
/GEN/RNDZPT;Zone à Usage Général;Route;Un emplacement prédéterminé établi par une pré-planification ou défini dynamiquement pendant l'urgence.;
/GEN/ROUTE;Zone à Usage Général;Itinéraire sécurisé;Une localisation linéaire qui prescrit le parcours à suivre d'un point d'origine spécifique à une destination spécifique.;
/GEN/SAFERT;Zone à Usage Général;Zone sécurisée;Itinéraire jugé sûr pour garantir un accès et une sortie sûrs depuis et vers un lieu spécifique.;
/GEN/SAFZ;Zone à Usage Général;Zone de sécurité;Aucune définition donnée.;
/GEN/SARPNT;Zone à Usage Général;Point de recherche et sauvetage;Un point de référence utilisé lors des opérations de recherche et de sauvetage.;
/GEN/SEARAR;Zone à Usage Général;Zone de recherche;Une zone à examiner minutieusement pour localiser quelque chose, y compris des personnes et/ou des équipements.;
/GEN/SPRISK;Zone à Usage Général;Zone à risque spécifique;Le terme pour indiquer que l'intervenant d'urgence devrait être conscient des considérations spécifiques en matière de risque pour un domaine précis.;
/GEN/STRTPT;Zone à Usage Général;Point de départ;Un point bien défini sur un itinéraire auquel le mouvement des véhicules commence à être sous le contrôle du commandant.;
/GEN/SUPARE;Zone à Usage Général;Zone d'approvisionnement;Une zone où des unités d'approvisionnement, des dépôts et des décharges peuvent être situés.;
/GEN/SUPPT;Zone à Usage Général;Point d'approvisionnement;Tout point spécifique où les fournitures sont délivrées en détail.;
/GEN/TRSTRT;Zone à Usage Général;Itinéraire de transit;Un couloir temporaire de dimensions définies.;
/GEN/WARMZ;Zone à Usage Général;Zone tiède;La zone où la décontamination du personnel et de l'équipement et le soutien de la zone chaude ont lieu.;
