code;label_n1;label_n2;description;commentaire
/INT/IDENT;Renseignement ;Identification ;Déterminer l'identification d'une classe d'objet particulière, reconnaître le caractère amical ou ennemi d'un objet ou détecter la présence d'un objet.;
/INT/ILLUMN;Renseignement ;Éclairage ;Fournir un éclairage en utilisant des projecteurs de recherche ou des illuminants pyrotechniques par diffusion ou réflexion.;
/INT/LOCTNG;Renseignement ;Localisation ;Établir la position d'un objet.;
/INT/NUCSMP;Renseignement ;Échantillonnage nucléaire ;L'action de détecter un contaminant radiologique.;
/INT/OBSRNG;Renseignement ;Observation ;Fournir une vue continue et la possibilité de rapports sur l'activité d'un objet.;
/INT/PLUMOD;Renseignement ;Modélisation de panache ;Projection informatique de la zone affectée après un incident de pollution ou de contamination, utilisée pour prédire quelles zones peuvent nécessiter une évacuation.;
/INT/PTRLNG;Renseignement ;Patrouille ;Rassembler des informations ou mener une mission destructrice, harassante, de ratissage ou de sécurité.;
/INT/RECCE;Renseignement ;Reconnaissance ;Mener une mission visant à obtenir par des opérations visuelles ou d'autres méthodes de détection des informations sur l'état d'un événement donné, ou à recueillir des données sur les caractéristiques météorologiques, hydrographiques ou géographiques d'une zone particulière.;
/INT/SRVMET;Renseignement ;Surveillance météorologique ;La capacité à effectuer une observation systématique des conditions météorologiques.;
/INT/SRVSEN;Renseignement ;Surveillance par capteur ;La capacité à gérer, exploiter et entretenir des actifs de surveillance par capteur.;
/INT/WITNSN;Renseignement ;Témoin ;Observer une activité qui pourrait nécessiter la fourniture de preuves.;
/MAC/AII;Coopération multi-agences ;Assistance à l'enquête sur l'incident ;Personnel spécialement formé fournissant une assistance dans le cadre des enquêtes sur les incidents.;
/MAC/COL;Coopération multi-agences ;Coordination avec d'autres agences ;Liaison et coopération entre différentes agences.;
/MIL/BCESC;Activités militaires ;Traversée de la frontière, escortée ;Une traversée de frontière qui est effectuée sous escorte.;
/MIL/BLOCKN;Activités militaires ;Blocage ;Empêcher l'accès de l'ennemi à une zone ou empêcher sa progression dans une direction ou le long d'une voie d'approche.;
/MIL/BOMBNG;Activités militaires ;Bombardement ;Attaquer, endommager ou détruire à l'aide de bombes.;
/MIL/CAPTUR;Activités militaires ;Capture ;Prendre possession d'un objet, généralement par la force, impliquant fréquemment un mouvement en tant que phase préliminaire.;
/MIL/CTRATK;Activités militaires ;Contre-attaque ;Lancer une opération offensive dans laquelle une attaque par tout ou partie d'une force défensive est dirigée contre une force ennemie attaquante, dans le but spécifique de regagner le terrain perdu, de couper ou de détruire les unités ennemies de tête, et avec l'objectif général de reprendre l'initiative et de priver l'ennemi de l'atteinte de son but ou de son objectif d'attaque.;
/MIL/DEFEND;Activités militaires ;Défense ;Protéger un objet défini contre une attaque ennemie.;
/MIL/DISENG;Activités militaires ;Désengagement ;Mettre fin à une action.;
/MIL/DIVRSN;Activités militaires ;Diversion ;Rendre inefficace ou inutilisable dans le cadre d'opérations militaires.;
/MIL/DLBATK;Activités militaires ;Attaque ;Mettre des bombes, des mines, des missiles et des pièges hors service.;
/MIL/DSRPTN;Activités militaires ;Perturbation ;Le contrôle du lieu de l'incident d'urgence.;
/MIL/ENVLPN;Activités militaires ;Enveloppement ;Protection d'une scène pour préserver les preuves.;
/MIL/FIX;Activités militaires ;Fixation ;"Terme indiquant que les personnes dans une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et écouter la station de radio locale pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) utilisé au Portugal pour indiquer la zone affectée où les gens doivent entrer, rester à l'intérieur et écouter.";
/MIL/HARASS;Activités militaires ;Harcèlement ;La cessation des activités de guerre.;
/MIL/HIDE;Activités militaires ;Cachette ;Désengager une force en contact avec une force ennemie.;
/MIL/HLDDEF;Activités militaires ;Maintien en position défensive ;Éliminer ou neutraliser un obstacle.;
/MIL/HLDOFF;Activités militaires ;Maintien en position offensive ;La réactivation de la transmission de l'information.;
/MIL/INFLTN;Activités militaires ;Infiltration ;La rétablissement de la capacité de communication.;
/MIL/INTCPN;Activités militaires ;Interception ;Construction, érection ou création d'un objet.;
/MIL/INTDCT;Activités militaires ;Interdiction ;La capacité de construire diverses installations en soutien direct des opérations militaires.;
/MIL/MASFOR;Activités militaires ;Concentration de forces ;La capacité de construire diverses installations en soutien direct des opérations navales.;
/MIL/MIL;Activités militaires ;Missions spécifiques militaires ;Achat de tout ce qui est nécessaire pour accomplir une action particulière.;
/MIL/WPNFIR;Activités militaires ;Tir d'armes ;Le tir d'armes.;
/NET/COMDEA;Activités de réseau et de télécommunication ;Désactivation des communications ;La désactivation de la transmission d'informations.;
/NET/DATTRF;Activités de réseau et de télécommunication ;Transfert de données ;Un service pour le transfert électronique de données.;
/NET/NETJAM;Activités de réseau et de télécommunication ;Brouillage de réseau ;;
/NET/NETSEI;Activités de réseau et de télécommunication ;Saisie de réseau ;;
/NET/SGNC;Activités de réseau et de télécommunication ;Centre de nœud de signal ;La capacité des services de transmission à gérer, exploiter et contrôler un centre de nœuds de communication.;
/NET/SGNLE;Activités de réseau et de télécommunication ;Extension importante du nœud de signal ;La capacité des services de transmission à gérer, exploiter et contrôler un grand nœud de communication.;
/POL/NTRCOM;Activités de police ;Neutralisation, combat ;Rendre inefficace ou inutilisable dans les opérations militaires ;
/POL/NTREXP;Activités de police ;Neutralisation, explosive ;Mettre hors service les bombes, les mines, les missiles et les pièges explosifs en toute sécurité ;
/POL/SCNMNG;Activités de police ;Gestion de scène ;Le contrôle du site de l'incident d'urgence ;
/POL/SCNPRS;Activités de police ;Préservation de la scène ;Protection d'une scène pour préserver les preuves ;
/POL/SHELTR;Activités de police ;Hébergement ;"Terme indiquant que les personnes dans une zone ou une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et régler leur poste de radio local pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) Utilisé au Portugal pour indiquer la zone affectée où les personnes doivent entrer, rester à l'intérieur et régler leur poste de radio ";
/POL/SUSHOS;Activités de police ;Suspension des hostilités ;La cessation des activités de guerre ;
/POL/WITDRL;Activités de police ;Retrait ;Désengager une force en contact avec une force ennemie ;
/REC/CLROBS;Activités de reconstruction/réhabilitation ;Déblaiement (obstacle) ;Éliminer ou neutraliser un obstacle ;
/REC/COMACT;Activités de reconstruction/réhabilitation ;Activation des communications ;La réactivation de la transmission de l'information ;
/REC/COMRES;Activités de reconstruction/réhabilitation ;Restauration des communications ;La rétablissement de la capacité de communiquer ;
/REC/CONSTN;Activités de reconstruction/réhabilitation ;Construction ;Construction, érection ou création d'un objet ;
/REC/ENGCN;Activités de reconstruction/réhabilitation ;Génie, construction ;La capacité de construire diverses installations en soutien direct des opérations militaires ;
/REC/ENGCNN;Activités de reconstruction/réhabilitation ;Génie, construction navale ;La capacité de construire diverses installations en soutien direct des opérations navales ;
/REC/PROCUR;Activités de reconstruction/réhabilitation ;Approvisionnement ;Acheter tout ce qui est nécessaire pour accomplir une action particulière ;
/REC/PRVACC;Activités de reconstruction/réhabilitation ;Fourniture d'hébergement ;Fournir un espace pour recevoir des personnes, en particulier un lieu de vie ou de logement ;
/REC/PRVAGR;Activités de reconstruction/réhabilitation ;Fourniture de soutien agricole ;Fournir des conseils ou des fournitures pour cultiver le sol et élever des animaux.;
/REC/PRVBDD;Activités de reconstruction/réhabilitation ;Fourniture de literie ;Fournir de l'espace pour accueillir des personnes, notamment un lieu de vie ou de logement.;
/REC/PRVCMP;Activités de reconstruction/réhabilitation ;Fourniture de camps ;Fournir un logement temporaire de divers types, généralement constitué de huttes ou de tentes, pour les détenus, les personnes sans-abri et d'autres utilisations d'urgence.;
/REC/PRVCNS;Activités de reconstruction/réhabilitation ;Fourniture de services de construction ;Fournir de la main-d'œuvre et du matériel pour la construction d'installations.;
/REC/PRVDCN;Activités de reconstruction/réhabilitation ;Fourniture de services de décontamination ;Fournir la purification de différents articles contaminés.;
/REC/PRVEDU;Activités de reconstruction/réhabilitation ;Fourniture de services éducatifs ;Fournir de la main-d'œuvre et du matériel pour le processus éducatif.;
/REC/PRVHLT;Activités de reconstruction/réhabilitation ;Fourniture de services de santé ;Fournir de la main-d'œuvre et du matériel pour le maintien de la santé et du bien-être général.;
/REC/PRVHSN;Activités de reconstruction/réhabilitation ;Fourniture de soutien de la nation hôte ;Fournir une assistance civile et/ou militaire fournie par une nation aux forces étrangères sur son territoire en temps de paix, en temps de crise ou d'urgence, ou en temps de guerre, sur la base d'accords mutuellement conclus entre les nations.;
/REC/PRVINF;Activités de reconstruction/réhabilitation ;Fourniture d'infrastructures ;Fournir des installations de base telles que des routes, des ponts et des égouts.;
/REC/PRVLND;Activités de reconstruction/réhabilitation ;Fourniture de services de blanchisserie.;Fournir de la main-d'œuvre et du matériel pour le lavage de vêtements ou de linge.;
/REC/PRVRPR;Activités de reconstruction/réhabilitation ;Fourniture de services de réparation ;Fournir de la main-d'œuvre et du matériel pour remettre des objets en bon état.;
/REC/PRVSCY;Activités de reconstruction/réhabilitation ;Fourniture de services de sécurité ;Fournir de la main-d'œuvre et du matériel pour assurer la sécurité du personnel et des installations.;
/REC/PRVSHL;Activités de reconstruction/réhabilitation ;Fourniture d'abris ;Fournir un logement.;
/REC/PRVSTG;Activités de reconstruction/réhabilitation ;Fourniture de services de stockage ;Fournir des services de stockage.;
/REC/PRVTRS;Activités de reconstruction/réhabilitation ;Fourniture de services de transbordement ;Fournir le mouvement de marchandises d'un navire ou d'un train à un autre pour un autre envoi.;
/REC/PSO;Activités de reconstruction/réhabilitation ;Soutien à la paix ;La capacité à mener des opérations multifonctionnelles impliquant des forces militaires et des agences diplomatiques et humanitaires. Les opérations sont conçues pour atteindre des objectifs humanitaires ou un règlement pacifique à long terme.;
/REC/SPLLDB;Activités de reconstruction/réhabilitation ;Approvisionnement en blanchisserie/bain ;La capacité à fournir des services de blanchisserie et/ou de bain.;
/REC/SPLWAT;Activités de reconstruction/réhabilitation ;Approvisionnement en eau ;La capacité à fournir de l'eau potable.;
/REC/UTILTY;Activités de reconstruction/réhabilitation ;Utilité ;La capacité à fournir des services publics (eau, gaz, électricité, etc.).;
/REC/WATER;Activités de reconstruction/réhabilitation ;Purification de l'eau ;La capacité à fournir de l'eau potable propre pour la boisson et la baignade.;
/RSC/COVERN;Activités de reconstruction/réhabilitation ;Couverture ;Opérer en tant que force distincte de la force principale pour protéger la force principale en gagnant du temps tout en observant et en rapportant des informations et en empêchant l'observation ennemie du feu direct contre la force principale.;
/RSC/FRFGTN;Activités de reconstruction/réhabilitation ;Lutte contre l'incendie ;L'activité d'extinction des incendies.;
/RSC/MEDEVC;Activités de reconstruction/réhabilitation ;Évacuation médicale ;Le processus de déplacement de toute personne blessée ou malade vers/entre les installations de traitement médical.;
/RSC/SAR;Activités de reconstruction/réhabilitation ;Recherche et sauvetage ;La capacité à utiliser des aéronefs, des navires, des sous-marins, des équipes de sauvetage spécialisées et de l'équipement pour rechercher et secourir des personnes en détresse sur terre ou en mer.;
/SAV/AR;Activités de sauvetage ;Sauvetage en ambulance ;Sauvetage effectué par le personnel du service d'ambulance.;
/SAV/ASC;Activités de sauvetage ;Assistance et soutien aux victimes ;Soins donnés aux victimes, tels que les premiers secours.;
/SAV/RHD;Activités de sauvetage ;Sauvetage en hauteur et en profondeur ;Unités de sauvetage spécialisées utilisant un équipement sur mesure.;
/SAV/RTA;Activités de sauvetage ;Sauvetage dans les accidents de la route ;Opérations de sauvetage d'urgence impliquant des victimes d'accidents de véhicules.;
/SAV/SARCSL;Activités de sauvetage ;Recherche et sauvetage en cas de structures effondrées et de glissements de terrain ;Opérations de recherche et de sauvetage dans des structures effondrées et des glissements de terrain.;
/SAV/SARHHA;Activités de sauvetage ;Recherche et sauvetage en atmosphères chaudes et dangereuses ;Procédures de recherche et de sauvetage d'urgence.;
/SAV/SRW;Activités de sauvetage ;Recherche et sauvetage en eau ;Opérations de recherche et de sauvetage d'urgence impliquant de l'eau.;
/SAV/USAR;Activités de sauvetage ;Recherche et sauvetage urbain (USAR) ;;
/SAV/UW;Activités de sauvetage ;Sauvetage sous-marin ;Sauvetages impliquant l'utilisation d'équipes spécialisées et d'équipement tels que des plongeurs.;
/SCS/EDU;Soutenir la sécurité communautaire ;Prévention des incendies et éducation du public à la sécurité incendie ;Système de structure de prévention des incendies et d'éducation du public en matière de sécurité incendie.;
/SOC/CNDCNF;Activités sociales et de communication médiatique ;Organisation de conférences ;Mener une réunion de discussion, en particulier une réunion régulière organisée par une association ou une organisation.;
/SOC/CNDMED;Activités sociales et de communication médiatique ;Interviews avec les médias ;Mener une conversation entre un journaliste, etc., et une personne d'intérêt public, utilisée comme base d'une diffusion ou d'une publication.;
/SOC/CNDRCR;Activités sociales et de communication médiatique ;Organisation d'activités récréatives ;Mener une activité rafraîchissante ou divertissante.;
/SOC/CNDSCL;Activités sociales et de communication médiatique ;Organisation d'événements sociaux ;Mener une réunion sociale, en particulier celle organisée par un club ou une congrégation.;
/SOC/CNDSPT;Activités sociales et de communication médiatique ;Organisation d'événements sportifs ;Mener un jeu ou une activité compétitive, en particulier une activité en plein air impliquant un effort physique, comme le cricket, le football, la course, la chasse, etc.;
/SOC/ISSMDA;Activités sociales et de communication médiatique ;Publication d'articles dans les médias ;Diffuser, publier ou mettre en circulation un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine ou un journal.;
/SOC/ISSMDD;Activités sociales et de communication médiatique ;Réalisation de documentaires médiatiques ;Diffuser, publier ou mettre en circulation un document sur un support médiatique qui fournit un enregistrement ou un rapport factuel.;
/SOC/ISSPRS;Activités sociales et de communication médiatique ;Publication de communiqués de presse ;Diffuser, publier ou mettre en circulation une déclaration officielle émise à l'attention des médias pour information.;
/SOC/MN;Activités sociales et de communication médiatique ;Cérémonie ou défilé ;La réunion formelle d'un groupe de personnes dans le but d'accomplir un acte ou une série d'actes prescrits par un protocole rituel ou une convention.;
/SOC/PUBMDA;Activités sociales et de communication médiatique ;Publication d'articles dans les médias ;Rendre généralement connu un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine, un journal, etc.;
/SOC/PUBMDD;Activités sociales et de communication médiatique ;Réalisation de documentaires médiatiques ;Rendre généralement connu un document publié sur un support médiatique qui fournit un enregistrement ou un rapport factuel.;
/SOC/PUBPRS;Activités sociales et de communication médiatique ;Publication de communiqués de presse.;Rendre généralement connue une déclaration officielle émise à l'attention des médias pour information.;
