code;label_n1;label_n2;label_n3;description;commentaire
/FAC/OPR/CVCLPT;Facilité;Installation opérationnelle;Point de rassemblement des civils; Un emplacement spécifique où les civils sont regroupés.;
/FAC/OPR/DEBRDP;Facilité;Installation opérationnelle;Décharge de débris; Terme utilisé pour décrire un espace où les débris de l'incident seraient déposés sur le site de l'incident.;
/FAC/OPR/DECONP;Facilité;Installation opérationnelle;Installation de décontamination; Un endroit où le personnel et/ou le matériel peuvent être nettoyés après une contamination potentielle par des matières radioactives, biologiques ou chimiques.;
/FAC/OPR/DISBED;Facilité;Installation opérationnelle;Lits pour personnes ayant des troubles d'apprentissage; Fourniture d'hébergement pour les personnes ayant des troubles d'apprentissage.;
/FAC/OPR/DOCFAC;Facilité;Installation opérationnelle;Maison médicale; L'installation qui reçoit les patients ordinaires pendant les heures de travail.;
/FAC/OPR/EMMORT;Facilité;Installation opérationnelle;Morgue d'urgence; Structures temporaires ou transformation de structures existantes ayant pour fonction de fournir un espace où peuvent avoir lieu les examens post-mortem et l'identification des victimes, et, si nécessaire, de fournir une capacité de conservation des corps avant leur retrait du site de l'incident.;
/FAC/OPR/EQPOOL;Facilité;Installation opérationnelle;Piscine d'équipement; Terme utilisé pour décrire un espace destiné à stocker des équipements de réserve sur le site de l'incident.;
/FAC/OPR/EVASSP;Facilité;Installation opérationnelle;Point de rassemblement des évacués; Un espace aménagé lors d'un incident situé près de la scène où les évacués peuvent être dirigés pour être regroupés avant d'être transportés vers des centres de repos.;
/FAC/OPR/FACAIR;Facilité;Installation opérationnelle;Base/facilité militaire, aéroport/base aérienne; Une installation utilisée comme base militaire préparée pour l'hébergement, le décollage et l'atterrissage des avions.;
/FAC/OPR/FACMIL;Facilité;Installation opérationnelle;Base/facilité militaire; Une installation utilisée comme base militaire.;
/FAC/OPR/FACNAV;Facilité;Installation opérationnelle;Base/facilité militaire, port de mer/base navale; Une installation utilisée comme base navale et où les navires peuvent charger ou décharger leur cargaison.;
/FAC/OPR/FAMFRD;Facilité;Installation opérationnelle;Centre de réception pour les familles et les amis; Espace sécurisé établi par la police, réservé à l'accueil et à l'entretien des familles et des amis arrivant sur les lieux de l'incident.;
/FAC/OPR/FIRFAC;Facilité;Installation opérationnelle;Installation des services d'incendie; Auto-descriptif;
/FAC/OPR/FSAAMM;Facilité;Installation opérationnelle;Zone de stockage de munitions sur le terrain; Un groupe de sites de stockage sur le terrain contenant des munitions et des explosifs.;
/FAC/OPR/GERBED;Facilité;Installation opérationnelle;Lits pour personnes âgées; Terme désignant l'hébergement pour les personnes âgées.;
/FAC/OPR/HOLD;Facilité;Installation opérationnelle;Zone de rétention; Terme utilisé pour décrire un espace sûr près de la zone d'opérations utilisé pour stocker une réserve de ressources avant d'être affecté à une tâche.;
/FAC/OPR/HPD;Facilité;Installation opérationnelle;Héliport; Une zone aménagée utilisée pour le décollage et l'atterrissage des hélicoptères et d'autres aéronefs à décollage et atterrissage vertical.;
/FAC/OPR/HPT;Facilité;Installation opérationnelle;Héliport; Un endroit désigné pour l'atterrissage et le décollage des hélicoptères, y compris ses bâtiments et ses installations.;
/FAC/OPR/HSP;Facilité;Installation opérationnelle;Établissement médical, hôpital; Un établissement médical fixe capable de fournir des soins aux patients hospitalisés.;
/FAC/OPR/HSPFLD;Facilité;Installation opérationnelle;Établissement médical/hôpital de campagne; Une structure temporaire érigée sur ou près du site de l'incident pour fournir des soins médicaux.;
/FAC/OPR/HSPFLD;Facilité;Installation opérationnelle;Établissement médical, hôpital de campagne; Un établissement médical mobile capable de fournir des soins aux patients hospitalisés.;
/FAC/OPR/IRM;Facilité;Installation opérationnelle;Imagerie, Radiodiagnostic; Installations de radiologie pour les ressources médicales.;
/FAC/OPR/MARSHAL;Facilité;Installation opérationnelle;Aire de regroupement; Un emplacement à proximité du site de l'événement où les unités, le personnel, l'équipement, le matériel et les fournitures associées arrivant sont réassemblés, rendus à la disposition du commandant et préparés pour un déplacement ultérieur.;
/FAC/OPR/MATBED;Facilité;Installation opérationnelle;Lits de maternité; Lits dans les services de maternité d'un hôpital.;
/FAC/OPR/MEDBED;Facilité;Installation opérationnelle;Lits médicaux (généraux); Lits dans les services de médecine générale d'un hôpital ou d'un autre établissement médical.;
/FAC/OPR/MEDSPT;Facilité;Installation opérationnelle;Soutien médical; Une installation qui accueille du personnel médical chargé de traiter des personnes malades ou blessées.;
/FAC/OPR/MOBLCP;Facilité;Installation opérationnelle;Poste de commandement mobile; Le poste de commandement mobile d'une unité/formation.;
/FAC/OPR/OPCTCN;Facilité;Installation opérationnelle;Centre de commandement et de contrôle opérationnel; Centre de commandement et de contrôle opérationnel : normalement éloigné de la zone des opérations, il soutient directement l'incident. Également connu sous le nom de Contrôle Silver au Royaume-Uni.;
/FAC/OPR/PHARMA;Facilité;Installation opérationnelle;Pharmacie; Installations de distribution de médicaments.;
/FAC/OPR/POLFAC;Facilité;Installation opérationnelle;Commissariat de police; Bâtiment ou locaux utilisés comme installation pour les ressources policières, l'équipement, et où les personnes en état d'arrestation sont conduites.;
/FAC/OPR/POLPT;Facilité;Installation opérationnelle;Point de ravitaillement en carburant (POL); Une installation de distribution de pétrole et de produits associés.;
/FAC/OPR/REFARE;Facilité;Installation opérationnelle;Zone de regroupement de réfugiés; Zone spécialisée utilisée comme zone de regroupement pour les réfugiés.;
/FAC/OPR/RRRSPT;Facilité;Installation opérationnelle;Point de réarmement, de ravitaillement et de réapprovisionnement; Un point désigné par lequel une unité passe pour recevoir du carburant, des munitions et d'autres fournitures nécessaires pour poursuivre les opérations de combat.;
/FAC/OPR/SITLOG;Facilité;Installation opérationnelle;Site logistique; Une installation pour le stockage, la maintenance, la recherche ou l'élimination de matériel.;
/FAC/OPR/SPTARE;Facilité;Installation opérationnelle;Zone de soutien; Une zone désignée dans laquelle des éléments de soutien et certains éléments du personnel se trouvent pour soutenir une unité.;
/FAC/OPR/SRVCNT;Facilité;Installation opérationnelle;Centre de réception des survivants; Un espace sécurisé où les survivants indemnes peuvent être conduits pour se mettre à l'abri.;
/FAC/OPR/STCOCN;Facilité;Installation opérationnelle;Centre de coordination stratégique; Le groupe de coordination stratégique et les cellules de soutien pour aider le Commandant Gold à mettre en œuvre sa stratégie.;
/FAC/OPR/STCTCN;Facilité;Installation opérationnelle;Centre de commandement et de contrôle stratégique; Commandement et contrôle stratégique pour traiter les considérations opérationnelles plus larges d'un incident majeur ou d'une urgence, y compris les intervenants d'urgence. Également connu sous le nom de Contrôle Gold au Royaume-Uni.;
/FAC/OPR/TCCTCN;Facilité;Installation opérationnelle;Centre de commandement et de contrôle tactique; Centre de commandement et de contrôle tactique sur le site des opérations. Également connu sous le nom de Contrôle Bronze au Royaume-Uni.;
/FAC/OTH/ACCOM;Facilité;Autre type d'installation;Unité d'hébergement; Une quantité d'espace de vie distinct et séparé.;
/FAC/OTH/AIRFLD;Facilité;Autre type d'installation;Aérodrome; Une installation qui est un espace préparé pour l'hébergement, le décollage et l'atterrissage des avions.;
/FAC/OTH/BANK;Facilité;Autre type d'installation;Banque; Un établissement où l'argent est conservé à des fins d'épargne ou commerciales.;
/FAC/OTH/BATH;Facilité;Autre type d'installation;Bain; Une installation utilisée pour l'hygiène personnelle.;
/FAC/OTH/CAN;Facilité;Autre type d'installation;Canal; Un cours d'eau artificiel ou naturel amélioré utilisé pour le transport.;
/FAC/OTH/CEM;Facilité;Autre type d'installation;Cimetière/nécropole/terrain funéraire; Une zone de terrain pour l'enterrement des morts.;
/FAC/OTH/DCH;Facilité;Autre type d'installation;Fossé; Un canal construit dans le but de l'irrigation ou du drainage.;
/FAC/OTH/ELCINS;Facilité;Autre type d'installation;Installation électronique; Une installation dont la fonction essentielle repose sur l'utilisation d'équipement électronique.;
/FAC/OTH/ELCSPL;Facilité;Autre type d'installation;Alimentation électrique; Une installation contenant l'équipement utilisé pour la production et/ou la distribution d'électricité.;
/FAC/OTH/EQIMFT;Facilité;Autre type d'installation;Équipement, fabrication; Une installation généralement utilisée spécifiquement pour soutenir la fabrication d'équipement.;
/FAC/OTH/FACGOV;Facilité;Autre type d'installation;Leadership gouvernemental; Une installation utilisée pour soutenir les fonctions de leadership gouvernemental.;
/FAC/OTH/FACPOW;Facilité;Autre type d'installation;Installation de service, de recherche, d'utilité, d'installation électrique; Une installation généralement utilisée pour soutenir les fonctions de service, de recherche ou d'utilité en soutien de l'électricité.;
/FAC/OTH/FACTEC;Facilité;Autre type d'installation;Installation de service, de recherche, d'utilité, d'installation de recherche technologique; Une installation généralement utilisée pour soutenir les fonctions de service, de recherche ou d'utilité en soutien de la recherche technologique.;
/FAC/OTH/FACTEL;Facilité;Autre type d'installation;Installation de service, de recherche, d'utilité, d'installation de télécommunications; Une installation généralement utilisée pour soutenir les fonctions de service, de recherche ou d'utilité en soutien des télécommunications.;
/FAC/OTH/FACTRN;Facilité;Autre type d'installation;Installation de transport; Une installation utilisée pour soutenir les fonctions de transport.;
/FAC/OTH/FATST;Facilité;Autre type d'installation;Installation de service, de recherche, d'utilité, de service d'eau potable public; Une installation généralement utilisée pour soutenir les fonctions de service, de recherche ou d'utilité en soutien des services d'eau potable publics.;
/FAC/OTH/FERINS;Facilité;Autre type d'installation;Installation de traversée; Une installation (y compris les terminaux et les embarcations) permettant de déplacer du matériel et du personnel d'un côté d'une étendue d'eau à l'autre.;
/FAC/OTH/FHPT;Facilité;Autre type d'installation;Point de distribution de carburant; Une installation de ravitaillement en produits pétroliers (POL).;
/FAC/OTH/LGRLPT;Facilité;Autre type d'installation;Point de libération logistique; Le point le long de la voie d'approvisionnement où l'unité soutenue rencontre l'unité de soutien pour transférer des fournitures.;
/FAC/OTH/MAINTF;Facilité;Autre type d'installation;Installation de maintenance; Une installation contenant les ressources et l'infrastructure permettant de l'utiliser pour la réparation et l'entretien de l'équipement.;
/FAC/OTH/PTL;Facilité;Autre type d'installation;Ligne de transmission électrique; Un système de câbles aériens et de leurs supports qui transmettent l'électricité sur une distance.;
/FAC/OTH/RES;Facilité;Autre type d'installation;Réservoir; Une enceinte ou une zone artificielle conçue pour le stockage de l'eau.;
/FAC/OTH/VST;Facilité;Autre type d'installation;Aire de stationnement pour véhicules; Une zone de terrain ouverte utilisée pour stocker ou stationner des véhicules ou des embarcations (y compris les véhicules de loisirs).;
/FAC/OTH/WATSPL;Facilité;Autre type d'installation;Approvisionnement en eau; Une installation contenant l'équipement utilisé pour le stockage et/ou la distribution de l'eau.;
/FAC/OTH/WSHFAC;Facilité;Autre type d'installation;Installation de lavage; Une installation pour laver le personnel et/ou l'équipement.;
/FAC/WATFIR/FOMBLK;Facilité;Approvisionnements en eau et en mousse;Stockage en vrac de mousse; Le stockage de grandes quantités de concentré de mousse, soit sur place à un risque identifié, soit à des emplacements stratégiques pour une utilisation lors d'incidents d'urgence.;
/FAC/WATFIR/HYDRNT;Facilité;Approvisionnements en eau et en mousse;Installation de stockage d'hydrants; Installation de stockage d'hydrants.;
/FAC/WATFIR/TOWNMN;Facilité;Approvisionnements en eau et en mousse;Emplacement des conduites principales de la ville; Un réseau de conduites qui alimente les bornes d'incendie.;
/HUM/CAPAB;Ressources humaines;Capacité;; Les ressources potentielles qui peuvent être utilisées ou développées.;
/HUM/PERSON;Ressources humaines;Personne;; Personne.;
/HUM/UNIT;Ressources humaines;Unité;; Unité.;
/HUM/CAPAB/AMB;Ressources humaines;Capacité;Capacité d'ambulance; Capacité d'ambulance.;
/HUM/CAPAB/FIR;Ressources humaines;Capacité;Capacité de lutte contre l'incendie; Capacité de lutte contre l'incendie.;
/HUM/CAPAB/MED;Ressources humaines;Capacité;Capacité médicale; Capacité médicale.;
/HUM/CAPAB/MIL;Ressources humaines;Capacité;Capacité militaire; Capacité militaire.;
/HUM/CAPAB/POL;Ressources humaines;Capacité;Fonctions de police; Fonctions de police.;
/HUM/CAPAB/TRP;Ressources humaines;Capacité;Capacité de transport; Capacité de transport.;
/HUM/CAPAB/AMB/INCOFF;Ressources humaines;Capacité;Officier des incidents d'ambulance; L'officier du service d'ambulance ayant la responsabilité globale lors d'un incident majeur, qui travaille en étroite collaboration avec l'officier des incidents médicaux.;
/HUM/CAPAB/AMB/PARAMD;Ressources humaines;Capacité;Paramédic d'ambulance; Les paramédicaux sont les professionnels de la santé les plus expérimentés du service d'ambulance lors d'un accident ou d'une urgence médicale. Ils travaillent seuls ou avec un technicien d'ambulance.;
/HUM/CAPAB/AMB/SAFOFF;Ressources humaines;Capacité;Officier de sécurité d'ambulance; L'officier responsable de la surveillance des opérations et de la garantie de la sécurité du personnel placé sous sa responsabilité.;
/HUM/CAPAB/AMB/TECHNIC;Ressources humaines;Capacité;Technicien d'ambulance; Les techniciens travaillent aux côtés d'un paramédical et fournissent des soins d'urgence essentiels.;
/HUM/CAPAB/FIR/BACOFF;Ressources humaines;Capacité;Officier principal de contrôle des appareils respiratoires; Terme désignant une personne responsable de la fourniture de ressources adéquates pour les appareils respiratoires lors d'un incident majeur. Ce système de contrôle est utilisé lorsqu'il y a plus d'un poste de contrôle d'appareils respiratoires.;
/HUM/CAPAB/FIR/BAEOFF;Ressources humaines;Capacité;Officier de contrôle d'entrée des appareils respiratoires; Terme désignant un système visant à garantir la sécurité des équipes d'appareils respiratoires.;
/HUM/CAPAB/FIR/COMOFF;Ressources humaines;Capacité;Officier des communications; Terme désignant une personne responsable de garantir une communication radio efficace sur le site de l'incident.;
/HUM/CAPAB/FIR/CONOFF;Ressources humaines;Capacité;Officier de contrôle; Terme désignant une personne responsable de la coordination d'une unité de contrôle ou d'une unité de commandement d'incident sur le site de l'incident.;
/HUM/CAPAB/FIR/DECOFF;Ressources humaines;Capacité;Officier de décontamination; Terme désignant une personne responsable de la gestion du processus de décontamination et des procédures sur le site de l'incident.;
/HUM/CAPAB/FIR/FINOFF;Ressources humaines;Capacité;Officier d'enquête incendie; Terme désignant une personne chargée d'enquêter sur la cause de l'incendie. Cela peut également être désigné sous le nom d'analyste du feu (Pays-Bas).;
/HUM/CAPAB/FIR/FOMOFF;Ressources humaines;Capacité;Officier de la mousse; Terme désignant une personne responsable de garantir des quantités appropriées et suffisantes de mousse pour la lutte contre l'incendie sur le site de l'incident.;
/HUM/CAPAB/FIR/HAZOFF;Ressources humaines;Capacité;Officier des matières dangereuses; Terme désignant une personne responsable de l'évaluation de la nature et du risque pour les intervenants d'urgence et d'autres personnes des matières dangereuses impliquées dans l'incident d'urgence.;
/HUM/CAPAB/FIR/INCCOM;Ressources humaines;Capacité;Commandant de l'incident; Terme désignant une personne ayant la responsabilité globale d'un incident d'urgence. Également connu sous le nom de « OIC » (voir utilisation alternative pour Commandement d'Incident Opérationnel) et COMANDO INCIDETE — Portugal.;
/HUM/CAPAB/FIR/LIAOFF;Ressources humaines;Capacité;Officier de liaison; Terme désignant une personne responsable d'assurer la liaison avec les intervenants d'urgence, avant, après et pendant une urgence.;
/HUM/CAPAB/FIR/LOGOFF;Ressources humaines;Capacité;Officier logistique; Terme désignant une personne responsable de garantir la fourniture de ressources.;
/HUM/CAPAB/FIR/MAROFF;Ressources humaines;Capacité;Officier de rassemblement; Terme désignant une personne responsable de la coordination des ressources arrivant et quittant le site de l'incident.;
/HUM/CAPAB/FIR/MEDOFF;Ressources humaines;Capacité;Officier des médias; Terme désignant une personne responsable de la liaison avec les médias sur le site de l'incident.;
/HUM/CAPAB/FIR/OPRCOM;Ressources humaines;Capacité;Commandant des opérations; Individu responsable de la gestion et du soutien d'un incident au sein d'un environnement de Commandement Opérationnel situé à distance des opérations sur le terrain de l'incident. Le Commandement Opérationnel assure le lien entre les besoins de commandement tactique et les problèmes de commandement stratégique.;
/HUM/CAPAB/FIR/SAFOFF;Ressources humaines;Capacité;Officier de sécurité; Terme désignant une personne responsable de la gestion de la sécurité des intervenants d'urgence sur le site de l'incident. Sécurité sur le site Veilig Werkers (Pays-Bas).;
/HUM/CAPAB/FIR/SALOFF;Ressources humaines;Capacité;Officier de sauvetage; Terme désignant une personne responsable de garantir la protection des biens touchés par l'incident/événement.;
/HUM/CAPAB/FIR/SECCOM;Ressources humaines;Capacité;Commandant de secteur; Terme désignant une personne ayant la responsabilité des opérations de lutte contre l'incendie ou de sauvetage dans une zone géographique particulière du site de l'incident.;
/HUM/CAPAB/FIR/STAOFF;Ressources humaines;Capacité;Officier de stabilité; Individu responsable de la surveillance de la stabilité d'un navire pendant les opérations de lutte contre l'incendie.;
/HUM/CAPAB/FIR/STRCOM;Ressources humaines;Capacité;Commandant stratégique; Terme désignant une personne responsable de la gestion stratégique d'un incident.;
/HUM/CAPAB/FIR/TACCOM;Ressources humaines;Capacité;Commandant tactique/sur place; Terme désignant une personne responsable de la gestion et de la coordination d'un incident dans un environnement tactique sur le site de l'incident.;
