Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise,Cardinalité,Objet,Format (ou type),Détails de format
,Texte libre,,,,,"Texte libre, optionnel

Dans NexSIS;
Fonction de l'événement générateur
RG 1 : la valeur de <context><freetext> reste à  'Création d'un événement opérationnel EMSI' & version & 'suite à réception d'une affaire*' dans le cadre de la création d'une opération commune (conforme RG 2 de NEXSIS-6618)
RG 3 : les événements générateurs sont ceux définis au sein de NEXSIS-6619 RG 1 de traçabilité  ( input = <Evenement à l'origine> = CREATION_OPERATION / MAJ_MODIFICATION_ETAT_OPERATION / AJOUT_RESSOURCE / RETRAIT_RESSOURCE / MAJ_ETAT_SITUATION_RESSOURCE / MAJ_LOCALISATION_ADRESSE) auxquels seront ajoutés  les éventuels événements à venir.",Contexte de grand incendie à Nantes,FREETEXT,0..1,,string,
,Origine,,,,,Optionnel,,ORIGIN,0..1,X,origin,
,,Origine ID,,,,"Optionnel, identifiant du service à l'origine de l'EMSI
Se référer au DSF pour la structure normée des organisations
Le format est le suivant {pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.",fr.health.samu440,ORG_ID,0..1,,string,
,,ID d'utilisateur de l'origine,,,,"Optionnel, identifiant de l'opérateur du service à l'origine de l'EMSI, qui gère l'opération. 
Ce champ peut être différent du calltakerId du message RC-EDA. ",id1234,USER_ID,0..1,,string,
,,Nom Origine ,,,,"Optionnel, A constituer par le rédacteur pour être intelligible (exemple [structure] [code département]).
Ce champ n'est pas normé obligatoirement. Chaque service décide de la structure de son nom d'origine.","samu 44, cgo 77, codis 78, cdau 91, les pompiers du 23",NAME,0..1,,string,
,Informations exterieures ,,,,,"Optionnel
Permettra à terme d'indiquer des liens vers des objets du SGV de NexSIS",,EXTERNAL_INFO,0..n,X,externalInfo,
,,Texte libre ,,,,Optionnel,,FREETEXT,0..1,,string,
,,URI informations extérieures,,,,Optionnel,289d6939-d225-4c71-9a56-68c03ada2f5e,URI,1..1,,string,
,,Type,,,,Optionnel,SPRSDS,TYPE,0..1,,string,"ENUM: MANUAL, MAP, OTHER, PHOTO, WEBSIT"
,Niveau d'urgence de l'événement,,,,,"Niveau d'urgence pour l'affaire en cours
Dans le cadre des échanges LRM-NexSIS, optionnel",URGENT,URGENCY,0..1,,string,"ENUM: URGENT, NOT_URGENT"
Evenement,,,,,,Objet générique EVENT,,EVENT,1..1,X,event,
,Identifiant local de l'affaire,,,,,A renseigner avec l'identifiant local de l'affaire dans le LRM ou NexSIS,DRFR15DDXAAJJJ0000,ID,1..1,,string,
,Nom donné à l'événement,,,,,"Optionnel
Dans nexSIS; [libelle NF 1 métier] & "" - "" & [libelle TL 1 métier] & "" - "" & [libellé commune]",Grand Incendie Nantes,NAME,0..1,,string,
,Identifiant de l'affaire partagé,,,,,"A renseigner avec l'identifiant de l'organisation (champ organization du message RC-EDA) suivi de l'identifiant local de l'affaire du partenaire requérant (champ senderCaseId du message RC-EDA).
{pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.{numéro de dossier}

NB : Si l'initiateur du partage de dossier est le même que l'initiateur du message EMSI, l'EVENT.ID = EVENT.MAIN_EVENT_ID",fr.health.samu440.DRFR15DDXAAJJJ0000,MAIN_EVENT_ID,0..1,,string,
,Type de l'événement,,,,,Optionnel,,ETYPE,0..1,X,etype,
,,Catégorie d'événement,,,,"Le champ peut ne pas être interprété ou renseigné avec une valeur comme 'UKN' = 'UNKOWN'
A constituer depuis ref_mapping_EMSI<ETYPE><CATEGORY>_NEXSIS",FIR,CATEGORY,1..n,,string,NOMENCLATURE: EMSI-EVENT.ETYPE.CATEGORY
,,Acteurs,,,,"Dans de futures versions de NexSIS, les demandes de concours seront diffusées à plusieurs partenaires. Seul le système de la force concernée par la demande de concours devra répondre effectivement à la demande. Ce système de la force concernée sera identifié comme le ""concourant"" à la demande de concours.
Le libellé du champ ACTOR permet d'identifier le concourant souhaité dans la demande de concours. Pour les premières implémentations du contrat d'interface 15-18, il n'y a pas de nécessité pour les systèmes récepteurs de filtrer les demandes de concours reçues via le Hub Santé.
Le champ MISSION TYPE permet en complément d'identifier l'effet à obtenir souhaité à partir de la combinaison du code ACTOR et du code TYPE.
Le transcodage entre ces deux nomenclature est décrit dans l'annexe ""Référentiel Effets à Obtenir - correspondance EMSI""",PPL/GRP,ACTOR,1..n,,string,NOMENCLATURE: EMSI-EVENT.ETYPE.ACTOR
,,Type de localisation,,,,"Le champ peut ne pas être affiché. Par défaut, possible de renvoyer le code ""OTH"" =  ""OTHER""",URB/STRT,LOCTYPE,1..n,,string,
,,Environnement,,,,Optionnel,CDIS/RIOT,ENV,0..1,,string,NOMENCLATURE: EMSI-EVENT.ETYPE.ENV
,Source,,,,,Optionnel,HUMOBS,SOURCE,0..1,,string,"ENUM: COMFOR, HUMDED, HUMOBS, SENSOR"
,Echelle de sévérité de l'environnement,,,,,"Optionnel, Niveau de criticité de l'opération",2,SCALE,0..1,,string,"ENUM: 1, 2, 3, 4, 5"
,Fiabilité,,,,,"Prend une valeur entière entre 0 et 100, et décrit à quel point l'alerte associée à l'événement est fiable
Optionnel",100,CERTAINTY,0..1,,integer,
,Date de déclaration de l'event,,,,,"Dans le cadre d'une demande de concours, ce champ est valorisé avec la date/heure de création de l'affaire ou de l'opération.
NexSIS transmettra la date/heure de création de l'opération dans ses systèmes (qui peut diverger de la date/heure de création de l'affaire)",2022-09-27T08:24:50+02:00,DECL_DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,Décrit la date et le lieu de l'événement,,,,,"Dans le cadre d'une demande de concours, ce champ est valorisé avec la date de la première alerte ou la date évaluée de début de la situation d'urgence.
Par exemple :
Si un incendie est déclaré est 9h02, il a pu démarré à 8h55 par exemple.
NB : temporairement, NexSIS renseignera ce champ avec la date de réception de l'alerte initiale",2022-09-27T08:20:50+02:00,OCC_DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,Date à laquelle l'observation la plus récente a été réalisée,,,,,"Ce champ est idéalement à valoriser avec la date/heure à laquelle l'observation de la situation d'urgence de l'affaire la plus récente a été réalisée.
NexSIS transmettra la date/heure d'envoi de la demande de concours dans son système.
NB : temporairement, NexSIS renseignera ce champ avec la date de réception de l'alerte initiale",2022-09-27T08:26:00+02:00,OBS_DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,Status,,,,,"Permet de décrire le status de l'affaire en cours.
Ce champ suit une nomenclature EMSI. (COM = event complete, IPR = event in progress, NST = event not started, STOP = STOP = event under control, no need for additional resource)
Dans le cadre d'une opération :
- si l'opération est encore en cours : rensigner 'IPR',
- si le dispatching de moyens est encore en cours ou que seulement des qualifications d'alertes ont été échangées sans aucune décision de régulation 'NST',
- si l'opération est en pause/veille : 'STOP'
- si le message d'échange opérationnel décrit une fin d'opération, à renseigner avec 'COM'
Un message EMSI-EO sans RESSOURCE ni ",IPR,STATUS,0..1,,string,"ENUM: COM, IPR, NST, STOP"
,Prédiction sur le risque d'évolution de l'event,,,,,Optionnel,STABLE,RISK_ASSESMENT,0..1,,string,"ENUM: NCREA, DECREA, STABLE"
,Lien vers d'autres objets événements EMSI,,,,,"Optionnel
Peut être renseigné avec les identifiants de l'affaire traitées dans d'autres systèmes partenaires",,REFERENCE,0..n,X,reference,
,,ID de l'organisation,,,,"Le format est le suivant {pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.
NB : ce champ (EVENT.REFERENCE.ORG_ID) ne peut pas être le même que le champ CONTEXT.LINK.ID ou EVENT.ID",fr.fire.cgo044,ORG_ID,1..1,,string,
,,ID des autres event,,,,"Indique d'autres identifiants utilisés pour l'affaire dans le système partenaire.
A renseigner avec l'identifiant de l'organisation suivi de l'identifiant local de l'affaire du partenaire dans son système.
{pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*-{numéro de dossier}",,OTHER_EVENT_ID,1..n,,string,
,Victimes,,,,,"Dans le cadre d'une demande de concours, optionnel. Le champ peut ne pas être émis ni interprété",,CASUALTIES,0..n,X,casualties,
,,Contexte,,,,Le champ doit être renseigné mais peut ne pas être interprété,REQ_ACTION,CONTEXT,1..1,,string,
,,Timestamp du contexte,,,,Optionnel,2022-09-27T08:00:00+02:00,DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,,Décontamination,,,,Optionnel,0,DECONT,0..1,,integer,
,,Triage Rouge,,,,"Optionnel, Triage victime au sens EMSI",0,TRIAGERED,0..1,,integer,
,,Triage Jaune,,,,Optionnel,1,TRIAGEYELLOW,0..1,,integer,
,,Triage Vert,,,,Optionnel,0,TRIAGEGREEN,0..1,,integer,
,,Triage Noir,,,,Optionnel,0,TRIAGEBLACK,0..1,,integer,
,,Disparus,,,,Optionnel,0,MISSING,0..1,,integer,
,Evacués,,,,,Optionnel,,EVAC,0..n,X,evac,
,,timestamp,,,,Optionnel,2022-09-27T10:00:00+02:00,DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,,déplacés,,,,Optionnel,0,DISPLACED,0..1,,integer,
,,évacués,,,,Optionnel,1,EVACUATED,0..1,,integer,
,Localisation de l'événement,,,,,"Optionnel
En effet, la localisation de l'affaire est déjà renseignée antérieurement et le lieu d'intervention souhaité est précisé dans un objet MISSION. Reprécise les coordonnées GPS de la localisation de l'affaire.",,EGEO,0..n,X,egeo,
,,Date des dernières remontées de localisation,,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION",2022-09-27T08:26:00+02:00,DATIME,0..1,,datetime,Format datetime décrit dans le DSF
,,Type de localisation,,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION.
A constituer depuis ref_mapping_EMSI_EVENT_EGEO_TYPE_NEXSIS_
/!\ plusieurs champs NEXSIS
/!\ plusieurs valeurs par champs d'où un groupe<EGEO> à créer par type différents",HLT,TYPE,0..1,,string,NOMENCLATURE: EMSI-EVENT.EGEO.TYPE
,,Condition météo,,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION",HUM/RAIN,WEATHER,0..n,,string,NOMENCLATURE: EMSI-EVENT.EGEO.WEATHER
,,Description de l'événement,,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION",Un peu de pluie vers 8h,FREETEXT,0..1,,string,
,,Position de l'opération,,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION",,POSITION,0..1,X,position,
,,,ID position,,,"Optionnel
La localisation de l'affaire est transmise en amont dans un message RC-EDA et le lieu souhaité pour l'intervention est systématiquement reprécisé dans un objet MISSION. 
Lorsque le lieu d'intervention est identique à celle d'une position de l'affaire partagée dans le message RC-EDA, le champ MISSION.RGEO.POSITION.LOC_ID doit être alimenté valorisé comme le champ eventLocation.locId du message RC-EDA envoyé en amont. ",111fb03a-6fd9-41e0-8e81-990c45188887,LOC_ID,0..1,,string,
,,,Nom de position,,,"Optionnel, non utilisé par NexSIS nom de lieu",Lycée Pierre de Coubertin,NAME,0..1,,string,
,,,Type,,,"Optionnel
Dans le cadre de l'interface LRM NexSIS, seul le libellé POINT doit obligatoirement être interprétable par les deux partenaires.
Cf. Nomenclature EMSI - POSITION pour plus de détails",POINT,TYPE,0..1,,string,
,,,Indication sur l'utilisation de la balise altitude,,,Optionnel,MIN,HEIGHT_ROLE,0..1,,string,
,,,Système de coordonnées,,,Optionnel,EPSG-4326,COORDSYS,0..1,,string,
,,,Coordonnées,,,,,COORD,0..n,X,coord,
,,,,Latitude ,,"dernière coordonnée x  connue de la ressource, entre −90 and +90",47.221866,LAT,1..1,,number,
,,,,Longitude,,"Optionnel. Dans le cas où aucun LOC_ID n'est transféré, permet de localiser le lieu d'intervention souhaité
dernière coordonnée y  connue de la ressource
entre −180 and +180",-1.575807,LONG,1..1,,number,
,,,,Altitude,,"Optionnel. Dans le cas où aucun LOC_ID n'est transféré, permet de localiser le lieu d'intervention souhaité
dernière coordonnée z  connue de la ressource, en mètres sans bornes
",1,HEIGHT,0..1,,number,
,,,Adresse,,,"Optionnel. Dans le cas d'un partage de position, les adresses transmises ne sont pas structurées.",Nantes centre ville,ADDRESS,0..n,,string,
,Cause,,,,,Optionnel,ACC,CAUSE,0..1,,string,"ENUM: ACC, DEL, NAT"
,Texte libre,,,,,Optionnel,Maison sur le côté droit de la route,FREETEXT,0..1,,string,
Missions,,,,,,"Une demande de concours est modélisée via un objet ""Mission"". Lorsque le champ <MISSION.NAME> respecte certaines conventions de nommage, le message EMSI en question est un message EMSI-DC
Dans le cadre d'un message d'échange des opérations, un objet MISSION peut répondre à deux usages :
- Répondre à une demande de concours
- Détailler l'intervention et les ressources engagées par un des partenaires
Un partenaire n'est pas tenu de retransmettre le détail des missions conduites par les autres partenaires. Il transmet exclusivement les missions concernant les ressources lui appartenant.",,MISSION,0..n,X,mission,
,Type,,,,,"Le champ MISSION TYPE permet d'identifier l'effet à obtenir souhaité à partir de la combinaison du code ACTOR et du code TYPE.
=> La table de transcodage permettant d'identifier les concourants et les effets à obtenir à partir d'un code EMSI est fournie en annexe ""Référentiel Effets à Obtenir - correspondance EMSI"".
Dans le cadre d'une réponse à DC :
- reprendre le type de la DC si le code réponse choisi est vien ""VALIDE""
Dans le cadre d'une mission décrivant les opérations en cours :
- reprendre la nomenclature EMSI pour caractériser la mission en cours.",SAV/ASC,TYPE,1..1,,string,NOMENCLATURE: EMSI-MISSION.TYPE
,Texte libre,,,,,Contient des commentaires relatifs aux objectifs et  moyens sollicités dans le cadre de la demande de concours. Les équipements supplémentaires souhaités ou le nom/ prénom des patients à prendre en charge peuvent être explicitement indiqués ici.,Besoin d'un grand véhicule car patients à prendre en charge volumineux. Ne pas utiliser les gyrophares en approche,FREETEXT,0..1,,string,
,Identifiant de la mission,,,,,"Contient un identifiant de demande de concours unique. Cet identifiant sera réutilisable par le partenaire pour répondre à cette demande.
Identifiant unique de la mission dans le système du partenaire la conduisant.",/FF#bb511708-b004-4d7e-8820-1d56c19f1823,ID,0..1,,string,
,Identifiant de l'organisation propriétaire,,,,,"Indique l'organisation du partenaire concerné par la Demande de Concours (voir DSF). Le code CRRA ou le code du SIS peut être utilisé.
Indique l'organisation du service réalisant la mission. 
Dans le cas d'une réponse, c'est l'organisation du concourant qui doit être indiquée.
Se référer au DSF pour la structure normée des organisations
Le format est le suivant {pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.",fr.fire.cgo440,ORG_ID,0..1,,string,
,Nom de la mission,,,,,"Le nom de la mission est construit à partir de l'expression régulière suivante :
""#DEMANDE_CONCOURS#""{libelle_cadre_conventionnel}""#""{code_cadre_conventionnel}""#""
où le code_cadre_conventionnel est issue d'une nomenclature CISU-Cadre Conventionnel (A Venir)
NB : ce champ est détourné par rapport au standard EMSI pour permettre l'expression d'une demande de concours et indiquer le cadre conventionnel dans lequel elle est effectuée.
Pour une réponse à demande de concours :
- Le nom de la mission est construit à partir de l'expression régulière suivante :
""#REPONSE_DEMANDE_CONCOURS#""{code_reponse}""#""
où le code_reponse peut prendre les valeurs ACCEPTE, REFUS, PARTIELLE, DIVERGENTE
- sinon libre",#DEMANDE_CONCOURS#CARENCE#Z.01.00.00#,NAME,0..1,,string,
,Status de la mission,,,,,"Les valeurs possibles avec lesquelles valoriser ce champ sont détaillées au sein d'une nomenclature EMSI
- ABO : mission refusée (ABOrted)
- CANCLD : mission annulée (CANCeLeD)**
- NST : mission non débuté pour le métier (Not STarted)
- IPR :  mission débuté pour le métier (In PRogress). la valeur IPR peut être suivi d'une valeur numérique de 00 à 100 (IPRnn) spécifiant le degré d'avancement de la mission. Ce principe n'est pas retenu au sein de NexSIS qui ne transmettra pas d'indication sur le degré d'avancement de la mission via ce champ.
- PAU : événement arrêté, en pause pour métier, pas de besoin supplémentaire
- COM : événement terminé pour le métier (COMplete)
Le status de la mission et celui des RESSOURCE associées doit être cohérent et transcodable avec un status ANTARES (voir DSF)

Dans le cas d'un objet MISSION générique de réponse à demande de concours, le champ doit être valorisé à ""NST""",IPR,STATUS,0..1,,string,"ENUM: ABO, NST, CANCLD, COM, IPR, PAU"
,Début de la mission,,,,,"- Dans le cadre d'une réponse à Demande de Concours
Horraire cible pour l'arrivée sur les lieux décrites (peut diverger de l'horaire demandé)
- Dans le cadre d'une mission décrivant les opérations en cours :
Horaire effectif de début de la mission",2022-09-27T08:25:00+02:00,START_TIME,0..1,,datetime,
,Fin de la mission,,,,,"A valoriser selon la catégorie de mission :
- Dans le cadre d'une mission de réponse à demande de concours : ne pas renseigner
- Dans le cadre d'une mission décrivant les opérations en cours :
 Si c'est un déplacement, l'heure d'arrivée, si c'est une prise en charge patient/victime, la fin de la prise en charge.",2022-09-27T08:55:00+02:00,END_TIME,0..1,,datetime,
,Ressource engagée,,,,,Liste des identifiants des ressources engagées dans la mission (voir RESOURCE.ID),77_45102#VSAV 1,RESOURCE_ID,0..n,,string,
,Missions parentes,,,,,"Dans le cadre d'une demande de concours, ne doit pas être renseigné
La mission peut déjà être rattachée à des missions filles mais leurs détails ne doivent pas être nécessaires pour traiter la demande de concours dans le système du partenaire.
Cf. DSF pour l'organisation liens entre MISSION (sous-section ""Découpage de l'opération en missions"")",,PARENT_MISSION_ID,0..n,,string,
,Missions filles,,,,,"Cf. DSF pour l'organisation liens entre MISSION (sous-section ""Découpage de l'opération en missions"")",,CHILD_MISSION_ID,0..n,,string,
,Mission principale,,,,,"- Dans le cas d'une mission générique de réponse à demande de concours, indiquer l'ID de la mission générique utilisée pour modéliser la demande de concours
- Dans le cas d'une mission déclenchée dans le cadre d'une réponse à demande de concours, l'ID de la mission générique de réponse peut être utilisée dans ce champ pour indiquer qu'elle est liée à une réponse",/FF#bb511708-b004-4d7e-8820-1d56c19f1855,MAIN_MISSION_ID,0..1,,string,
,Position de la mission,# Voir Position de l'opération,,,,Reprécise les coordonnées GPS du lieu d’intervention souhaité et fait le lien avec une localisation partagée préalablement en détails dans un message d’échange d’affaire.,,POSITION,0..1,X,position,
,Priorité de la mission,,,,,"Indique une échelle de priorité pour la demande de concours. Dans le cadre du standard EMSI, cette échelle doit être comprise entre 0 et 5. Ce champ peut ne pas être interprété ni alimenté par les LRMs.
Dans le cadre d'un échange des opérations, optionnel. Le champ peut ne pas être émis ni interprété.",5,PRIORITY,0..1,,string,"ENUM: 0, 1, 2, 3, 4, 5"
Ressource,,,,,,"Objet resource pouvant modéliser un véhicule, du personnel, du matériel etc",,RESOURCE,0..n,X,resource,
,Type de la ressource,,,,,"Fournit des indications macro sur la classe de ressources et ses caractéristiques.
Une ressource NexSIS est un moyen ou un agent
Chaque ressource possède un état de situation, et un état de disponibilité composant l'état de mobilisation. Dans le cadre de l'EMSI, seul l'état de situation est fourni. L'état de disponibilité est du seul ressort du gestionnaire du moyen. ",,RTYPE,1..1,X,rtype,
,,Classes de la ressource,,,,"Permet d'indiquer la classe de l'objet RESOURCE. Plusieurs niveau de détails sont fournis par la nomenclature associée.
Le premier niveau permet notamment de décrire la classe principale de ressource :
- Un véhicule,
- Le personnel mobilisé,
- Des consommables/ du matériel,
- Un lieu ou une organisation (non utilisé pour le moment)
Voir nomenclature EMSI associée",MAT/VEH/ROADVE/FRFGTN,RCLASS,1..n,,string,NOMENCLATURE: EMSI-RESOURCE.RTYPE.CLASS
,,Capacités de la ressource,,,,Permet d'indiquer les capacités de la ressource d'après le standard EMSI,,CAPABILITY,0..n,,string,voir DSF pour les détails
,,Caractéristiques de la ressource,,,,"Permet d'indiquer des caractéristique physiques de la ressource (hauteur, largeur, longueur et poids).
Le détail de fonctionnement de cette nomenclature est fournie en annexe.",,CHARACTERISTICS,0..n,,string,
,ID de la ressource,,,,,"Identifiant unique de la ressource  dans le système du partenaire propriétaire. Les systèmes sont garants de l'unicité et de l'invariablité des ids de véhicule dans le temps. Ils peuvent se servir des ids dans les référentiels existants si ils sont uniques et stables.
Dans le cas d'un véhicule agrégé par un LRM (comme un SMUR), l'ID doit être valorisé avec son immatriculation.
Dans le cas d'un véhicule agrégé par NexSIS, l'ID fournit peut ne pas correspondre à une immatriculation.",77_45102#VSAV 1,ID,0..1,,string,voir description
,Identifiant de l'organisation propriétaire,,,,,"Identifiant de l'organisation à laquelle la ressource est rattachée (caserne, SAMU etc).
Se référer au DSF pour la structure normée des organisations.
Le format est le suivant {pays}.{domaine}.{organisation}.{structure interne}*.{unité fonctionnelle}*.
Dans le cas où le LRM/NexSIS sert d'aggrégateur pour des véhicules appartenant à un partenaire tiers (type ambulance privée), l'identifiant d'organisation permet d'identifier ce tiers.
A constituer par le rédacteur du présent EMSI pour être unique.",fr.fire.cgo440,ORG_ID,0..1,,string,
,Nom de la ressource,,,,,"Nom donné à la ressource par le partenaire. L'immatriculation peut être utilisée dans le nom courant des véhicules.
Dans le cas pompier, les véhicules sont nommés
Dans le cas d'équipier, cela peut être leur nom",VSAV 1 Nantes,NAME,0..1,,string,
,Description de la ressource,,,,,"Texte libre permettant de décrire la ressource où d'ajouter des précisions sur son engagement.
Permet aussi notamment de décrire des attributs librement pour la ressource.
Par exemple, pour un véhicule, sa plaque d'immatriculation.",,FREETEXT,0..1,,string,
,Localisation de la ressource,,,,,"Permet de décrire les différentes posistions de la ressource
Par exemple, pour un même objet RESOURCE, la position actualisée et la position de destination de l'objet RESSOURCE peuvent être fournies simultanément via deux objets RGEO distincts
L'élémentgroup <RESOURCE> peut contenir 1 à plusieurs objet RGEO permettant de définir la position, l'origine ou la destination du moyen, associé aux états de mobilisation. Rgeo.position de chaque RGEO est spécifique à chaque RGEO. En dehors <RGEO>.<Type>='CUR', tous les autres RGEO posséde une RGEO.POSITION.ADRESSE>",,RGEO,0..n,X,rgeo,
,,Horaire de la localisation,,,,"Horaire associé à l'arrivée de la ressource sur la position. En fonction du TYPE de position, peut indiquer un horaire de relevé de position, un horaire cible d'arrivée.",2022-09-27T08:44:00+02:00,DATIME,0..1,,datetime,
,,Type de localisation,,,,"Type de position indiqué pour la ressource :
- ASP : assembly point. Point de rassemblement par défaut des ressources liées à la mission. Peut ne pas être utilisé
- CUR : current. Position actualisée de la ressource permettant le suivi géolocalisé des véhicules notamment. Peut ne pas être utilisé
- INC : incident. Consigne relative au positionnement de la ressource sur le lieu d'intervention. Peut ne pas être utilisé
- STG : staging point. Consigne relative au stationnement des véhicules ou au stockage du matériel par exemple. peut ne pas être utilisé
- TGT : targer location. Si renseigné, doit être cohérent avec la position renseignée pour la mission.
Plusieurs positions du même type avec des horodatages différents peuvent être fournies. ",CUR,TYPE,1..1,,string,"ENUM: ASP, CUR, INC, STG, TGT"
,,Texte libre ,,,,Permet de rajouter des précisions sur la localisation de la ressource transmise,Position actualisée du VSAV 1 Nantes,FREETEXT,0..1,,string,
,,ID localisation,,,,Identifiant unique de la position dans le système du partenaire,,ID,0..1,,string,
,,Position géographique,# Voir Position de l'opération,,,Détail de la position géographique,,POSITION,0..n,X,position,
,Quantité de la ressource,,,,,"Dans le cadre d'un échange d'opération, optionnel. Permet de quantifier une ressource :
- à ne pas utiliser pour les véhicules ni le personnel
- utilisable pour du matériel
- utilisable pour des consommables (dans le cas de consommable, à compléter avec le champ UM)",1,QUANTITY,0..1,,number,
,Unité de mesure pour la ressource,,,,,"Dans le cadre d'un échange d'opération, optionnel. Unité de mesure pour des ressources consommables",,UM,0..1,,string,NOMENCLATURE: EMSI-RESOURCE.UM
,Statut de la ressource,,,,,"Définit le statut de disponibilité d'une ressource.
- AVAILB : Lorsqu'une mission est terminée, une ressource redevient disponible
- RESRVD : Lorsque la ressource est réservée pour intervenir sur l'affaire mais pas encore engagée dans l'opération. Par exemple : un SMUR termine un autre transfert patient/victime avant de rejoindre une autre intervention : il est alors RESRVD
- IN_USE/MOBILE : à utiliser pour les véhicules et le personnel lorsqu'ils se déplaces
- IN_USE/ON_SCENE : à utiliser pour les véhicules et le personnel lorsqu'ils sont sur les lieux de l'affaire",IN_USE/MOBILE,STATUS,0..1,,string,"ENUM: AVAILB, UNAV, MAINTC, RESRVD, VIRTUAL, IN_USE/MOBILE, IN_USE/ON_SCENE"
,Nationalité de la ressource,,,,,"Nationalité d'une ressource, réemployer ISO 3166-1-alpha-2 code elements.",FR,NATIONALITY,0..1,,string,
,Contacts,,,,,Liste de contacts utiles pour contacter par exemple le véhicule ou le personnel engagé dans l'opération.,,CONTACTS,0..n,X,contact,
,,Type de contact,,,,"Type de contact, voir énumération associée

1. PMRADD (si RFGI disponible)
2. PHNADD pour téléphonie",PHNADD,TYPE,1..1,,string,"ENUM: PSTADD, EMLADD, IPADD, FTPADD, WWWADD, PHNADD, FAXADD, PMRADD"
