,ID,Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise NexSIS,Nouvelle balise,Cardinalité,Objet,Format (ou type),Nomenclature/ énumération,Détails de format,15-18,15-15
25,26,,,Code INSEE de la commune,,,,Code INSEE de la commune actuelle sur la base du Code Officiel géographique en vigueur. Obligatoire si le nom de la commune est renseigné.,59350,,inseeCode,0..1,,string,,REGEX: [0-9]{5},,X
26,27,,,Complément de commune,,,,"Informations complémentaires permettant de préciser le quartier, lieu-dit, ancienne commune, … ou autre information aidant à préciser l'adresse et notamment gérer les cas de communes fusionnées pour le système émetteur
NB : dans tous les cas, la localisation GPS de la commune doit être fournie afin d'éviter une trop forte ambiguïté.","Quartie Melun Nord, Lhomme, …",,detail,0..1,,string,,,,X
27,28,,Détails d'accès,,,,,"Permet d'envoyer l'ensemble des détails d'accès au lieu d'intervention. Si les détails ne sont pas gérés individuellement, il est préférable de passer ces indications dans le freetext lié à la localisation de l'affaire.
15-18 - Non gérés par NexSIS; ne seront pas transmis au SAMU et seront affichés côté NexSIS en clés / valeurs dans le champ libre",,,access,0..1,X,access,,,,X
28,29,,,Etage,,,,Etage ,RDC,,floor,0..1,,string,,,,X
29,30,,,Numéro de porte,,,,"Spécifie numéro d'appartement, de chambre, de bureau",A16,,roomNumber,0..1,,string,,,,X
30,31,,,Interphone,,,,"Indique les informations nécessaires  à l'identification de l'interphone (numéro, nom)",Dupont,,interphone,0..1,,string,,,,X
31,32,,,Digicode,,,,Indique le ou les digicodes dans l'ordre de progression dans le bâtiment,1234A,,accessCode,0..n,,string,,,,X
32,33,,,Ascenseur/escalier,,,,Indique l'ascenseur ou la cage d'escalier ,C3,,elevator,0..1,,string,,,,X
33,34,,,Bâtiment,,,,Nom du bâtiment,Batiment B,,buildingName,0..1,,string,,,,X
34,35,,,Entrée,,,,,Zone Sud,,entrance,0..1,,string,,,,X
35,36,,,Service,,,,"Nom du service concerné au sein de l'établissement : Infirmerie, service finance, service cardiologie, …",Infirmerie,,entity,0..1,,string,,,,X
36,37,,,N° de téléphone du lieu,,,,"Numéro de téléphone permettant d'accéder au lieu de l'intervention, par exemple : téléphone du secrétariat, téléphone du service administratif ou se trouve le patient/victime.",33123452323,,phoneNumber,0..1,,number,,,,X
37,38,,Géometrie associée,,,,,,,,geometry,0..1,X,geometry,,,,X
38,39,,,Heure du dernier relevé,,,,Groupe date heure de renseignement des coordonnées du point clé de la localisation. Permet de connaître la fraîcheur et donc pertinence des informations pour intervenir.,2022-09-27T08:23:34+02:00,,obsDatime,1..1,,datetime,,,,X
39,40,,,Point ,,,,"Fournir au maximum même s'il est imprécis (et adapter le champs ""Précision"" en fonction). 
Par exemple, sans adresse, il est possible de fournir le point GPS de la commune et d'adapter et préciser l'adresse en cours d'intervention.
Sera toujours fourni par NexSIS.",,,point,0..1,X,point,,,,X
40,41,,,,Coordonnées,,,"Le SGO ne fonctionne toujours sur des coordonnées X/Y ainsi qu'une adresse indicative associée. 
NexSIS dispose donc toujours d'un point GPS utilisé pour le temps de trajet, la détermination de l'intervenant le plus proche, ...
L'adresse est elle utilisée par l’intervenant pour aller sur le lieu.",,,coord,1..1,X,coord,,,,X
41,42,,,,,Latitude,,Latitude du point clé de la localisation ,48.866667,,lat,1..1,,number,,,,X
42,43,,,,,Longitude,,Longitude du point clé de la localisation,2.333333,,lon,1..1,,number,,,,X
43,44,,,,,Altitude ,,"Altitude du point clé de la localisation, en mètre, ignoré côté NexSIS. ",120,,height,0..1,,number,,,,X
46,47,,,,,Précision,,"Indique via une nomenclature le niveau de précision des coordonnées fournies par le système emetteur.
CITY=Précision à l'échelle de la ville, STREET=Précision à l'échelle de la rue, ADDRESS=Adresse précise, EXACT=Point coordonnée GPS exact, UNKNOWN=Précision de la localisation non évaluable par l'émetteur",ADDRESS,,precision,1..1,,string,X,"ENUM: CITY, STREET, ADDRESS, EXACT, UNKNOWN",,X
47,48,,,,Système de coordonnées,,,"Indique le type de coordonnées utilisé. Actuellement, la seule valeur valide est «EPSG-4326», indiquant l'utilisation de WGS-84. Si ce champ n'est pas renseigné, on considère que la valeur par défaut est «».",EPSG-4326,,sysCoord,0..1,,string,,,,X
49,50,,Liens aux systèmes externes,,,,,"Permet de partager l'identifiant d'un objet ayant servi à l'établissement de la localisation. L'objet reprend la structure EXTERNAL_INFO de l'EMSI
L'identifiant BAN de l'adresse (clé d'interopérabilité) doit être partagé au maximum.",,,externalInfo,0..n,X,externalInfo,,,,X
50,51,,,Nom de la source,,,,"Système fournissant le localisant :  NexSiS ou l'ORG_ID (BAN, IGN, ...)","NexSIS, BAN, IGN, …",,freetext,1..1,,string,X,"ENUM: BAN, IGN, NexSIS",,X
51,52,,,Type ,,,,"Définition du type d'objet dans le système
Ex : SIG NexSIS / OSM ont plusieurs types de données -> savoir du quel on parle (POI, tronçon de route, …) pour faciliter le filtre | Aussi table dans une base de données","ega, egr, egm, DIO (données d'influence opérationnelle), …",,type,1..1,,string,X,"ENUM: MANUAL, MAP, OTHER, PHOTO, WEBSIT",,X
52,53,,,Identifiant,,,,Identifiant unique dans le type. Exemple : UUID d'un ega,id987,,uri,1..1,,string,,,,X
54,55,,Informations complémentaires sur la localisation,,,,,Champ libre pour compléter les informations de localisation,Clé derrière le pot de fleur,,freetext,0..1,,string,,,,X
55,56,Destination,# Voir Origine (type location),,,,,"Permet de décrire la destination d'une ressource, lorsqu'elle est connue. (Par exemple : suite à une décisition d'orientation, une nouvelle demande de ressource doit être envoyée, ou lors d'un TIH)",,,destinationLocation,0..1,X,location,,,,X
