code;label_n1;label_n2;description;commentaire
FIR/CLD;Incendie;Classe de feu D;Feux métalliques (magnésium, sodium, titane). Utiliser un agent sec, comme du sable ou une poudre sèche spéciale, comme un agent d'extinction à base de chlorure de sodium sec pressurisé à l'azote.;
FIR/UKN;Incendie;Feu — inconnu;Un feu impliquant une substance inconnue;
FLD/FLS;Inondation;Inondation — flash;Inondation provoquée par des conditions météorologiques extrêmes;
FLD/PLN;Inondation;Inondation — plaine;Inondation provoquée par la montée de l'eau sur une zone;
FLD/TID;Inondation;Inondation — marée;Inondation où les dommages sont initialement causés par l'impact d'une vague ou de l'eau, comme un tsunami;
GND/AVL;Événement au sol;Avalanche;Avalanche;
GND/EQK;Événement au sol;Tremblement de terre;Tremblement de terre (impact donné par l'élément ÉCHELLE);
GND/GEY;Événement au sol;Geyser;Terme utilisé pour décrire une caractéristique naturelle qui fait jaillir de l'eau (souvent chaude) dans les airs à intervalles réguliers;
GND/LDS;Événement au sol;Éboulement;La chute ou le glissement vers le bas d'une masse de sol, de détritus ou de roche sur ou depuis une pente raide;
GND/MUD;Événement au sol;Glissement de boue;Un glissement de boue;
GND/SUB;Événement au sol;Subsidence;Terme utilisé pour décrire l'affaissement dans le sol ou dans un bâtiment;
GND/VUL;Événement au sol;Éruption volcanique;Incident résultant de l'activité volcanique;
HLT/EPI;Santé;Épidémie;Propagation rapide ou augmentation de l'occurrence de quelque chose;
HLT/FMN;Santé;Famine;Pénurie extrême et générale de nourriture, comme dans un pays ou une grande zone géographique;
HLT/NDS;Santé;Maladie notifiable;par exemple, la méningite;
POL/BIO;Pollution;Pollution — biologique;L'introduction de substances ou de produits biologiques nocifs dans l'environnement;
POL/CHM;Pollution;Pollution — chimique;L'introduction de substances chimiques nocives ou de produits dans l'environnement;
POL/NUK;Pollution;Pollution — nucléaire;L'introduction de substances ou de produits nucléaires nocifs dans l'environnement;
POL/RAD;Pollution;Pollution radioactive;L'introduction de substances radioactives nocives ou de produits dans l'environnement;
PSW/ALM;Sécurité publique/bien-être;Alarme;Signal indiquant un incident potentiel;
PSW/ASY;Sécurité publique/bien-être;Questions d'asile;Concernant les individus en quête de refuge, en particulier l'asile politique, dans un pays étranger;
PSW/DEM;Sécurité publique/bien-être;Manifestation;La manifestation est autorisée par les autorités, la protestation ne l'est pas;
PSW/IMM;Sécurité publique/bien-être;Immigration illégale;Personnes entrant dans un pays sans les autorisations nécessaires;
PSW/MEV;Sécurité publique/bien-être;Événement majeur;Un événement très important qui provoque une forme de perturbation;
PSW/MIS;Sécurité publique/bien-être;Personne disparue;Personne disparue d'un endroit donné;
PSW/PKG;Sécurité publique/bien-être;Objet/paquet suspect;cf. le document sur les règles de comptage du NSIR;
PSW/PRO;Sécurité publique/bien-être;Protestation;La manifestation est autorisée;
PSW/PRSUIT;Sécurité publique/bien-être;Poursuite;Terme utilisé pour décrire la tentative de rattraper une personne ou un véhicule;
PSW/RIOT;Sécurité publique/bien-être;Émeute;Manifestation ou protestation où les autorités n'ont pas le contrôle;
PSW/SUS;Sécurité publique/bien-être;Circonstances suspectes;cf. le document sur les règles de comptage du NSIR;
PSW/WNG;Sécurité publique/bien-être;Avertissement;Signal indiquant un incident imminent;
TRP/BRK;Transport;Panne;Panne, usure ou perte soudaine de la capacité à fonctionner efficacement, comme d'une machine;
TRP/COL;Transport;Collision;L'acte de se heurter, une rencontre violente;
TRP/CRS;Transport;Accident;"Le terme ""accident"" est utilisé pour décrire quelque chose qui a échoué soudainement. Cela peut être lié à des accidents de véhicules, d'aéronefs, etc.";
